RootCAX22,RootCAX23,RootCOL00,RootRBOHD,RootCAX22|RootCAX23,RootCAX22|RootCOL00,RootCAX22|RootRBOHD,RootCAX23|RootCOL00,RootCAX23|RootRBOHD,RootCOL00|RootRBOHD,RootCAX22|RootCAX23|RootCOL00,RootCAX22|RootCAX23|RootRBOHD,RootCAX22|RootCOL00|RootRBOHD,RootCAX23|RootCOL00|RootRBOHD,RootCAX22|RootCAX23|RootCOL00|RootRBOHD
AT3G11980.1,AT5G24150.2,AT5G54062.1,AT5G06760.1,AT2G10940.1,AT4G37710.1,AT2G07691.1,AT3G42340.1,AT5G36220.1,AT1G25210.2,AT3G55970.1,AT4G04223.1,AT1G02930.2,AT1G51840.1,AT1G69930.1
AT3G60950.1,AT1G09240.1,AT1G11925.1,AT3G18450.1,AT2G10940.2,AT1G17710.2,AT2G07784.1,AT3G42460.1,AT4G12470.1,AT4G04710.1,AT3G42530.1,AT1G43800.1,AT1G02930.1,AT1G51830.1,AT2G05510.2
AT2G07772.1,AT5G50950.1,AT1G12030.1,AT1G75910.1,AT5G25980.1,AT2G07815.1,AT2G30290.2,AT3G42310.1,AT1G65860.1,AT1G21240.1,AT2G05084.1,AT5G05050.1,AT1G02920.1,AT4G18205.1,AT2G05510.3
AT3G12203.1,AT2G26010.1,AT3G21352.1,AT3G46340.1,AT5G25980.2,AT1G17710.1,AT2G07792.1,AT3G42350.1,ATMG00100.1,AT5G39050.1,AT2G05087.1,AT4G04223.2,AT1G22210.1,AT4G30270.1,AT2G05510.1
AT3G11160.1,AT3G55240.1,AT2G22960.1,AT1G60830.1,AT5G25980.3,AT2G07813.1,AT2G30290.1,AT3G42430.1,ATMG00170.1,AT3G03670.1,AT2G03550.1,AT5G28030.1,AT3G53150.1,AT5G08000.1,AT2G05510.5
AT4G15320.1,AT1G72910.1,AT3G43350.1,AT1G76370.1,AT5G38430.1,AT2G07826.1,AT2G07694.1,AT3G42436.1,ATMG00210.1,AT5G02780.2,AT3G42410.1,AT5G28030.2,AT3G25240.1,AT3G16530.1,AT2G05510.4
AT2G07768.1,AT5G50950.2,AT1G56430.1,AT1G53610.1,AT3G14210.1,AT5G50565.1,AT3G49115.1,AT3G42450.1,ATMG00190.1,AT5G02780.1,AT3G42100.1,AT3G28740.1,AT1G48130.1,AT5G23660.1,AT2G05510.6
AT3G11300.1,AT5G50950.3,AT3G43460.1,AT1G34047.1,AT1G29920.1,AT5G50565.2,,AT3G42500.1,ATMG00620.1,AT4G25100.2,AT3G42400.1,,AT2G04060.1,AT4G04545.1,AT1G32350.1
AT2G07672.1,ATMG01380.1,AT3G09340.1,AT1G34047.2,AT4G26530.2,,,AT2G23130.1,ATMG00610.1,AT4G25100.3,AT3G42110.1,,AT1G36622.1,AT2G02450.2,AT2G19900.1
AT2G07684.1,AT3G25760.1,AT3G46850.1,AT1G51920.1,AT4G26530.1,,,AT2G36970.1,ATMG00600.1,AT4G25100.1,AT1G64480.1,,AT3G15500.1,AT2G02450.1,AT1G05680.1
AT2G07752.1,AT4G15210.1,AT1G65500.1,AT2G16730.1,AT4G23600.1,,,AT3G42155.1,AT3G22740.1,AT4G25100.5,AT1G66970.1,,,AT5G23980.1,AT5G40990.1
AT2G07743.1,AT2G32540.1,AT5G61730.1,AT2G01422.1,AT4G23600.3,,,AT5G24160.1,AT4G15490.1,AT4G25100.4,AT1G66970.2,,,AT2G39400.1,AT4G02280.1
AT2G07745.1,AT4G15210.2,AT5G54067.1,AT1G68750.1,AT3G05730.1,,,AT5G50160.1,AT4G29905.1,AT1G26250.1,AT3G42320.1,,,AT2G24710.1,AT5G38910.1
AT2G07753.1,AT5G46490.2,AT1G19960.1,AT4G26050.1,AT1G29910.1,,,AT5G39030.1,AT1G45616.1,AT5G07560.1,AT3G42060.1,,,AT4G36670.1,AT1G69920.1
AT2G07778.1,ATMG01390.1,AT3G58740.1,AT2G01422.2,AT3G63160.1,,,AT3G42254.1,ATMG00180.1,AT4G35180.1,AT3G42540.1,,,AT1G21400.1,AT2G30660.1
AT2G07769.1,AT5G50915.1,AT2G02990.1,AT5G13380.1,AT4G23600.2,,,AT3G42380.1,AT3G20380.1,AT5G64110.1,AT3G53280.1,,,AT5G03545.1,AT4G23700.1
AT2G07673.1,AT2G17780.1,AT4G15370.1,AT1G60450.1,AT5G65730.1,,,AT3G42390.1,AT1G27020.1,AT5G54060.1,AT5G36790.2,,,AT2G28860.1,AT5G19880.1
AT2G07746.1,AT2G17780.2,AT3G43570.1,AT4G16590.1,AT3G45140.1,,,AT3G42440.1,ATMG00310.1,AT1G63560.1,AT5G36790.3,,,AT5G42600.1,AT3G29078.1
AT2G07748.1,AT2G08986.1,AT3G43530.1,AT5G58180.1,AT2G29290.2,,,AT3G42473.1,ATMG00320.1,AT5G23990.1,AT2G45130.1,,,AT3G28510.1,AT1G26410.1
AT2G07686.1,AT2G43010.1,AT1G35310.1,AT5G58180.2,AT2G29290.1,,,AT3G42490.1,ATMG00370.1,AT2G04070.1,AT3G42290.1,,,AT5G43450.1,AT1G52343.1
AT2G07681.1,AT2G43010.2,AT3G43330.1,AT3G17790.1,AT2G05070.1,,,AT3G42510.1,ATMG00300.1,AT1G21320.2,AT5G36790.1,,,AT1G19390.1,AT4G22070.1
AT2G07683.1,AT2G17780.3,AT2G32860.1,AT2G33670.1,AT1G23130.1,,,AT3G42520.1,ATMG00340.1,AT2G04040.1,AT3G26180.1,,,AT1G66090.1,AT1G65800.1
AT1G28650.1,AT2G32870.1,AT4G23370.1,AT2G34890.1,AT5G09660.2,,,AT1G77960.1,ATMG00350.1,AT5G57220.1,AT2G43590.1,,,AT1G51870.1,AT5G64810.1
AT5G28520.1,AT1G14250.1,AT3G21080.1,AT3G58150.1,AT1G32080.1,,,AT3G42083.1,ATMG00360.1,AT1G65485.1,AT3G42070.1,,,AT2G43890.1,AT1G71140.1
AT1G62940.1,AT5G50915.2,AT1G51810.1,AT5G52310.1,AT5G09660.3,,,AT3G42140.1,ATMG00330.1,AT2G45550.1,AT3G42240.1,,,AT4G36220.1,AT1G66700.3
AT2G07701.1,AT4G19170.1,AT3G43684.1,AT5G36130.1,AT5G09660.1,,,AT3G42160.1,ATMG00390.1,AT1G21320.1,AT1G52890.1,,,AT3G43190.1,AT1G66700.1
AT2G07703.1,AT5G46490.1,AT3G54940.2,AT3G45000.2,AT5G09660.4,,,AT3G42466.1,ATMG00420.1,AT4G37990.1,AT1G05240.1,,,AT4G14780.1,
AT2G07702.1,AT1G22630.1,AT2G22955.1,AT4G14548.1,AT3G15840.1,,,AT2G05380.1,ATMG00470.1,AT3G05400.2,AT1G73830.2,,,AT5G07570.1,
AT2G07705.1,AT4G11900.1,AT2G30540.1,AT5G39110.1,AT3G15840.2,,,AT2G05380.2,ATMG00230.1,AT3G05400.1,AT1G06120.1,,,AT4G15393.2,
AT2G07794.1,AT1G68530.1,AT2G32860.2,AT4G07960.1,AT3G15840.3,,,AT3G42080.1,ATMG00250.1,AT1G33030.1,AT1G73830.1,,,AT4G15393.1,
AT2G07704.1,AT4G22513.1,AT2G15500.1,AT2G16810.1,AT3G15840.5,,,AT3G42130.1,ATMG00410.1,AT2G40750.1,,,,AT4G15393.3,
AT5G23790.1,AT2G03310.1,AT3G43550.1,AT3G03540.1,AT5G49730.1,,,AT3G42200.1,ATMG00460.1,AT2G30140.1,,,,AT1G60470.1,
AT2G07707.1,AT1G77210.2,AT2G29470.1,AT2G30766.2,AT3G15840.4,,,AT2G27550.1,ATMG00270.1,AT2G30140.2,,,,AT1G44030.1,
AT4G20530.1,AT1G77210.1,AT4G21680.1,AT4G33930.1,AT3G27690.1,,,AT3G42090.1,ATMG00440.1,AT5G44990.1,,,,AT2G37870.1,
AT4G20540.1,AT1G68530.2,AT1G24575.1,AT3G45000.1,AT1G53480.2,,,AT1G65790.1,ATMG00430.1,AT4G24040.1,,,,AT1G05650.1,
AT4G20550.1,AT4G22510.1,AT4G01340.1,AT3G49520.1,AT1G70820.1,,,AT3G42386.1,ATMG00400.1,AT5G44990.2,,,,AT1G33817.1,
AT4G20560.1,AT2G17780.4,AT4G24204.3,AT5G40780.1,AT4G18970.1,,,AT1G78460.1,ATMG00220.1,AT5G61890.1,,,,AT3G13950.1,
AT4G20570.1,AT1G16410.2,AT4G24204.1,AT5G40780.2,AT4G18970.2,,,AT3G42385.1,ATMG00240.1,AT3G26220.1,,,,AT5G47560.1,
AT4G20580.1,AT5G38990.1,AT2G44070.1,AT5G60770.1,AT5G49740.1,,,AT3G42253.1,ATMG00450.1,AT1G01580.1,,,,AT4G14630.1,
AT4G20590.1,AT1G27480.1,AT2G25440.1,AT3G47260.1,AT4G12320.1,,,AT3G42255.1,ATMG00260.1,AT3G47420.1,,,,AT1G52070.1,
AT4G20600.1,AT1G64680.1,AT1G74820.1,AT5G45095.1,AT3G01345.1,,,AT3G42256.1,AT5G59260.1,AT5G20150.1,,,,AT5G16970.1,
AT4G20610.1,AT3G55130.1,AT4G17718.1,AT1G53640.1,AT3G16670.1,,,AT3G42257.1,AT2G41850.1,AT1G54575.1,,,,AT1G08090.1,
AT4G20620.1,AT5G46110.3,AT1G25175.1,AT2G29110.1,AT3G14420.5,,,AT3G42258.1,ATMG00380.1,AT5G44990.3,,,,AT4G12550.1,
AT4G20630.1,AT5G46110.2,AT2G16680.1,AT3G07250.1,AT3G14420.3,,,AT3G42260.1,AT2G39320.1,AT4G18170.1,,,,AT2G29010.1,
AT4G20640.1,AT5G46110.1,AT5G50680.1,AT3G30393.1,AT3G62550.1,,,AT3G42270.1,AT1G18870.1,AT2G43000.1,,,,AT5G22890.1,
AT2G07793.1,AT5G46110.4,AT5G50680.2,AT5G18350.1,AT3G14420.1,,,AT3G42305.1,AT1G18870.2,AT2G46495.1,,,,AT4G18197.1,
AT2G30650.1,AT5G44420.1,AT4G24204.2,AT1G25886.1,AT3G14420.2,,,AT3G42313.1,AT5G22580.1,AT1G51420.1,,,,AT2G15490.1,
AT2G37010.1,ATCG00270.1,AT5G53510.1,AT5G21110.1,AT3G14420.6,,,AT3G42316.1,ATMG00285.1,AT5G38900.1,,,,AT2G15490.3,
AT1G28640.1,AT1G71030.1,AT4G31950.1,AT5G55770.1,AT3G14420.4,,,AT3G42353.1,AT2G28850.1,AT1G53625.1,,,,AT2G15490.2,
AT2G07675.1,AT1G65490.1,AT3G21380.1,AT5G33395.1,AT2G20570.2,,,AT3G42420.1,ATMG00290.1,AT3G48640.1,,,,AT2G23010.1,
AT4G20650.1,AT3G61700.2,AT1G15610.2,AT3G48510.1,AT2G20570.1,,,AT3G42432.1,ATMG00630.1,AT5G60250.1,,,,AT2G23010.2,
AT1G22120.1,AT3G50820.1,AT1G15610.1,AT1G28170.1,AT3G04290.1,,,AT3G42433.1,AT1G54950.1,AT5G36700.2,,,,AT2G39510.1,
AT4G20520.1,AT3G61700.1,AT1G66783.1,AT4G13700.1,AT3G05727.1,,,AT3G42438.1,AT4G28620.1,AT5G36700.4,,,,AT5G51870.1,
AT4G15300.1,AT4G13575.1,AT3G43490.1,AT3G51860.1,AT4G13500.1,,,AT3G42470.1,AT2G22122.1,AT3G63380.1,,,,AT5G51870.3,
AT3G11310.1,AT1G69730.1,AT3G43680.1,AT2G30760.1,AT3G04210.1,,,AT3G42471.1,AT4G01630.1,AT5G14565.1,,,,AT5G51870.2,
AT2G07708.2,AT5G54250.3,AT5G13130.1,AT3G60100.1,AT2G27385.1,,,AT3G42472.1,AT1G71890.1,AT1G11920.1,,,,AT4G13420.1,
AT4G21440.1,AT5G54250.1,AT1G03890.1,AT2G19060.1,AT2G27385.3,,,AT3G42474.1,AT3G56980.1,AT4G01700.1,,,,AT2G29220.1,
AT1G71290.1,AT5G54250.2,AT5G02380.1,AT1G49030.1,AT2G27385.2,,,AT3G42475.1,AT5G39120.1,AT4G15760.2,,,,AT4G31330.1,
AT4G20510.1,AT5G07690.1,AT3G43390.1,AT2G20070.1,AT4G28780.1,,,AT3G42476.1,AT1G55230.1,AT5G36700.1,,,,AT5G38100.1,
AT4G09960.4,AT4G13495.2,AT1G67160.1,AT4G11340.1,AT3G54890.2,,,AT3G42478.1,AT5G51440.1,AT4G15760.1,,,,AT1G77990.1,
AT1G59725.1,AT2G18300.3,AT1G32040.1,AT1G49370.1,AT3G54890.3,,,AT3G42480.1,AT5G07330.1,AT1G32970.1,,,,AT5G38100.2,
AT2G31030.1,ATCG00280.1,AT2G12480.1,AT4G28350.1,AT3G54890.1,,,AT3G42535.1,AT3G12502.1,AT2G44370.1,,,,AT3G29780.1,
AT2G07696.1,AT2G18300.1,AT2G12480.2,AT5G46610.3,AT2G05100.1,,,AT3G42542.1,AT1G70080.1,AT2G33880.1,,,,AT2G22630.1,
AT4G10520.1,AT2G18300.2,AT5G44570.2,AT3G63360.1,AT1G52230.1,,,AT3G42545.1,AT5G46370.1,AT5G24660.1,,,,AT5G66400.1,
AT5G56770.1,AT3G05370.1,AT5G41280.1,AT1G02530.1,AT4G28750.1,,,AT3G42280.1,AT1G77760.1,AT3G44870.1,,,,AT5G66400.2,
AT1G63060.1,AT4G13495.1,AT3G28600.1,AT5G49690.1,AT3G54890.4,,,AT3G42356.1,AT1G05675.1,AT1G65483.1,,,,AT3G09922.1,
AT1G63190.1,AT4G27300.1,AT1G20657.1,AT5G17320.1,AT2G26580.1,,,AT3G42431.1,AT3G12500.1,AT2G41730.1,,,,AT2G34350.1,
AT3G11180.2,ATCG00680.1,AT2G22941.1,AT1G31960.1,AT2G26580.2,,,AT3G42445.1,AT2G16586.1,AT5G51860.1,,,,AT3G02620.1,
AT2G05640.1,ATCG00430.1,AT4G23550.1,AT1G68620.1,AT3G46780.1,,,AT1G63750.2,AT3G46250.1,AT5G51860.2,,,,AT2G16960.2,
AT4G01980.1,AT5G58260.1,AT4G15350.1,AT4G28410.1,AT5G21430.1,,,AT1G72900.1,AT5G16980.1,AT3G54150.1,,,,AT1G08430.1,
AT1G12600.1,AT1G29660.1,AT1G16910.1,AT1G71520.1,AT5G21430.2,,,AT1G63750.1,AT1G13520.1,AT1G25155.1,,,,AT1G17180.1,
AT5G07310.1,AT5G55620.1,AT4G15700.1,AT5G55080.1,AT5G15780.1,,,AT5G60060.1,AT1G13609.1,AT5G36700.3,,,,AT1G45015.2,
AT1G19060.1,AT3G49260.1,AT1G32840.1,AT3G57260.1,AT4G12800.1,,,AT1G63750.3,AT2G17740.1,AT5G14570.1,,,,AT1G45015.1,
AT2G07806.2,AT2G29360.1,AT3G23240.1,AT5G38200.1,AT1G72610.1,,,AT1G33813.1,AT3G60328.1,AT4G00390.1,,,,AT1G45020.1,
AT4G35670.1,AT5G61520.2,AT5G26250.1,AT3G47270.1,AT1G19150.1,,,AT1G58643.1,AT5G16980.2,AT4G28520.1,,,,AT5G52260.1,
AT2G28490.1,AT3G49260.3,AT1G09935.1,AT2G02110.1,AT1G67090.1,,,AT1G52060.1,AT5G63350.1,AT4G28520.2,,,,AT4G30670.1,
AT3G20210.1,AT4G24120.1,AT3G26190.1,AT4G34135.1,AT1G67090.2,,,AT5G47900.1,AT1G13609.2,AT4G28520.3,,,,AT5G25460.1,
AT3G11180.1,AT1G07050.1,AT2G32310.2,AT3G51135.1,AT1G12900.4,,,AT1G62510.1,AT2G26370.1,AT4G28520.4,,,,AT1G12110.1,
AT2G07685.1,AT5G58260.2,AT5G35965.1,AT4G21640.1,AT5G45950.1,,,AT5G47900.4,AT4G16550.1,AT4G14368.1,,,,AT5G50760.1,
AT4G09960.1,AT2G29310.1,AT4G10010.1,AT1G57690.1,AT1G12900.2,,,AT5G47900.7,AT3G16440.1,AT5G50200.3,,,,AT1G73220.1,
AT5G36970.1,AT3G49260.2,AT3G23460.1,AT4G08555.1,AT1G12900.1,,,AT2G14510.1,AT1G24793.1,AT5G50200.2,,,,AT2G17040.1,
AT5G37160.1,AT2G29310.2,AT2G22760.1,AT4G19925.1,AT1G12900.3,,,AT3G42174.1,AT1G24793.2,AT5G50200.1,,,,AT1G58320.1,
AT5G38940.1,AT5G06690.1,AT2G32310.1,AT1G76135.1,AT1G03130.1,,,AT3G42434.1,AT5G36140.1,AT3G10720.1,,,,AT1G22150.1,
AT2G46190.1,ATCG00080.1,AT1G33100.1,AT1G30700.1,AT3G28220.1,,,AT1G11080.2,AT4G33120.1,AT5G15360.1,,,,AT1G14540.1,
AT1G71280.1,AT2G21140.1,AT5G54050.1,AT4G35650.1,AT5G45820.1,,,AT1G11080.1,AT3G21500.1,AT5G25260.1,,,,AT3G56970.1,
AT4G21020.1,AT4G01130.1,AT1G30135.1,AT1G51750.1,AT3G26280.1,,,AT3G42360.1,AT3G21500.2,AT4G23560.1,,,,AT3G47380.1,
AT3G51810.1,ATCG00690.1,AT2G24000.2,AT5G10420.1,AT2G45190.1,,,AT4G23250.1,AT4G16560.1,AT5G62330.1,,,,AT1G67270.1,
AT1G36922.1,AT5G47380.1,AT1G06080.1,AT1G05250.1,AT1G32060.1,,,AT3G42054.1,AT1G67810.1,AT3G15370.1,,,,AT5G52790.1,
AT4G10250.1,AT1G51110.1,AT2G25625.1,AT5G58170.1,AT5G27360.1,,,AT3G42065.1,AT3G01600.1,AT1G65483.2,,,,AT1G07560.1,
AT1G63200.1,ATCG00630.1,AT2G25625.2,AT4G10540.1,AT4G08870.1,,,AT3G42148.1,AT5G41750.2,AT2G35980.1,,,,AT1G77992.1,
AT1G63205.1,AT1G64770.1,AT5G39610.1,AT2G18690.1,AT3G26740.1,,,AT3G42182.1,AT2G16005.1,AT1G57780.1,,,,AT2G14210.1,
AT1G63206.1,AT1G61300.1,AT2G43580.1,AT3G44950.1,AT4G05180.1,,,AT3G42057.1,AT5G36150.1,,,,,AT1G13300.1,
AT2G07806.1,AT4G21210.1,AT5G24640.1,AT4G09740.1,AT5G63180.1,,,AT3G42086.1,AT5G42591.1,,,,,AT3G26830.1,
AT4G09960.2,AT1G64770.3,AT5G53790.1,AT5G45113.1,AT2G45180.1,,,AT3G42115.1,AT5G41750.1,,,,,AT3G13840.1,
AT2G04580.1,AT4G21210.2,AT4G17210.1,AT2G18690.2,AT3G61470.1,,,AT3G42120.1,AT1G02520.1,,,,,AT5G47450.1,
AT2G07708.1,AT1G44575.1,AT2G15555.1,AT4G09110.1,AT1G53480.1,,,AT3G42178.1,AT3G53840.1,,,,,AT5G53190.1,
AT3G61290.1,AT4G09350.1,AT2G21900.1,AT3G06665.1,AT1G55670.1,,,AT3G42186.1,AT5G06500.1,,,,,AT3G14620.1,
AT2G01560.1,ATCG00420.1,AT2G43730.1,AT2G29605.1,AT1G08380.1,,,AT3G42230.1,AT2G33710.2,,,,,AT4G32950.1,
AT4G33860.1,AT5G66570.1,AT2G23960.1,AT1G71150.1,AT4G08870.2,,,AT3G42236.1,AT5G07200.1,,,,,AT4G22210.1,
AT5G60880.2,AT1G44575.2,AT1G76800.1,AT3G12900.1,AT5G39210.1,,,AT3G42245.1,AT1G13310.1,,,,,AT1G19530.1,
AT2G07721.1,AT1G64770.2,AT3G59900.1,AT2G04063.1,AT5G50790.1,,,AT3G42179.1,AT5G56325.1,,,,,AT5G26220.1,
AT2G07713.1,ATCG00210.1,AT2G24000.1,AT2G31550.1,AT5G54270.1,,,AT3G42181.1,AT1G68280.1,,,,,AT1G30260.1,
,ATCG00890.1,AT3G17180.1,AT3G02040.1,AT1G29930.1,,,AT3G42203.1,AT1G74810.1,,,,,AT5G23840.2,
,AT5G06690.2,AT5G07990.1,AT1G36630.1,AT3G44860.1,,,AT3G42206.1,AT1G76680.1,,,,,AT1G80240.1,
,AT4G17600.1,AT3G43340.1,AT3G45280.1,AT3G54050.1,,,AT3G42220.1,AT5G46610.1,,,,,AT2G39380.1,
,AT1G14150.1,AT3G43470.1,AT2G42470.1,AT1G66100.1,,,AT3G42233.1,AT5G46610.2,,,,,AT5G23840.1,
,AT2G15080.1,AT3G43682.1,AT5G24440.1,AT2G14610.1,,,AT3G42250.1,AT5G09570.1,,,,,AT4G12170.1,
,AT2G15080.2,AT3G43760.1,AT5G57123.1,AT3G48720.1,,,AT3G42251.1,AT1G76680.2,,,,,AT3G28345.1,
,AT2G05540.1,AT5G22530.1,AT5G41310.1,AT3G54050.2,,,AT3G42252.1,AT2G15220.1,,,,,AT2G20800.1,
,AT1G79040.1,AT3G59720.1,AT4G00872.1,AT2G29300.1,,,AT5G20470.1,AT1G47890.1,,,,,AT3G25790.1,
,AT4G25050.1,AT1G03720.1,AT1G51913.1,AT5G45680.1,,,AT3G42550.1,AT1G64240.1,,,,,AT3G25190.1,
,AT1G62780.1,AT1G48980.1,AT2G05450.1,AT2G21330.1,,,AT5G47900.6,AT2G33710.1,,,,,AT1G52690.2,
,AT5G46105.1,AT1G48980.2,AT3G11150.1,AT2G21330.2,,,AT5G27895.1,AT3G27250.1,,,,,AT1G52690.1,
,AT4G25050.2,AT1G48980.3,AT3G11402.1,AT5G25040.1,,,AT4G35770.3,AT3G44490.1,,,,,AT1G22500.1,
,AT1G18735.1,AT1G48980.4,AT2G35080.2,AT5G25040.2,,,AT4G35770.1,AT5G48400.1,,,,,AT4G21380.1,
,ATCG01180.1,AT5G14400.1,AT2G45570.1,AT5G25040.3,,,AT4G35770.2,AT1G76420.1,,,,,AT1G61560.4,
,ATMG00030.1,AT1G19900.1,AT3G28210.1,AT2G21330.3,,,AT4G40065.1,AT1G23160.1,,,,,AT1G26240.1,
,ATCG00550.1,AT1G68390.1,AT5G16960.1,AT3G16140.1,,,AT3G10870.1,AT1G68270.1,,,,,AT1G61560.1,
,AT2G29370.1,AT1G02070.1,AT3G10720.2,AT3G06880.2,,,AT2G16740.1,AT5G26120.1,,,,,AT1G61130.1,
,ATCG00920.1,AT4G00080.1,AT1G13500.1,AT4G23290.2,,,AT1G15540.1,AT4G34135.2,,,,,AT5G01900.1,
,AT1G52220.1,AT3G30852.1,AT5G42230.1,AT1G72600.2,,,AT4G01390.1,AT5G48400.2,,,,,AT1G02850.4,
,AT1G52220.2,AT1G03710.1,AT3G22910.1,AT5G48490.1,,,AT2G03710.2,,,,,,AT1G02850.5,
,AT1G15180.1,AT1G79680.1,AT2G05400.2,AT1G15980.1,,,AT2G03710.1,,,,,,AT2G01530.1,
,AT5G52780.1,AT1G03710.2,AT3G01080.1,AT1G06360.1,,,AT3G50460.1,,,,,,AT1G02850.2,
,AT1G52220.3,AT1G75830.1,AT2G02240.1,AT5G44580.1,,,AT4G34250.1,,,,,,AT3G29767.1,
,AT4G13840.1,AT2G02830.1,AT4G22530.1,AT3G06880.1,,,AT1G56600.1,,,,,,AT3G19430.1,
,AT1G01140.2,AT1G52695.1,AT3G54420.1,AT4G23290.1,,,AT2G03710.3,,,,,,AT2G43570.1,
,AT2G21530.1,AT5G15380.1,AT1G69480.1,AT4G22485.1,,,AT1G73300.1,,,,,,AT1G02850.3,
,AT1G01140.3,AT5G53640.1,AT3G47740.1,AT1G75460.1,,,AT2G16960.1,,,,,,AT1G02850.1,
,AT1G01140.1,AT3G43370.1,AT4G18900.1,AT1G21500.1,,,AT2G43920.3,,,,,,AT4G37235.1,
,AT1G76080.1,AT5G02370.1,,AT1G20020.1,,,AT1G34050.1,,,,,,AT4G04745.1,
,AT1G06680.2,AT3G03660.2,,AT1G20020.3,,,AT5G16530.1,,,,,,AT3G46270.1,
,AT2G41940.1,AT4G25200.1,,AT1G20020.2,,,AT1G59312.1,,,,,,AT5G10180.1,
,AT1G06680.1,AT5G50550.1,,AT3G48200.1,,,AT5G07572.1,,,,,,AT1G61560.3,
,AT4G25990.1,AT4G15680.1,,AT3G21055.1,,,AT2G44290.1,,,,,,AT1G61560.2,
,AT1G15180.2,AT3G03660.1,,AT3G08940.1,,,AT1G52050.1,,,,,,AT2G33790.1,
,AT1G24260.1,AT4G02160.1,,AT2G29300.2,,,AT4G14060.1,,,,,,AT2G29250.1,
,AT1G24260.2,AT3G44755.1,,AT3G08940.2,,,AT5G07571.1,,,,,,AT2G26400.1,
,ATCG00350.1,AT5G41290.1,,AT4G16880.1,,,AT1G48800.1,,,,,,AT5G51500.1,
,AT5G04230.1,AT5G40212.1,,AT1G22690.3,,,AT5G10570.1,,,,,,AT1G45030.1,
,AT5G40380.1,,,AT1G09310.1,,,AT1G29460.1,,,,,,AT5G48175.1,
,ATCG00905.1,,,AT4G19430.1,,,AT5G59320.1,,,,,,AT5G52390.1,
,ATCG00440.1,,,AT5G64770.1,,,AT3G15990.1,,,,,,AT5G47000.1,
,ATCG00830.1,,,AT1G61520.3,,,AT4G04840.1,,,,,,AT4G17340.1,
