RootCAX22,RootCAX23,RootCOL00,RootRBOHD,RootCAX22|RootCAX23,RootCAX22|RootCOL00,RootCAX22|RootRBOHD,RootCAX23|RootCOL00,RootCAX23|RootRBOHD,RootCOL00|RootRBOHD,RootCAX22|RootCAX23|RootCOL00,RootCAX22|RootCAX23|RootRBOHD,RootCAX22|RootCOL00|RootRBOHD,RootCAX23|RootCOL00|RootRBOHD,RootCAX22|RootCAX23|RootCOL00|RootRBOHD
AT1G24938.1,AT3G41768.1,AT5G54045.1,AT1G75940.1,AT3G01500.3,AT5G05340.1,AT1G24822.1,AT1G68190.1,AT3G51420.1,AT5G53960.1,AT5G38420.1,AT5G42530.1,AT5G44120.2,AT2G41810.1,AT2G30750.1
AT1G24909.1,AT5G14740.2,AT5G54148.1,AT3G54530.1,AT3G01500.2,AT5G09710.1,AT1G24880.3,AT1G72930.2,AT1G16410.1,AT5G54150.1,AT1G31580.1,AT2G13360.1,AT5G44120.3,AT1G49570.1,AT4G31970.1
AT1G58983.1,AT5G14740.1,AT2G15780.1,AT3G54530.2,AT3G01500.1,AT5G09720.1,AT2G07776.2,AT1G72930.1,AT5G06870.1,AT2G26560.1,AT2G25510.2,AT2G13360.2,AT5G44120.1,AT1G21250.1,AT1G26380.1
AT1G24967.1,AT5G14740.5,AT5G53950.1,AT1G27565.1,AT2G34430.1,AT5G09711.1,AT2G07777.1,AT5G46880.1,AT1G51820.1,AT3G47480.1,AT2G25510.1,AT2G18140.1,AT2G30770.1,AT1G65390.1,AT3G60120.1
AT1G24881.1,AT5G14740.4,AT1G64160.1,AT3G16432.1,AT5G26000.1,AT2G02010.1,AT2G07812.1,AT4G22517.1,AT3G22235.1,AT2G43620.1,AT2G05090.1,AT4G13410.1,AT1G28500.1,AT1G65390.2,AT1G26390.1
AT1G24851.1,AT5G14740.3,AT5G53910.1,AT1G58050.1,AT5G26000.2,AT3G11680.1,AT2G07749.1,AT2G39010.1,AT3G22235.2,AT5G13370.1,AT1G51805.1,AT5G24210.1,AT2G43510.1,AT3G48740.1,AT1G67980.1
AT1G24879.1,AT2G01010.1,AT5G54010.1,AT1G75790.1,AT5G20630.1,AT2G29350.1,AT1G24880.2,AT2G16380.1,AT2G36690.1,AT3G60270.1,AT1G51805.2,AT1G19670.1,ATMG01290.1,AT3G26200.1,AT1G67980.2
AT1G24880.1,AT3G41979.1,AT2G32487.1,AT3G61390.2,AT5G38410.1,AT2G29350.3,AT4G15310.1,AT3G44970.1,AT3G59580.1,AT4G15360.1,AT3G42190.1,AT1G71920.1,ATMG01310.1,AT2G28270.1,AT3G21720.1
AT3G11920.1,AT2G01020.1,AT1G70840.1,AT3G61390.1,AT5G38410.3,AT3G61030.1,AT2G07755.1,AT3G42300.1,AT5G42800.1,AT1G23730.1,AT2G05080.1,AT1G71920.3,ATMG01300.1,AT2G44460.1,AT3G60140.1
AT3G11165.1,AT5G24150.1,AT5G54095.1,AT2G30766.1,AT5G38410.2,AT2G29350.2,AT2G07692.1,AT3G42330.1,AT3G59580.2,AT1G25210.1,AT2G05082.1,AT1G71920.2,ATMG01270.1,AT1G07550.1,AT2G04050.1
