label	file	group	cond
CAX22_ROOT_FL_1	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
CAX22_ROOT_FL_2	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
CAX22_ROOT_FL_3	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
CAX22_ROOT_FL_4	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
CAX22_ROOT_GC_1	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
CAX22_ROOT_GC_2	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
CAX22_ROOT_GC_3	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
CAX22_ROOT_GC_4	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
CAX22_SHOOT_FL_1	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
CAX22_SHOOT_FL_2	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
CAX22_SHOOT_FL_3	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
CAX22_SHOOT_FL_4	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
CAX22_SHOOT_GC_1	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
CAX22_SHOOT_GC_2	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
CAX22_SHOOT_GC_3	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
CAX22_SHOOT_GC_4	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
CAX23_ROOT_FL_1	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
CAX23_ROOT_FL_2	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
CAX23_ROOT_FL_3	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
CAX23_ROOT_FL_4	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
CAX23_ROOT_GC_1	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
CAX23_ROOT_GC_2	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
CAX23_ROOT_GC_3	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
CAX23_ROOT_GC_4	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
CAX23_SHOOT_FL_1	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
CAX23_SHOOT_FL_2	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
CAX23_SHOOT_FL_3	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
CAX23_SHOOT_FL_4	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
CAX23_SHOOT_GC_1	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
CAX23_SHOOT_GC_2	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
CAX23_SHOOT_GC_3	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
CAX23_SHOOT_GC_4	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
COL00_ROOT_FL_1	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
COL00_ROOT_FL_2	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
COL00_ROOT_FL_3	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
COL00_ROOT_FL_4	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
COL00_ROOT_GC_1	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
COL00_ROOT_GC_2	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
COL00_ROOT_GC_3	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
COL00_ROOT_GC_4	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
COL00_SHOOT_FL_1	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
COL00_SHOOT_FL_2	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
COL00_SHOOT_FL_3	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
COL00_SHOOT_FL_4	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
COL00_SHOOT_GC_1	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
COL00_SHOOT_GC_2	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
