SampleLabel	File	Group	Cond	Genotype	Location
CAX22.ROOT.FL.1	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	CAX22	B8
CAX22.ROOT.FL.2	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	CAX22	B4
CAX22.ROOT.FL.3	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	CAX22	A7
CAX22.ROOT.FL.4	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	CAX22	A3
CAX22.ROOT.GC.1	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	CAX22	B8
CAX22.ROOT.GC.2	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	CAX22	B4
CAX22.ROOT.GC.3	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	CAX22	A7
CAX22.ROOT.GC.4	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	CAX22	A3
CAX22.SHOOT.FL.1	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	CAX22	B8
CAX22.SHOOT.FL.2	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	CAX22	B4
CAX22.SHOOT.FL.3	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	CAX22	A7
CAX22.SHOOT.FL.4	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	CAX22	A3
CAX22.SHOOT.GC.1	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	CAX22	B8
CAX22.SHOOT.GC.2	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	CAX22	B4
CAX22.SHOOT.GC.3	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	CAX22	A7
CAX22.SHOOT.GC.4	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	CAX22	A3
CAX23.ROOT.FL.1	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	CAX23	B7
CAX23.ROOT.FL.2	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	CAX23	B3
CAX23.ROOT.FL.3	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	CAX23	A8
CAX23.ROOT.FL.4	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	CAX23	A4
CAX23.ROOT.GC.1	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	CAX23	B7
CAX23.ROOT.GC.2	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	CAX23	B3
CAX23.ROOT.GC.3	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	CAX23	A8
CAX23.ROOT.GC.4	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	CAX23	A4
CAX23.SHOOT.FL.1	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	CAX23	B7
CAX23.SHOOT.FL.2	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	CAX23	B3
CAX23.SHOOT.FL.3	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	CAX23	A8
CAX23.SHOOT.FL.4	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	CAX23	A4
CAX23.SHOOT.GC.1	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	CAX23	B7
CAX23.SHOOT.GC.2	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	CAX23	B3
CAX23.SHOOT.GC.3	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	CAX23	A8
CAX23.SHOOT.GC.4	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	CAX23	A4
COL00.ROOT.FL.1	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	COL00	C3
COL00.ROOT.FL.2	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	COL00	B9
COL00.ROOT.FL.3	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	COL00	B6
COL00.ROOT.FL.4	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	COL00	A1
COL00.ROOT.GC.1	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	COL00	C3
COL00.ROOT.GC.2	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	COL00	B9
COL00.ROOT.GC.3	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	COL00	B6
COL00.ROOT.GC.4	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	COL00	A1
COL00.SHOOT.FL.1	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	COL00	C3
COL00.SHOOT.FL.2	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	COL00	B9
