group	cond	label
RootCAX23	FL	FLRoot_CAX23_1
RootCAX23	GC	GCRoot_CAX23_1
RootCAX23	FL	FLRoot_CAX23_2
RootCAX23	GC	GCRoot_CAX23_2
RootCAX23	FL	FLRoot_CAX23_3
RootCAX23	GC	GCRoot_CAX23_3
RootCAX23	FL	FLRoot_CAX23_4
RootCAX23	GC	GCRoot_CAX23_4
ShootCAX23	FL	FLShoot_CAX23_1
ShootCAX23	GC	GCShoot_CAX23_1
ShootCAX23	FL	FLShoot_CAX23_2
ShootCAX23	GC	GCShoot_CAX23_2
ShootCAX23	FL	FLShoot_CAX23_3
ShootCAX23	GC	GCShoot_CAX23_3
ShootCAX23	FL	FLShoot_CAX23_4
ShootCAX23	GC	GCShoot_CAX23_4
