SampleLabelV1,File,Group,Location,Cond,Genotype,SampleLabel_V2,Rep
A3_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,A3,FL,CAX22,A3_FL_Root_CAX22,1
A3_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,A3,FL,CAX22,A3_FL_Shoot_CAX22,1
B4_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,B4,FL,CAX22,B4_FL_Root_CAX22,2
B4_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B4,FL,CAX22,B4_FL_Shoot_CAX22,2
B8_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,B8,FL,CAX22,B8_FL_Root_CAX22,3
B8_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B8,FL,CAX22,B8_FL_Shoot_CAX22,3
A3_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,A3,GC,CAX22,A3_GC_Root_CAX22,1
A3_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,A3,GC,CAX22,A3_GC_Shoot_CAX22,1
B4_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,B4,GC,CAX22,B4_GC_Root_CAX22,2
B4_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B4,GC,CAX22,B4_GC_Shoot_CAX22,2
B8_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,B8,GC,CAX22,B8_GC_Root_CAX22,3
B8_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B8,GC,CAX22,B8_GC_Shoot_CAX22,3
A7_GC_Root,APEX5_HiSeq_HiSat_counts_out,ROOT,A7,FL,CAX22,A7_FL_Root_CAX22,4
A7_FL_Root,APEX5_HiSeq_HiSat_counts_out,ROOT,A7,GC,CAX22,A7_GC_Root_CAX22,4
A7_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,SHOOT,A7,FL,CAX22,A7_FL_Shoot_CAX22,4
A7_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,SHOOT,A7,GC,CAX22,A7_GC_Shoot_CAX22,4
A4_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,A4,FL,CAX23,A4_FL_Root_CAX23,1
A4_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,A4,FL,CAX23,A4_FL_Shoot_CAX23,1
A8_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,A8,FL,CAX23,A8_FL_Root_CAX23,2
A8_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,A8,FL,CAX23,A8_FL_Shoot_CAX23,2
B3_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,B3,FL,CAX23,B3_FL_Root_CAX23,3
B3_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B3,FL,CAX23,B3_FL_Shoot_CAX23,3
B7_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,B7,FL,CAX23,B7_FL_Root_CAX23,4
B7_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B7,FL,CAX23,B7_FL_Shoot_CAX23,4
A4_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,A4,GC,CAX23,A4_GC_Root_CAX23,1
A4_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,A4,GC,CAX23,A4_GC_Shoot_CAX23,1
A8_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,A8,GC,CAX23,A8_GC_Root_CAX23,2
A8_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,A8,GC,CAX23,A8_GC_Shoot_CAX23,2
B3_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,B3,GC,CAX23,B3_GC_Root_CAX23,3
B3_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B3,GC,CAX23,B3_GC_Shoot_CAX23,3
