Location,Genotype,n,mean_mislabel_score,frac_predicted_other
C5,cax22,17,0.8638268362900716,0.8823529411764706
A10,cax22,17,0.7964695059842118,0.9411764705882353
A3,cax22,14,0.7836011432350718,0.9285714285714286
B8,cax22,20,0.7622676917989418,0.75
C3,Col-0,20,0.7612758267195767,0.8
B5,rbohD,21,0.7584391849332326,0.7142857142857143
B4,cax22,17,0.7555507314036726,0.7058823529411765
A8,cax23,19,0.7352836257309942,0.7894736842105263
C4,rbohD,22,0.7320228447898902,0.7272727272727273
B3,cax23,22,0.7314888659320478,0.7727272727272727
B2,rbohD,22,0.7278921356421356,0.7272727272727273
A4,cax23,22,0.724504329004329,0.6363636363636364
B9,Col-0,21,0.72446910430839,0.7142857142857143
A7,cax22,16,0.7225185598544974,0.5625
C8,rbohD,20,0.719122144059644,0.75
C10,rbohD,20,0.717893287037037,0.65
A1,Col-0,19,0.7159576403129035,0.7894736842105263
C6,cax23,22,0.7153888342297433,0.7272727272727273
B6,Col-0,21,0.7108247669438146,0.5714285714285714
A6,rbohD,22,0.707771133958634,0.7272727272727273
B7,cax23,20,0.7013271494708995,0.65
C1,cax23,23,0.6952159378463726,0.5652173913043478
A5,Col-0,19,0.683203738512949,0.5789473684210527
C7,Col-0,14,0.6685037320483749,0.5714285714285714
