Location,Treatment,Genotype,n_roots,length_mean,length_std,length_med,length_p90,vector_length_mean,vector_length_std,vector_length_med,vector_length_p90,surface_mean,surface_std,surface_med,surface_p90,volume_mean,volume_std,volume_med,volume_p90,direction_mean,direction_std,direction_med,direction_p90,diameter_mean,diameter_std,diameter_med,diameter_p90,outlier_score,flagged_outlier,cv_predicted_genotype,genotype_mismatch
A3,FL,cax22,8,0.6899579575,0.5314232638365026,0.43423827,1.46276765,0.617361665,0.4396039370373304,0.41161117,1.18541213,0.136765065125,0.08955777357654521,0.0984319625,0.24115980999999997,0.002426586375,0.0016689110299463942,0.0018627144999999999,0.0043950848999999995,201.68005382125,105.27095269684762,245.8285486,303.3848097,0.0723206225,0.018416020227668396,0.0711546095,0.0929300233,0.6257975863383268,True,cax22,False
C3,FL,Col-0,11,0.5679689936363636,0.3683795287265623,0.613827,1.1361939,0.49091640000000003,0.3177485095568239,0.38274062,0.98467606,0.08886671463636363,0.07499811702863655,0.07096501,0.14601795,0.001298598909090909,0.0015010797153421664,0.000928,0.001854072,225.42106474545454,53.08069784504272,237.1684288,267.4741694,0.046753645272727275,0.008278817514577826,0.045156147,0.05631953,0.5888323293823652,True,cax23,True
A1,FL,Col-0,9,1.2085548855555557,0.48895329534341425,1.1002287,1.73076682,1.02290158,0.560005591721956,1.0677989,1.66635928,0.2405833128888889,0.09665641719569315,0.24602564,0.340267472,0.004446231777777777,0.0024869541450779496,0.004734302,0.007013925000000001,261.3401343555555,43.72106136358543,259.7415483,313.71588332,0.0628775268888889,0.01715647291046186,0.055809647,0.0845458272,0.5847359324224746,True,Col-0,False
C7,FL,Col-0,4,0.99051085,0.16746559515210135,1.0190425,1.1566798200000001,0.8043118,0.23558843961613435,0.80321385,1.05444108,0.12831422625,0.024636477330075873,0.11665639,0.15563827600000002,0.0015116269999999998,0.0003615044581156642,0.0015154894999999998,0.001899014,244.31720192499998,38.99888935982135,233.34604324999998,288.88025548,0.04347482925,0.005769292084391783,0.045634079,0.047913728499999995,0.5760231255806948,True,cax23,True
B6,GC,Col-0,11,1.8780615727272727,0.5537048355018502,2.089343,2.3385901,1.809924881818182,0.5244424106990495,1.9070629,2.2647572,0.30401220636363635,0.09740666841084625,0.35325053,0.38956463,0.004180143636363637,0.0015885249983254204,0.004467811,0.005527987,277.2826190909091,7.023410121368426,277.5463488,287.2340433,0.052326027636363646,0.004335570528057792,0.052679513,0.05851748,0.5755473635351637,True,Col-0,False
C1,FL,cax23,12,0.9837490608333331,0.18759430310087377,1.0080353,1.1293316199999999,0.9113397108333333,0.18204377821014917,0.934144345,1.02204603,0.13496303416666666,0.035417615703597846,0.123112,0.181755577,0.0016178143333333333,0.0008050663047917579,0.0013620005,0.0021795184,185.96580116916667,74.58492431727815,206.49995055,251.73920854,0.04413680358333333,0.009216552760097469,0.0417955885,0.0493099503,0.5685546691791977,False,cax23,False
A5,FL,Col-0,10,1.2414152600000001,0.45022852995605506,1.2625893000000001,1.69262349,1.018416239,0.4565704512950604,1.06107,1.55762665,0.234593573,0.08839680260115712,0.23705903,0.34281571899999996,0.0040367226,0.0017914659361471655,0.0037273799999999998,0.005855575599999999,211.81110973999998,46.63538892176618,195.2495908,272.39923848,0.0663866545,0.015864530908274003,0.0635697805,0.08078234399999999,0.5459562049272867,False,cax22,True
B7,FL,cax23,9,0.8810271222222223,0.3506467035810437,0.88346946,1.30438522,0.7589225577777777,0.3826628662377292,0.64053106,1.23437796,0.12798738222222225,0.04808367739567642,0.12155911,0.18007053,0.001723500888888889,0.0007803959258226193,0.001616629,0.0028887394,224.1116692,43.77593367307339,211.7644418,274.46005412,0.04980416,0.01016879110008802,0.046040233,0.06687918999999999,0.4981926297071924,False,cax22,True
A4,FL,cax23,11,0.8776506954545453,0.3294309634622478,0.8012448,1.2958634,0.8193271145454546,0.29212544093320325,0.78811604,1.2694424,0.14138094181818184,0.03766049495788454,0.14097296,0.18557951,0.002143092,0.0007150992194055058,0.00211429,0.003094194,226.6731290818182,61.39926554427364,238.8981332,288.3700403,0.05787138618181819,0.01455007295989581,0.048228726,0.070510246,0.497757103564527,False,cax23,False
A5,GC,Col-0,9,1.799754822222222,0.3895031227978247,1.9050103,2.12674284,1.7487702777777778,0.3681350867995508,1.8412298,2.0722779599999996,0.3009178544444444,0.07274610929428736,0.2924046,0.374497556,0.004422266888888889,0.0015424292441350391,0.003775282,0.0061735976000000005,281.8962899111111,4.119857436405615,281.524251,287.04095658,0.05494884533333333,0.006569881081743347,0.055460945,0.061790299400000005,0.49674406950351147,False,Col-0,False
