Location,Treatment,Genotype,image,root_name,predicted_genotype,p_assigned_label,mislabel_score
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_11,rbohD,0.01712698412698413,0.9828730158730159
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_2_day4,Col-0,0.021083333333333332,0.9789166666666667
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_6_day4,cax23,0.022805555555555558,0.9771944444444445
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_10_day4,cax22,0.025972222222222223,0.9740277777777778
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_7_day4,cax23,0.030500000000000003,0.9695
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_8_day4,cax23,0.03133333333333333,0.9686666666666667
B4,GC,cax22,B4_GC_cax22_day4.rsml,B4_GC_cax22_5_day4,cax23,0.03632936507936508,0.9636706349206349
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_5_day4,cax23,0.04022222222222223,0.9597777777777777
A5,GC,Col-0,A5_GC_Col_day4_1.rsml,A5_GC_Col_5_day4,cax23,0.042269841269841256,0.9577301587301588
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_2_day4,rbohD,0.04509722222222221,0.9549027777777778
C3,GC,Col-0,C3_GC_Col_day4_4.rsml,C3_GC_Col_9_day4,cax22,0.04748148148148147,0.9525185185185185
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_5_day4,cax23,0.0486111111111111,0.951388888888889
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_7_day4,rbohD,0.049749999999999996,0.95025
A10,FL,cax22,A10_FL_cax22_day4.rsml,cax22-_FL_A10_day2_3,cax23,0.05058333333333334,0.9494166666666667
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_6_day4,rbohD,0.05346031746031745,0.9465396825396826
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_6_day4,rbohD,0.05349074074074075,0.9465092592592592
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_3_day4,rbohD,0.05663095238095238,0.9433690476190476
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_9_day4,cax23,0.06061111111111111,0.9393888888888889
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_5_day4,Col-0,0.06070436507936507,0.939295634920635
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_11_day4,rbohD,0.06161111111111112,0.9383888888888888
B4,GC,cax22,B4_GC_cax22_day4.rsml,B4_GC_cax22_1_day4,rbohD,0.062265873015873024,0.937734126984127
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_1_day4,Col-0,0.06269444444444444,0.9373055555555556
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_6,cax23,0.06392592592592593,0.9360740740740741
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_2_day4,Col-0,0.064,0.9359999999999999
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_3_day4,Col-0,0.06725198412698413,0.9327480158730159
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_9_day4,cax22,0.07157936507936508,0.928420634920635
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_2_day4,cax22,0.07173809523809524,0.9282619047619047
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_8_day4,rbohD,0.07318253968253968,0.9268174603174604
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_7_day4,rbohD,0.07440079365079366,0.9255992063492063
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_7_day4,rbohD,0.07502777777777779,0.9249722222222222
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_1_day4,Col-0,0.07546428571428573,0.9245357142857142
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_11_day4,cax23,0.07712896825396823,0.9228710317460318
C5,GC,cax22,C5_GC_cax22_day4.rsml,C5_GC_cax22_2_day4,Col-0,0.07791005291005292,0.9220899470899471
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_9_day4,cax22,0.07859722222222223,0.9214027777777778
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_9_day4,cax22,0.0805952380952381,0.919404761904762
C7,FL,Col-0,C7_FL_Col_day4_5.rsml,C7_FL_Col_4_day4,cax23,0.08148015873015874,0.9185198412698412
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_10_day4,cax23,0.08405753968253969,0.9159424603174603
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_5_day4,Col-0,0.08439814814814818,0.9156018518518518
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_5_day4,rbohD,0.08869047619047621,0.9113095238095238
A3,FL,cax22,A3_FL_cax22_day4_1.rsml,A3_FL_cax22_1_day4,Col-0,0.0888015873015873,0.9111984126984127
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_2_day4,rbohD,0.09116666666666666,0.9088333333333334
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_11_day4,Col-0,0.09188492063492064,0.9081150793650794
A1,FL,Col-0,A1_FL_Col_day4.rsml,Col_FL_day2_3,rbohD,0.09226190476190478,0.9077380952380952
B4,GC,cax22,B4_GC_cax22_day4.rsml,B4_GC_cax22_2_day4,Col-0,0.09289814814814813,0.9071018518518519
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_3_day4,cax22,0.0932996031746032,0.9067003968253968
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_8_day4,Col-0,0.09416666666666668,0.9058333333333333
C3,GC,Col-0,C3_GC_Col_day4_4.rsml,C3_GC_Col_2_day4,cax22,0.09442261904761905,0.9055773809523809
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_2_day4,cax22,0.0950238095238096,0.9049761904761904
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_8_day4,rbohD,0.09746164021164022,0.9025383597883598
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_4_day4,cax22,0.09782936507936511,0.9021706349206349
C5,GC,cax22,C5_GC_cax22_day4.rsml,C5_GC_cax22_5_day4,cax23,0.10057142857142858,0.8994285714285715
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_6_day4,cax23,0.10114682539682539,0.8988531746031746
A10,GC,cax22,A10_GC_cax22_day4.rsml,cax22_GC_A10_6,rbohD,0.10126190476190476,0.8987380952380952
A3,GC,cax22,A3_GC_cax22_day4.rsml,A3_GC_cax22_5_day4,Col-0,0.10168121693121691,0.8983187830687831
A7,GC,cax22,A7_GC_cax22_day4_2.rsml,A7_GC_cax22_7_day4,rbohD,0.10305357142857147,0.8969464285714286
A7,FL,cax22,A7_FL_cax22_day4.rsml,A7_GC_cax22_7_day4,rbohD,0.10305357142857147,0.8969464285714286
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_2_day4,rbohD,0.10397817460317463,0.8960218253968254
C5,GC,cax22,C5_GC_cax22_day4.rsml,C5_GC_cax22_3_day4,cax23,0.10435317460317463,0.8956468253968254
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_5_day4,cax23,0.10475000000000004,0.89525
