Sample name,Tissue,Location,Cond,Genotype,Treatment_genotype,Treatment_tissue,Genotype_tissue,Location_treatment_tissue
A1-FL-ROOT_S10,ROOT,A1,FL,COL00,FLCOL00,FLROOT,COL00ROOT,A1-FL-ROOT
A1-FL-SHOOT_S9,SHOOT,A1,FL,COL00,FLCOL00,FLSHOOT,COL00SHOOT,A1-FL-SHOOT
A1-GC-ROOT_S2,ROOT,A1,GC,COL00,GCCOL00,GCROOT,COL00ROOT,A1-GC-ROOT
A1-GC-SHOOT_S1,SHOOT,A1,GC,COL00,GCCOL00,GCSHOOT,COL00SHOOT,A1-GC-SHOOT
A3-FL-ROOT_S60,ROOT,A3,FL,CAX22,FLCAX22,FLROOT,CAX22ROOT,A3-FL-ROOT
A3-FL-SHOOT_S59,SHOOT,A3,FL,CAX22,FLCAX22,FLSHOOT,CAX22SHOOT,A3-FL-SHOOT
A3-GC-ROOT_S52,ROOT,A3,GC,CAX22,GCCAX22,GCROOT,CAX22ROOT,A3-GC-ROOT
A3-GC-SHOOT_S51,SHOOT,A3,GC,CAX22,GCCAX22,GCSHOOT,CAX22SHOOT,A3-GC-SHOOT
A4-FL-ROOT_S14,ROOT,A4,FL,CAX23,FLCAX23,FLROOT,CAX23ROOT,A4-FL-ROOT
A4-FL-SHOOT_S13,SHOOT,A4,FL,CAX23,FLCAX23,FLSHOOT,CAX23SHOOT,A4-FL-SHOOT
A4-GC-ROOT_S6,ROOT,A4,GC,CAX23,GCCAX23,GCROOT,CAX23ROOT,A4-GC-ROOT
A4-GC-SHOOT_S5,SHOOT,A4,GC,CAX23,GCCAX23,GCSHOOT,CAX23SHOOT,A4-GC-SHOOT
A7-FL-ROOT_S12,ROOT,A7,FL,CAX22,FLCAX22,FLROOT,CAX22ROOT,A7-FL-ROOT
A7-FL-SHOOT_S11,SHOOT,A7,FL,CAX22,FLCAX22,FLSHOOT,CAX22SHOOT,A7-FL-SHOOT
A7-GC-ROOT_S4,ROOT,A7,GC,CAX22,GCCAX22,GCROOT,CAX22ROOT,A7-GC-ROOT
A7-GC-SHOOT_S3,SHOOT,A7,GC,CAX22,GCCAX22,GCSHOOT,CAX22SHOOT,A7-GC-SHOOT
A8-FL-ROOT_S30,ROOT,A8,FL,CAX23,FLCAX23,FLROOT,CAX23ROOT,A8-FL-ROOT
A8-FL-SHOOT_S29,SHOOT,A8,FL,CAX23,FLCAX23,FLSHOOT,CAX23SHOOT,A8-FL-SHOOT
A8-GC-ROOT_S22,ROOT,A8,GC,CAX23,GCCAX23,GCROOT,CAX23ROOT,A8-GC-ROOT
A8-GC-SHOOT_S21,SHOOT,A8,GC,CAX23,GCCAX23,GCSHOOT,CAX23SHOOT,A8-GC-SHOOT
B2-FL-ROOT_S48,ROOT,B2,FL,RBOHD,FLRBOHD,FLROOT,RBOHDROOT,B2-FL-ROOT
B2-FL-SHOOT_S47,SHOOT,B2,FL,RBOHD,FLRBOHD,FLSHOOT,RBOHDSHOOT,B2-FL-SHOOT
B2-GC-ROOT_S40,ROOT,B2,GC,RBOHD,GCRBOHD,GCROOT,RBOHDROOT,B2-GC-ROOT
B2-GC-SHOOT_S39,SHOOT,B2,GC,RBOHD,GCRBOHD,GCSHOOT,RBOHDSHOOT,B2-GC-SHOOT
B3-FL-ROOT_S46,ROOT,B3,FL,CAX23,FLCAX23,FLROOT,CAX23ROOT,B3-FL-ROOT
B3-FL-SHOOT_S45,SHOOT,B3,FL,CAX23,FLCAX23,FLSHOOT,CAX23SHOOT,B3-FL-SHOOT
B3-GC-ROOT_S38,ROOT,B3,GC,CAX23,GCCAX23,GCROOT,CAX23ROOT,B3-GC-ROOT
B3-GC-SHOOT_S37,SHOOT,B3,GC,CAX23,GCCAX23,GCSHOOT,CAX23SHOOT,B3-GC-SHOOT
B4-FL-ROOT_S44,ROOT,B4,FL,CAX22,FLCAX22,FLROOT,CAX22ROOT,B4-FL-ROOT
B4-FL-SHOOT_S43,SHOOT,B4,FL,CAX22,FLCAX22,FLSHOOT,CAX22SHOOT,B4-FL-SHOOT
B4-GC-ROOT_S36,ROOT,B4,GC,CAX22,GCCAX22,GCROOT,CAX22ROOT,B4-GC-ROOT
B4-GC-SHOOT_S35,SHOOT,B4,GC,CAX22,GCCAX22,GCSHOOT,CAX22SHOOT,B4-GC-SHOOT
B5-FL-ROOT_S64,ROOT,B5,FL,RBOHD,FLRBOHD,FLROOT,RBOHDROOT,B5-FL-ROOT
B5-FL-SHOOT_S63,SHOOT,B5,FL,RBOHD,FLRBOHD,FLSHOOT,RBOHDSHOOT,B5-FL-SHOOT
B5-GC-ROOT_S56,ROOT,B5,GC,RBOHD,GCRBOHD,GCROOT,RBOHDROOT,B5-GC-ROOT
B5-GC-SHOOT_S55,SHOOT,B5,GC,RBOHD,GCRBOHD,GCSHOOT,RBOHDSHOOT,B5-GC-SHOOT
B6-FL-ROOT_S58,ROOT,B6,FL,COL00,FLCOL00,FLROOT,COL00ROOT,B6-FL-ROOT
B6-FL-SHOOT_S57,SHOOT,B6,FL,COL00,FLCOL00,FLSHOOT,COL00SHOOT,B6-FL-SHOOT
B6-GC-ROOT_S50,ROOT,B6,GC,COL00,GCCOL00,GCROOT,COL00ROOT,B6-GC-ROOT
B6-GC-SHOOT_S49,SHOOT,B6,GC,COL00,GCCOL00,GCSHOOT,COL00SHOOT,B6-GC-SHOOT
B7-FL-ROOT_S62,ROOT,B7,FL,CAX23,FLCAX23,FLROOT,CAX23ROOT,B7-FL-ROOT
B7-FL-SHOOT_S61,SHOOT,B7,FL,CAX23,FLCAX23,FLSHOOT,CAX23SHOOT,B7-FL-SHOOT
B7-GC-ROOT_S54,ROOT,B7,GC,CAX23,GCCAX23,GCROOT,CAX23ROOT,B7-GC-ROOT
B7-GC-SHOOT_S53,SHOOT,B7,GC,CAX23,GCCAX23,GCSHOOT,CAX23SHOOT,B7-GC-SHOOT
B8-FL-ROOT_S28,ROOT,B8,FL,CAX22,FLCAX22,FLROOT,CAX22ROOT,B8-FL-ROOT
B8-FL-SHOOT_S27,SHOOT,B8,FL,CAX22,FLCAX22,FLSHOOT,CAX22SHOOT,B8-FL-SHOOT
B8-GC-ROOT_S20,ROOT,B8,GC,CAX22,GCCAX22,GCROOT,CAX22ROOT,B8-GC-ROOT
B8-GC-SHOOT_S19,SHOOT,B8,GC,CAX22,GCCAX22,GCSHOOT,CAX22SHOOT,B8-GC-SHOOT
B9-FL-ROOT_S26,ROOT,B9,FL,COL00,FLCOL00,FLROOT,COL00ROOT,B9-FL-ROOT
B9-FL-SHOOT_S25,SHOOT,B9,FL,COL00,FLCOL00,FLSHOOT,COL00SHOOT,B9-FL-SHOOT
B9-GC-ROOT_S18,ROOT,B9,GC,COL00,GCCOL00,GCROOT,COL00ROOT,B9-GC-ROOT
B9-GC-SHOOT_S17,SHOOT,B9,GC,COL00,GCCOL00,GCSHOOT,COL00SHOOT,B9-GC-SHOOT
C3-FL-ROOT_S42,ROOT,C3,FL,COL00,FLCOL00,FLROOT,COL00ROOT,C3-FL-ROOT
C3-FL-SHOOT_S41,SHOOT,C3,FL,COL00,FLCOL00,FLSHOOT,COL00SHOOT,C3-FL-SHOOT
C3-GC-ROOT_S34,ROOT,C3,GC,COL00,GCCOL00,GCROOT,COL00ROOT,C3-GC-ROOT
C3-GC-SHOOT_S33,SHOOT,C3,GC,COL00,GCCOL00,GCSHOOT,COL00SHOOT,C3-GC-SHOOT
C4-FL-ROOT_S16,ROOT,C4,FL,RBOHD,FLRBOHD,FLROOT,RBOHDROOT,C4-FL-ROOT
C4-FL-SHOOT_S15,SHOOT,C4,FL,RBOHD,FLRBOHD,FLSHOOT,RBOHDSHOOT,C4-FL-SHOOT
C4-GC-ROOT_S8,ROOT,C4,GC,RBOHD,GCRBOHD,GCROOT,RBOHDROOT,C4-GC-ROOT
C4-GC-SHOOT_S7,SHOOT,C4,GC,RBOHD,GCRBOHD,GCSHOOT,RBOHDSHOOT,C4-GC-SHOOT
C8-FL-ROOT_S32,ROOT,C8,FL,RBOHD,FLRBOHD,FLROOT,RBOHDROOT,C8-FL-ROOT
C8-FL-SHOOT_S31,SHOOT,C8,FL,RBOHD,FLRBOHD,FLSHOOT,RBOHDSHOOT,C8-FL-SHOOT
C8-GC-ROOT_S24,ROOT,C8,GC,RBOHD,GCRBOHD,GCROOT,RBOHDROOT,C8-GC-ROOT
C8-GC-SHOOT_S23,SHOOT,C8,GC,RBOHD,GCRBOHD,GCSHOOT,RBOHDSHOOT,C8-GC-SHOOT
