sample_id,genotype,tissue,condition,rep,lib_size,location,s_number,alsda_sample,well_mapping
CAX22ROOTFL_1,cax2-2,root,FL,1,8249608,A7,12,A7-FL-ROOT_S12,S-number-derived
CAX22SHOOTFL_1,cax2-2,shoot,FL,1,4212270,A7,11,A7-FL-SHOOT_S11,S-number-derived
CAX22ROOTGC_1,cax2-2,root,GC,1,8349742,A7,4,A7-GC-ROOT_S4,S-number-derived
CAX22SHOOTGC_1,cax2-2,shoot,GC,1,4759005,A7,3,A7-GC-SHOOT_S3,S-number-derived
CAX22ROOTFL_2,cax2-2,root,FL,2,6546811,B8,28,B8-FL-ROOT_S28,S-number-derived
CAX22SHOOTFL_2,cax2-2,shoot,FL,2,3703641,B8,27,B8-FL-SHOOT_S27,S-number-derived
CAX22ROOTGC_2,cax2-2,root,GC,2,6400248,B8,20,B8-GC-ROOT_S20,S-number-derived
CAX22SHOOTGC_2,cax2-2,shoot,GC,2,2884523,B8,19,B8-GC-SHOOT_S19,S-number-derived
CAX22ROOTFL_3,cax2-2,root,FL,3,7744379,B4,44,B4-FL-ROOT_S44,S-number-derived
CAX22SHOOTFL_3,cax2-2,shoot,FL,3,4500184,B4,43,B4-FL-SHOOT_S43,S-number-derived
CAX22ROOTGC_3,cax2-2,root,GC,3,8075133,B4,36,B4-GC-ROOT_S36,S-number-derived
CAX22SHOOTGC_3,cax2-2,shoot,GC,3,3982447,B4,35,B4-GC-SHOOT_S35,S-number-derived
CAX22ROOTFL_4,cax2-2,root,FL,4,7472458,A3,60,A3-FL-ROOT_S60,S-number-derived
CAX22SHOOTFL_4,cax2-2,shoot,FL,4,4199502,A3,59,A3-FL-SHOOT_S59,S-number-derived
CAX22ROOTGC_4,cax2-2,root,GC,4,8187659,A3,52,A3-GC-ROOT_S52,S-number-derived
CAX22SHOOTGC_4,cax2-2,shoot,GC,4,3866968,A3,51,A3-GC-SHOOT_S51,S-number-derived
CAX23ROOTFL_4,cax2-3,root,FL,4,6661568,B7,62,B7-FL-ROOT_S62,S-number-derived
CAX23SHOOTFL_1,cax2-3,shoot,FL,1,4077672,A4,13,A4-FL-SHOOT_S13,S-number-derived
CAX23SHOOTGC_1,cax2-3,shoot,GC,1,3021361,A4,5,A4-GC-SHOOT_S5,S-number-derived
CAX23ROOTGC_2,cax2-3,root,GC,2,6430552,A8,22,A8-GC-ROOT_S22,S-number-derived
CAX23ROOTFL_2,cax2-3,root,FL,2,7633923,A8,30,A8-FL-ROOT_S30,S-number-derived
CAX23SHOOTFL_2,cax2-3,shoot,FL,2,3694552,A8,29,A8-FL-SHOOT_S29,S-number-derived
CAX23ROOTGC_1,cax2-3,root,GC,1,7620759,A4,6,A4-GC-ROOT_S6,S-number-derived
CAX23SHOOTGC_2,cax2-3,shoot,GC,2,3770349,A8,21,A8-GC-SHOOT_S21,S-number-derived
CAX23ROOTFL_3,cax2-3,root,FL,3,7655761,B3,46,B3-FL-ROOT_S46,S-number-derived
CAX23SHOOTFL_3,cax2-3,shoot,FL,3,4184596,B3,45,B3-FL-SHOOT_S45,S-number-derived
CAX23ROOTGC_3,cax2-3,root,GC,3,6963091,B3,38,B3-GC-ROOT_S38,S-number-derived
CAX23SHOOTGC_3,cax2-3,shoot,GC,3,4023777,B3,37,B3-GC-SHOOT_S37,S-number-derived
CAX23ROOTFL_1,cax2-3,root,FL,1,7212857,A4,14,A4-FL-ROOT_S14,S-number-derived
CAX23SHOOTFL_4,cax2-3,shoot,FL,4,4180907,B7,61,B7-FL-SHOOT_S61,S-number-derived
CAX23ROOTGC_4,cax2-3,root,GC,4,971630,B7,54,B7-GC-ROOT_S54,S-number-derived
CAX23SHOOTGC_4,cax2-3,shoot,GC,4,4507832,B7,53,B7-GC-SHOOT_S53,S-number-derived
RBOHDROOTFL_1,rbohD,root,FL,1,8328460,C4,16,C4-FL-ROOT_S16,S-number-derived
RBOHDSHOOTFL_1,rbohD,shoot,FL,1,4111826,C4,15,C4-FL-SHOOT_S15,S-number-derived
RBOHDROOTGC_1,rbohD,root,GC,1,8649206,C4,8,C4-GC-ROOT_S8,S-number-derived
RBOHDSHOOTGC_1,rbohD,shoot,GC,1,4460208,C4,7,C4-GC-SHOOT_S7,S-number-derived
RBOHDROOTFL_2,rbohD,root,FL,2,8174583,C8,32,C8-FL-ROOT_S32,S-number-derived
RBOHDSHOOTFL_2,rbohD,shoot,FL,2,4952372,C8,31,C8-FL-SHOOT_S31,S-number-derived
RBOHDROOTGC_2,rbohD,root,GC,2,8320392,C8,24,C8-GC-ROOT_S24,S-number-derived
RBOHDSHOOTGC_2,rbohD,shoot,GC,2,5139387,C8,23,C8-GC-SHOOT_S23,S-number-derived
