Transcript ID	rbohD_Root_baseMeanB_GC	rbohD_Root_baseMeanA_FL
AT4G29905.1	269.3113998	570.0754205
AT4G30110.1	418.4691883	857.9592859
AT4G30270.1	222.8446971	537.936003
AT4G36220.1	234.5412913	614.2844595
AT4G36670.1	73.05120159	188.1367417
AT4G37160.1	221.4570303	730.0616452
AT4G37235.1	20.17741638	48.41134211
AT4G37330.1	168.1598108	242.3614218
AT4G37850.1	23.59913346	49.04004671
AT4G38470.1	1358.195253	1896.964197
AT4G39770.1	506.0008035	817.3656009
AT4G40065.1	30.81318485	55.45990251
AT4G40070.1	34.6021071	99.1860649
AT5G01320.1	4.368411111	10.07292493
AT5G06330.1	78.24264709	132.1635261
AT5G07560.1	0.71852092	4.443027361
AT5G07570.1	11.88806762	100.2433588
AT5G07571.1	4.933017751	13.07911152
AT5G07572.1	4.777508107	11.23227356
AT5G08000.1	4.113545913	12.03703934
AT5G11670.1	9522.991635	14325.92159
AT5G18030.1	0.976842877	3.828177735
AT5G18170.1	1104.908889	1671.448441
AT5G19970.1	143.2849661	261.7228806
AT5G22580.1	52.88872224	111.5715638
AT5G22890.1	52.85959977	215.6515264
AT5G23010.1	1485.164545	2650.530222
AT5G23660.1	27.77130308	70.91444103
AT5G23820.1	1095.582938	1628.879667
AT5G23980.1	1.388833446	9.578779889
AT5G25140.1	35.36733707	69.81571205
AT5G25460.1	1096.737107	3214.017864
AT5G25470.1	9.100649592	17.79224256
AT5G25470.2	8.27707189	17.79703769
AT5G26200.1	70.70998283	112.6259156
AT5G26270.1	54.02591713	116.7064604
AT5G26270.2	52.89687056	111.3565415
AT5G26622.2	62.52826972	91.79603829
AT5G27930.1	227.1349414	353.6063616
AT5G27930.2	237.1580259	369.9719283
AT5G36220.1	8.170888073	28.53184662
AT5G36870.1	36.18672563	79.77654215
AT5G38100.1	7.669982917	34.57708917
AT5G38100.2	7.257771511	33.50992517
AT5G38200.1	262.6975777	590.6619595
AT5G39000.1	19.69993478	34.42531277
AT5G39020.1	47.12858527	92.13463487
AT5G40060.1	20.35606136	36.25303376
AT5G43770.1	162.6214622	327.1119093
AT5G43780.1	4386.631387	8223.748073
AT5G44574.1	14.38142635	38.21612012
AT5G44680.1	56.07389904	111.1846686
AT5G45120.1	3.135666389	15.90162636
AT5G45680.1	4.523769943	8.59603492
AT5G45850.1	10.17095013	21.1244777
AT5G46370.1	1.694543518	7.472634524
AT5G47000.1	7.543922691	26.74947674
AT5G47450.1	203.5288183	729.3780771
AT5G47560.1	212.8700473	556.2397377
AT5G47900.1	2.109864865	6.930588974
AT5G47900.4	2.109864865	6.815180405
AT5G47900.6	2.109864865	6.037752299
AT5G47900.7	2.109864865	6.930588974
AT5G50760.1	62.85369562	202.3358262
AT5G51870.1	3.356004551	23.19248575
AT5G51870.2	3.045760348	16.37514337
AT5G51870.3	3.356004551	25.74875642
AT5G52790.1	271.3797736	909.6660924
AT5G53190.1	2.773761502	17.8099493
AT5G53200.1	9.77016667	20.90261686
AT5G53210.1	0.101967203	0.819849508
AT5G59260.1	11.57513214	26.96438726
AT5G59590.1	19.07966092	37.1640297
AT5G62420.1	9.356088737	21.01333967
AT5G63160.1	494.0004409	1011.218369
AT5G64260.1	1046.015367	1740.653262
AT5G66052.1	201.4480586	298.1341373
AT5G66053.1	39.9543294	66.76151476
