gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G08630,171.09019958695367,-1.8215742776002626,0.1892425465282269,-9.625606455938076,6.23381031061863e-22,1.276247984892952e-17
AT4G15210,173.93860752092044,-1.6612263916178656,0.1874724014887255,-8.861178383730103,7.917306372624272e-19,8.104550668336836e-15
AT2G39330,94.18863974735356,-1.7764926704263608,0.21691107305556423,-8.189958425825923,2.613164277644806e-16,1.783310408540737e-12
AT1G52040,66.388021238574,-1.8736566354515718,0.2549789275745602,-7.348280319767532,2.0077310094454242e-13,1.0276069239094043e-09
AT4G23600,479.6353822395224,-0.6862770647519585,0.1048717576016785,-6.54396455677381,5.990900130384981e-11,2.4530339673874343e-07
AT4G26260,29.860740089956305,-2.8817345266172065,0.44980247734337575,-6.406666640960522,1.4873553105092711e-10,5.075104212009385e-07
AT5G45380,164.5922982846175,1.1166134180354856,0.17811847459935193,6.268936563414452,3.6352217838117807e-10,9.302986947497323e-07
AT5G61160,144.7354224702866,-1.1293978651293763,0.17984577596268206,-6.279813129243169,3.3898021873124954e-10,9.302986947497323e-07
AT4G35770,205.3968042707665,-0.9948833707230923,0.16365794727051217,-6.0790409956605265,1.2090344849198128e-09,2.750284778862592e-06
AT5G24770,111.74324834390819,-1.177310751848233,0.20325277822613683,-5.792347647707772,6.94092805569702e-09,1.4210162008428507e-05
AT1G52400,625.8242988971017,-0.5491822938444983,0.0964962514091883,-5.6912293050194664,1.2612798909279908e-08,2.3474712006335234e-05
AT2G38940,162.32919083837598,1.0001366749716605,0.17733782011252572,5.639725775004149,1.703211935252058e-08,2.9058214958679483e-05
AT5G45840,92.55364956238122,-1.1947784637196461,0.21315754449111252,-5.6051427434672,2.0808340300065163e-08,3.2769934689479546e-05
AT5G42830,101.00099299699474,1.354913524456918,0.2431269909322189,5.572863462266322,2.5058596452649735e-08,3.4600598517785376e-05
AT1G08430,14.161100322270505,-4.256858658051458,0.7641318004927147,-5.570843479235679,2.5350900100951532e-08,3.4600598517785376e-05
AT3G23550,223.9970578620198,-0.7568913846772481,0.13781460592165262,-5.492098458036732,3.9718584626178383e-08,5.0822411440734377e-05
AT4G23700,42.20797929161327,2.0648350228304735,0.38233201600412875,5.400633314496412,6.640603997274561e-08,7.9972403315413e-05
