gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G08090,284.0242302361296,3.7298896443393317,0.16894430311313738,22.07762899138142,5.18589128333193e-108,1.2184770159316703e-103
AT2G41810,170.15031935723007,4.720032590577703,0.25964043249783947,18.179112340744464,7.55467195530963e-74,8.875228613097753e-70
AT1G02850,262.78056226194104,2.066479970817406,0.13008317297673558,15.885836142596098,7.943166365376239e-57,6.221087897362671e-53
AT5G26920,152.76060994405634,3.0610517562474877,0.20282215973889914,15.092294452381823,1.8200156145956902e-51,1.0690771720135084e-47
AT5G07570,101.5080855337644,-2.9759268339863643,0.23198309427640074,-12.828205621055467,1.139732979427157e-37,5.355833216924096e-34
AT4G23700,205.03263867310517,2.0874680043512717,0.17402591353955582,11.995156134473005,3.767061352044236e-33,1.4751812254605228e-29
AT1G14540,107.71935386427353,2.5282806340107418,0.2114016238593504,11.959608388310468,5.783401840733008e-33,1.9412401378551823e-29
AT2G15490,261.65772741423666,1.4647732041718389,0.12521783726458433,11.69779989952058,1.308008244315663e-31,3.841620213555102e-28
AT3G63380,317.77617056146795,1.3996834598680001,0.12437365687243407,11.25385789133473,2.216791592287192e-29,5.787303916931095e-26
AT5G13320,61.80836128384983,5.070807224115256,0.45538064641595655,11.135315617878607,8.444534280431145e-29,1.9841277745301016e-25
AT3G47420,373.35154525773976,1.2098321764992472,0.11157476133136124,10.843242343187425,2.1472337407651113e-27,4.586491270274278e-24
AT4G14630,147.60174106045744,2.105732068358987,0.2010415298547862,10.474114825329737,1.1359531552095424e-25,2.224196277900284e-22
AT1G26380,52.01344298597599,4.603281948623779,0.4623205478423779,9.956905376814891,2.3527218996545137e-23,4.252273365714035e-20
AT1G05680,116.28890770700815,2.155322841756694,0.21943167691537882,9.822295814600498,9.026403827457957e-23,1.5148884594996583e-19
AT5G48850,124.69888278582076,1.9957139546757696,0.20582325898050227,9.696250873497364,3.127811521735055e-22,4.899403967645791e-19
AT1G30730,203.49423368451943,1.4324157019031536,0.14969452817791057,9.568924925570698,1.0802306703735066e-21,1.5863187394434945e-18
AT3G20360,50.129269331574996,3.3217021429687534,0.358509788348083,9.265303907807557,1.9452257143586614e-20,2.688530787327712e-17
AT5G22890,174.21735897057613,-1.6208222751826014,0.17812053161442998,-9.099581392958825,9.068065755846228e-20,1.1836848499964609e-16
AT5G38910,38.13820544638337,4.597457643188813,0.5078282093600084,9.053174988019608,1.3887049987101503e-19,1.7173164552470361e-16
AT2G29010,137.65658896184837,-1.7759149908787704,0.19723899312781434,-9.003873740766595,2.178906968087733e-19,2.5597799061094687e-16
AT1G49570,88.57437936858315,2.221041380107705,0.24848548967251163,8.938314197078062,3.951522026237254e-19,4.4211886442128817e-16
AT3G47380,45.275206907799344,3.2868701962004674,0.36922895002554984,8.90198397491048,5.485719071022144e-19,5.858747967851649e-16
AT1G02520,611.922218285144,0.7565519296829524,0.08714473005151055,8.681556867934075,3.903877831834998e-18,3.8218963973664635e-15
AT3G23510,687.961173320937,-0.7892292361718295,0.0908790114009538,-8.68439504353528,3.8076334098347696e-18,3.8218963973664635e-15
AT5G40590,98.4272143912499,1.77237026984838,0.20734258937187044,8.548028049700976,1.252092929268299e-17,1.1767670186435181e-14
AT1G61130,244.8686094196061,1.1045547148157147,0.13047817833487413,8.465436358107784,2.5519543257077772e-17,2.2207673643270346e-14
AT3G44300,333.58111490289787,0.9295187026697183,0.10977071353935795,8.46782053882197,2.500271327301372e-17,2.2207673643270346e-14
AT4G31330,205.44491599491454,1.1281151477021074,0.13592170227759734,8.299742637111187,1.0433717022672843e-16,8.755379113025754e-14
AT1G21120,122.85614850967039,1.4462182934822565,0.17467148423205991,8.279647361104931,1.2354057053962807e-16,1.0009342225514143e-13
AT1G26390,136.25929389674053,7.7698434847703615,0.9455955002340167,8.216878657784934,2.0886821465016578e-16,1.6358558571400984e-13
AT1G52070,153.6300560031905,-1.5620186138181793,0.1902131472750023,-8.211938218759808,2.176462608207281e-16,1.649618240078654e-13
AT5G47450,314.8592729176616,-0.9580909640774973,0.11686209580069457,-8.19847494187934,2.434557996248119e-16,1.7875742087451815e-13
AT5G40780,341.13439877793803,0.8464477729707947,0.10366073624350715,8.165558181859936,3.1995228116764246e-16,2.278060241913614e-13
AT2G43570,91.14317368377644,2.00628148698419,0.24637741624684617,8.14312252131945,3.8521210788722393e-16,2.662042260858298e-13
AT5G52310,223.18033220986223,1.1518561009539932,0.1423325038397529,8.092712977569951,5.835025133699507e-16,3.917135729754389e-13
AT3G16530,173.27850177069826,-1.4360061912756292,0.1782749021898885,-8.055010400432447,7.947205108906672e-16,5.186875867746421e-13
AT4G11170,48.96585229232474,2.6675121290369614,0.33230651348759804,8.02726404920894,9.967041278135778e-16,6.329340591110222e-13
AT4G30110,659.0595428277434,-0.6423010630992235,0.08007665621854332,-8.02107747039625,1.0482158899776745e-15,6.339052343235104e-13
AT4G36220,402.07999701522914,-0.9037151669963915,0.11267408462033104,-8.020612459746792,1.0521920385860107e-15,6.339052343235104e-13
AT3G17790,232.59394294085584,1.1085563989618468,0.13879785906022468,7.986840765900012,1.3844072346109589e-15,8.132008096104772e-13
AT2G43620,60.382680030110826,2.362628822181471,0.2973081756633055,7.946733442194649,1.9149384515821566e-15,1.0973998502042525e-12
AT3G59140,555.3921247495347,0.6791631506835597,0.08594521130320408,7.902280306084258,2.738467243564849e-15,1.5319768179714212e-12
AT3G28740,343.521502479251,0.8925344972022303,0.11419057064692785,7.816183877055026,5.444882080247185e-15,2.9751848687787874e-12
AT5G48430,123.43715196451608,1.4973947307326492,0.19333527566205538,7.745067347926993,9.553119775085988e-15,5.101365959895918e-12
AT1G12110,1089.0816023879972,-0.6056364453116828,0.07873180377165961,-7.692398958217294,1.44401511054488e-14,7.539684230525e-12
AT2G30750,184.72263811749434,4.095512301149568,0.533068478762029,7.682900911081399,1.55525886535865e-14,7.943991804449313e-12
AT5G22300,33.033947776676214,4.0924887758644,0.536520413631533,7.627834229388715,2.3873026005939505e-14,1.193448125607563e-11
AT1G78340,103.99329326634391,1.418048048936065,0.19108166576755292,7.421162272371503,1.1609696767796776e-13,5.682946567836522e-11
AT4G07960,147.14985962172716,1.1599085911940241,0.1568323324691264,7.395851180255581,1.4050529825928083e-13,6.737372424285842e-11
AT5G27600,553.8734493053091,0.6393605932495872,0.08790414926529469,7.273383550075629,3.5059303273456843e-13,1.647506779426284e-10
AT5G13330,92.2367128262326,1.5758146731527656,0.2171456666019447,7.256947365389667,3.9592367734222607e-13,1.8240436711437145e-10
AT2G22630,111.4837607295018,-1.5475163422885425,0.21449691852445152,-7.214632046623708,5.408000710872853e-13,2.4435843212051644e-10
AT2G24720,106.18361943191168,1.6785698153264066,0.23289925888769938,7.207278474577665,5.70811941013053e-13,2.5305278049137154e-10
AT2G31083,49.715592194416516,-2.07893540181437,0.28927113750918176,-7.186805499212248,6.63247874024137e-13,2.8858651940872446e-10
AT3G13950,45.147543702082544,-2.3094893106032806,0.3226410641794061,-7.158076162676794,8.18170984054553e-13,3.4952264438810503e-10
AT2G30140,116.36740447591677,1.2890453610936594,0.18196583034524239,7.083996806696969,1.4005513637863599e-12,5.876313364915055e-10
AT5G39050,52.339965823952085,1.9956892268898205,0.28284905543821076,7.055668698620719,1.7177264461432536e-12,7.080649224312612e-10
AT3G14620,60.328453969554396,2.0306317624899464,0.28826877845482274,7.044230642577845,1.864890223385468e-12,7.554734601493959e-10
AT1G60470,161.9433889136095,1.096917606726053,0.15608800514869506,7.027558624258732,2.1017851174225923e-12,8.370092054061226e-10
AT2G34350,65.8370049473389,-1.832459730266756,0.26108395316997474,-7.018660886729262,2.240047179023128e-12,8.77202475305457e-10
AT2G33790,298.84099744053503,-0.8744432960992198,0.12519560727618714,-6.984616434426158,2.8563527116726825e-12,1.0824655373138925e-09
AT5G20150,254.95893249051431,0.8555818318452008,0.12247134431260157,6.985975671675277,2.828830959934977e-12,1.0824655373138925e-09
AT1G51420,197.67164155235986,0.968183299760243,0.13975615214948722,6.927661393572472,4.278543049341483e-12,1.5956928172591665e-09
AT5G03545,296.5179471178012,0.9707314534629299,0.1405789274560535,6.905241568060698,5.011806890119531e-12,1.8399596045351329e-09
AT3G22740,94.32548066938853,-1.688298521746795,0.2449601210964828,-6.892136214620104,5.496070670298827e-12,1.986702714912942e-09
AT3G26830,209.8458394394268,0.930400465289348,0.13703097173463014,6.789709315432224,1.1235970319408706e-11,4.0000054337094996e-09
AT2G40750,152.77645181307398,1.1492683689408247,0.17033799438279532,6.74698779391584,1.5094596816210217e-11,5.2934723402041085e-09
AT4G34135,348.8874529890318,0.7177950883881993,0.10652001447395996,6.738593605464375,1.5992701568207788e-11,5.525948765391326e-09
AT4G15330,310.3080589777438,-0.7468239826994142,0.11097068746622327,-6.729921204883307,1.6975498952259354e-11,5.697947476889797e-09
AT4G12550,270.6923908513803,-0.8049447748665146,0.11958361299322301,-6.731229762326483,1.6823505856712208e-11,5.697947476889797e-09
AT2G39380,366.84730684616864,-0.8552926063202267,0.12737442019193573,-6.714790968480315,1.8833600745554034e-11,6.2325955368667264e-09
AT1G05650,67.0948231899036,3.635129695187361,0.542413651549436,6.701766603409414,2.0591474825345433e-11,6.719684618004393e-09
AT1G17180,169.00417716664953,1.134918176328061,0.16949458485980765,6.695896374900557,2.1435358500247926e-11,6.899249086600346e-09
AT1G45015,90.98801174820953,-1.559076516112995,0.23347115377722097,-6.677812187456234,2.4253557199336038e-11,7.700832161562156e-09
AT4G21990,739.8918467115134,0.4968795181206308,0.07446624982356956,6.672546546897033,2.5140227396382893e-11,7.875930438738832e-09
AT2G37770,43.761142827647674,2.3853925370543134,0.36039972812083854,6.618741222397688,3.622703806602676e-11,1.1199874821044273e-08
AT4G36670,183.33016500860833,-1.0665932139600147,0.16121715296613476,-6.615879230816481,3.6934981920289466e-11,1.1270445911676901e-08
