Entrez ID,FLRoot_COL00_1,GCRoot_COL00_1,FLRoot_COL00_2,GCRoot_COL00_2,FLRoot_COL00_3,GCRoot_COL00_3,FLRoot_COL00_4,GCRoot_COL00_4
815030,8.285,8.6488,8.4695,8.8823,8.8308,8.8352,8.7907,8.7144
821484,6.2756,6.5891,6.7451,6.6632,6.4131,6.4116,6.1139,6.3841
834903,10.0885,9.6007,9.5401,9.3855,9.7812,9.68,9.713,9.5689
834208,10.5656,9.9845,10.5038,10.2603,10.1678,10.0037,10.2606,10.2436
822237,11.0612,10.6066,10.5319,10.6901,10.3974,10.4265,10.711,10.6528
842042,7.2065,6.9257,7.0503,6.8446,7.5015,7.0022,6.934,7.1169
839428,5.8585,6.2372,5.9595,6.2846,6.2824,5.9794,5.8539,6.3502
832142,9.6346,9.7553,9.538,9.4288,9.47,9.7404,9.4542,9.1084
837302,10.2749,10.4139,9.7256,10.143,10.2554,10.1147,10.0189,10.232
2746218,8.8622,9.2485,9.2641,8.8496,9.0551,9.4576,9.0368,9.1235
28717246,6.9659,6.9777,6.7744,7.2108,6.4892,6.9211,6.9626,6.9795
827736,5.9869,5.8097,5.616,6.0418,6.061,6.0245,5.511,5.8894
844301,10.51,10.8459,10.4471,10.5475,10.292,10.3675,10.1614,10.3178
840298,8.0465,8.1181,8.5005,8.4434,8.4287,8.6316,8.4235,8.5709
841856,7.0969,6.7964,6.4692,6.6306,6.657,6.9795,6.5998,6.7775
823736,8.5026,8.313,8.447,8.4182,8.9405,8.7268,8.5387,8.7408
826648,6.9534,7.4026,7.1652,7.072,7.2183,7.5258,6.9244,7.1468
840949,10.1252,9.9415,9.72,9.7453,9.5627,9.5021,9.9191,9.7008
834535,7.3084,7.1234,7.3897,7.2542,7.5591,7.2117,7.4537,7.7639
830944,11.0972,11.2876,10.8193,10.8984,10.7048,10.8642,10.6646,10.7998
824163,9.0146,8.4666,8.5563,9.0228,8.7183,8.6992,8.7227,8.9391
828446,13.222,13.7498,13.3064,13.5771,13.449,13.7419,13.2535,13.4981
816231,8.3293,7.9372,8.0994,8.013,7.8919,7.7302,8.2982,8.1804
844207,7.4488,7.6036,7.1979,7.1431,7.2272,7.4369,7.4803,6.9906
832359,9.1415,8.5887,8.9192,8.9455,9.2623,9.1367,9.0097,8.878
6241144,8.5492,8.2719,7.9278,8.2709,8.0906,7.9795,8.3818,8.1948
821619,6.2553,6.0228,6.7001,6.5163,6.4441,6.2116,6.3341,6.2799
820738,9.235,8.8622,9.4272,9.3741,9.5052,9.152,9.4373,9.2621
828375,6.3728,6.4238,6.6848,6.4431,6.7711,6.3772,6.865,6.7902
819984,8.5324,8.4966,8.8384,8.9006,8.5998,8.7302,8.9538,9.0567
826631,8.0287,8.265,7.6643,8.2709,7.8693,8.1108,7.9772,7.8872
817777,5.2695,5.6478,5.1643,5.3568,5.5662,5.0464,5.2882,5.5142
837083,7.7605,7.1837,7.2613,7.3574,7.5662,7.5021,7.728,7.4645
