ID,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
AT1G01010.1,145.6769472,151.7292546,139.6246397,0.920222274,-0.119945718,0.294803098,0.726825341
AT1G01020.1,414.6907133,390.8587253,438.5227012,1.121946813,0.166004285,0.404515962,0.828411715
AT1G01020.2,379.0114772,351.3557325,406.6672219,1.157423045,0.210916275,0.307007127,0.740155659
AT1G01030.1,185.2137551,168.9734153,201.454095,1.192223609,0.253654848,0.218907844,0.637821316
AT1G01040.1,1502.501745,1392.223109,1612.780382,1.158420925,0.212159568,0.20992888,0.625478267
AT1G01040.2,1431.869906,1320.900942,1542.83887,1.168020115,0.224065119,0.194908001,0.605110602
AT1G01046.1,26.4819767,25.08016912,27.88378429,1.111786135,0.152879295,0.848059761,1
AT1G01050.1,2090.662682,2154.434315,2026.891049,0.94079965,-0.088040572,0.616152666,0.962383612
AT1G01060.1,3969.582113,2960.314876,4978.84935,1.681864787,0.750061726,0.078824071,0.380055727
AT1G01060.2,3857.173411,2891.468214,4822.878608,1.667968745,0.738092255,0.082886356,0.390249817
AT1G01060.3,3729.01604,2769.516655,4688.515425,1.692900245,0.759496965,0.077345335,0.376682371
AT1G01060.4,3969.394175,2960.314876,4978.473474,1.681737816,0.749952806,0.078898477,0.38027587
AT1G01060.5,3697.692226,2761.034338,4634.350115,1.678483332,0.74715821,0.080598289,0.384199759
AT1G01070.1,103.9843342,102.768566,105.2001023,1.023660311,0.033737055,0.685094155,0.99212171
AT1G01070.2,100.257446,99.62065851,100.8942335,1.012784246,0.018326868,0.660876196,0.982874374
AT1G01073.1,0.230809076,0.461618152,0,0,#NAME?,1,1
AT1G01080.1,1558.15486,1346.806744,1769.502976,1.313850695,0.393801338,0.049028077,0.292301187
AT1G01080.2,1558.349088,1346.806744,1769.891433,1.314139123,0.394118017,0.048847536,0.29156278
AT1G01090.1,3331.202182,3286.483349,3375.921014,1.027213789,0.038736474,0.795033144,1
AT1G01100.1,1678.075708,1742.18953,1613.961886,0.926398568,-0.110295072,0.303044752,0.735577648
AT1G01100.2,1676.866622,1740.898988,1612.834257,0.926437587,-0.110234308,0.303351773,0.736124366
AT1G01100.3,1704.799769,1770.039872,1639.559666,0.92628403,-0.110473454,0.304736321,0.737347212
AT1G01100.4,1676.614033,1740.898988,1612.329079,0.926147404,-0.110686266,0.302734213,0.735322001
AT1G01110.1,50.75991213,69.24759941,32.27222484,0.466041063,-1.101471018,0.000205203,0.004382044
AT1G01110.2,64.84921555,85.67891203,44.01951906,0.513773086,-0.960796777,0.000323453,0.00634637
AT1G01115.1,1.430363131,0.342678555,2.518047706,7.348133305,2.877377799,0.224402923,0.645675134
AT1G01120.1,1153.897794,1116.27458,1191.521008,1.067408529,0.094112445,0.677374994,0.990022297
AT1G01130.1,34.79495537,34.50658107,35.08332968,1.016714163,0.023914139,0.999298259,1
AT1G01140.1,2675.154,2193.821938,3156.486062,1.438806864,0.524872947,0.061101878,0.331937585
AT1G01140.2,2675.154,2193.821938,3156.486062,1.438806864,0.524872947,0.061109822,0.331937585
AT1G01140.3,2675.8974,2194.920281,3156.874519,1.438263862,0.524328375,0.061284759,0.332299515
AT1G01150.1,4.304754626,2.666647156,5.942862095,2.228589591,1.156130959,0.276829905,0.70820764
AT1G01160.1,669.750835,682.5222599,656.9794102,0.9625758,-0.055027942,1,1
AT1G01160.2,712.7258833,725.2158858,700.2358809,0.965555078,-0.050569539,1,1
AT1G01170.1,1037.672414,950.2381607,1125.106667,1.184025977,0.243700734,0.145413087,0.520411141
AT1G01170.2,1036.51642,949.433864,1123.598976,1.183441015,0.242987801,0.146186777,0.521512558
AT1G01180.1,102.2879965,91.75266671,112.8233262,1.22964629,0.298243382,0.314560113,0.747949102
AT1G01183.1,0.506502902,0.637129565,0.375876239,0.589952592,-0.761329068,1,1
AT1G01190.1,27.51477669,49.37576635,5.653787034,0.114505302,-3.126513694,0.000103764,0.0024215
AT1G01200.1,17.09514038,26.93544967,7.254831092,0.269341377,-1.892492219,7.99E-06,0.000245269
AT1G01210.1,131.01256,134.347495,127.677625,0.950353597,-0.0734637,0.826276528,1
AT1G01220.1,872.8188874,927.4943179,818.1434568,0.882100775,-0.18098461,0.678796004,0.9903114
AT1G01225.1,65.61960058,70.42297809,60.81622307,0.863584937,-0.211590016,0.248778027,0.677739978
AT1G01230.1,453.864275,483.5746253,424.1539247,0.877121963,-0.189150633,0.424356661,0.84313985
AT1G01240.1,366.7705991,355.876469,377.6647293,1.061224223,0.085729511,0.370671924,0.800100238
AT1G01240.2,373.2539383,362.5543291,383.9535474,1.05902348,0.082734577,0.380007371,0.807756841
AT1G01240.3,388.5597232,375.7262991,401.3931474,1.068312621,0.095333886,0.349308458,0.782884713
AT1G01250.1,2.14004299,1.519671893,2.760414086,1.816453998,0.86112483,0.665412152,0.984958341
AT1G01260.1,474.9020152,502.4130263,447.3910042,0.890484484,-0.167337622,0.504528563,0.90082055
AT1G01260.2,480.9971048,508.175589,453.8186206,0.893035066,-0.16321127,0.518698989,0.909168901
AT1G01260.3,482.0933161,509.8628334,454.3237988,0.891070635,-0.166388296,0.510650637,0.904935689
AT1G01270.1,0.390233615,0.412985256,0.367481974,0.889818629,-0.168416793,1,1
AT1G01280.1,0.412985256,0.825970512,0,0,#NAME?,0.768216581,1
AT1G01290.1,181.1565426,169.0168448,193.2962403,1.143650744,0.193646539,0.405252387,0.828975979
AT1G01290.2,199.4681378,186.5647914,212.3714842,1.138325632,0.186913318,0.435847073,0.852144341
AT1G01300.1,1080.070389,1089.056934,1071.083845,0.983496649,-0.024007958,0.74103394,1
AT1G01305.1,19.71477608,17.77623752,21.65331463,1.218104484,0.284637887,0.40063572,0.825435678
AT1G01310.1,56.90611802,48.8010692,65.01116684,1.332166854,0.413774792,0.066415494,0.347290474
AT1G01320.1,26028.40721,24041.07717,28015.73726,1.165327871,0.220735921,0.192367449,0.600537381
AT1G01320.2,26009.16795,24022.85243,27995.48347,1.165368832,0.220786631,0.192401522,0.600591676
AT1G01340.1,190.503029,176.8277563,204.1783016,1.154673372,0.207484807,0.665276921,0.984958341
AT1G01340.2,197.7787121,181.762317,213.7951073,1.176234496,0.234175707,0.705248402,0.99921548
AT1G01350.1,307.2397055,302.225406,312.254005,1.033182515,0.047095133,0.937663585,1
AT1G01355.1,2.197186195,2.54017399,1.8541984,0.729949369,-0.454131697,1,1
AT1G01360.1,226.9657347,213.378464,240.5530053,1.12735372,0.172940249,0.704335518,0.9989751
AT1G01370.1,80.7604569,94.0659198,67.45499399,0.717103433,-0.479746871,0.031275854,0.221098735
AT1G01370.2,80.29053464,93.89040839,66.69066089,0.710303236,-0.493493037,0.028280298,0.207464812
AT1G01380.1,11.61112333,11.94767711,11.27456955,0.943662056,-0.083657801,0.473964005,0.882182661
AT1G01390.1,36.16587657,29.81079737,42.52095576,1.4263609,0.512339061,0.090933853,0.410685202
AT1G01400.1,0.388456865,0,0.77691373,Inf,Inf,0.802311517,1
AT1G01410.1,4.020920094,2.658708236,5.383131952,2.024717071,1.017720323,0.312957079,0.746350987
AT1G01420.1,108.4438511,93.674679,123.2130232,1.315329015,0.395423718,0.056266011,0.31601725
AT1G01430.1,1853.128707,1886.564816,1819.692598,0.964553448,-0.052066912,0.564757547,0.937545976
AT1G01440.1,616.7921877,573.5177974,660.066578,1.150908622,0.202773293,0.210729898,0.626445343
AT1G01448.1,293.004703,299.0462197,286.9631864,0.959594763,-0.05950281,0.856536472,1
AT1G01448.2,93.77586409,92.6690688,94.88265938,1.023887049,0.034056572,0.744799484,1
AT1G01448.3,80.61824705,79.48335796,81.75313614,1.028556647,0.040621251,0.686372058,0.992814253
AT1G01450.1,193.4182944,198.6220062,188.2145826,0.947601861,-0.077647063,0.877869929,1
AT1G01453.1,3.921010205,5.353341859,2.488678551,0.464883173,-1.105059887,0.215974917,0.633015378
AT1G01453.2,3.745498792,5.002319033,2.488678551,0.497504964,-1.007217174,0.247221668,0.676260198
AT1G01460.1,7.894902098,6.184702986,9.605101211,1.553041631,0.635096503,0.529381152,0.916137566
AT1G01470.1,663.179748,769.3282558,557.0312402,0.724048852,-0.465841055,0.155453683,0.539413492
AT1G01471.1,0,0,0,NA,NA,NA,NA
AT1G01480.1,23.26689453,18.67663627,27.8571528,1.491550855,0.576813168,1,1
AT1G01480.2,21.19288134,16.42002072,25.96574197,1.581346481,0.661153504,0.900136122,1
AT1G01490.1,805.7860544,754.6847091,856.8873997,1.135424356,0.183231594,0.173796386,0.569783744
AT1G01490.2,792.7859196,741.6219189,843.9499204,1.137978664,0.186473509,0.169862326,0.56340149
AT1G01500.1,189.3116029,182.8566263,195.7665794,1.070601506,0.098421587,0.38905787,0.816153327
AT1G01510.1,832.802824,860.8075636,804.7980844,0.934933798,-0.097063883,0.5339801,0.919578803
AT1G01520.1,112.1138384,91.97552554,132.2521512,1.437905904,0.52396927,0.220737564,0.640302549
AT1G01530.1,3.788402847,3.989133832,3.587671862,0.899361118,-0.153027582,1,1
AT1G01540.1,1675.169381,1577.095138,1773.243623,1.124373274,0.169121066,0.172121039,0.56713624
AT1G01540.2,1758.051551,1656.609695,1859.493406,1.122469228,0.166675895,0.170320463,0.564296686
AT1G01550.1,3004.299798,2922.543202,3086.056395,1.055948939,0.078540075,0.607014085,0.957416004
