Location,Treatment,Genotype,Age,image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_10_day4, f3e59a9e-67ea-4143-bf54-2996bca13b28,1.2756668,0.94743174,0.17173395,0.001881645,259.5651928,0.045118704,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_9_day4, be788517-e5d7-4583-83ec-2df11d0976ba,0.74140906,0.64719576,0.13019289,0.001850702,123.9792852,0.05696952,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_8_day4, d774ca05-d0e7-43b0-9886-fcd449ed34aa,1.7410625,1.6350256,0.27996883,0.003649107,260.2534573,0.05090302,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_7_day4, eb67d55e-9045-4221-bead-7920c24a07ad,1.1144295,1.0057993,0.18796967,0.002539239,298.8334803,0.055377174,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_6_day4, a28b974e-cf06-4458-a624-fa3297a7d8d8,0.4531997,0.28674492,0.05882713,6.13E-04,269.0960388,0.041938554,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_5_day4, afcc8235-194c-4d4e-a6d4-f5de183c502e,1.1908721,1.1450843,0.19839267,0.002937996,226.1792009,0.056683257,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_4_day4, 86e7b7ae-5103-4719-9aa6-3a312e88781b,1.5490966,1.4678577,0.18550651,0.001872401,267.2279001,0.041445564,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_3_day4, 45389049-5e13-46d5-990c-7f718cdf09ca,1.3638245,1.1999142,0.25602025,0.003982803,288.4105297,0.06321851,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_2_day4, ea448802-7856-40db-942b-a9b62cdc0f03,1.1835103,1.1634492,0.1776103,0.002191554,294.2609965,0.04687165,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
B5,FL,rbohD,day4,B5_FL_rbohD_day4_3.rsml, B5_FL_rbohD_1_day4, 4eda75f8-6a06-4fa2-b3e9-62ede946fe00,0.31594008,0.2917858,0.04998284,6.64E-04,194.0239816,0.04938393,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
A4,GC,cax23,day4,A4_GC_cax23_day4_1.rsml, A4_GC_cax23_11_day4, c24ef82f-6e05-4c00-b77d-740ca4151355,1.7922132,1.76218,0.24642009,0.002763335,277.3101882,0.04594582,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
A4,GC,cax23,day4,A4_GC_cax23_day4_1.rsml, A4_GC_cax23_10_day4, 67200e3a-b4f4-46e3-95ca-6da4e295af92,1.533131,1.5167621,0.36517677,0.008462698,292.9909912,0.07202876,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
A4,GC,cax23,day4,A4_GC_cax23_day4_1.rsml, A4_GC_cax23_9_day4, 9ea2de48-14ba-4373-a601-2233d72d6801,0.8014124,0.78784585,0.13983531,0.001998016,285.4821271,0.056850277,0, Root,-1,-1,-0.008466667,-57.29577951,0,0, null, null, null, null
