ID,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
AT1G01010.1,264.2243728,219.2959724,309.1527732,1.409751259,0.495440632,0.595269946,1
AT1G01020.1,350.1702755,325.5150442,374.8255068,1.151484435,0.20349491,0.815007033,1
AT1G01020.2,317.0018233,296.2224695,337.781177,1.140295594,0.189407857,0.878518094,1
AT1G01030.1,55.27532472,82.24526291,28.30538653,0.344158259,-1.538855961,0.004785997,0.077320254
AT1G01040.1,1141.775794,1230.027367,1053.524221,0.8565047,-0.223466933,0.732184378,1
AT1G01040.2,1096.394115,1186.681525,1006.106704,0.847832113,-0.238149484,0.730066936,1
AT1G01046.1,23.74881651,23.59013487,23.90749816,1.013453221,0.019279498,0.893843322,1
AT1G01050.1,2361.692241,2220.698288,2502.686194,1.126981638,0.17246401,0.567582137,1
AT1G01060.1,911.1476297,1230.887019,591.4082401,0.480473212,-1.057472096,0.41654984,1
AT1G01060.2,890.2040809,1201.822611,578.5855509,0.481423419,-1.05462177,0.408786861,1
AT1G01060.3,868.3956566,1179.767991,557.0233225,0.472146496,-1.082693532,0.411849314,1
AT1G01060.4,911.1476297,1230.887019,591.4082401,0.480473212,-1.057472096,0.416607203,1
AT1G01060.5,863.1109285,1172.368764,553.8530931,0.472422253,-1.081851171,0.399769332,1
AT1G01070.1,228.5239338,172.3700014,284.6778663,1.651551105,0.723821613,0.018655781,0.206824491
AT1G01070.2,218.2474483,164.9177045,271.5771922,1.646743709,0.719616038,0.018341579,0.204585192
AT1G01073.1,0,0,0,NA,NA,NA,NA
AT1G01080.1,302.1001058,474.9002697,129.2999419,0.272267569,-1.876902949,0.019085185,0.210179128
AT1G01080.2,302.1645112,475.0290805,129.2999419,0.27219374,-1.877294209,0.018854554,0.208368795
AT1G01090.1,3141.129975,3474.540955,2807.718995,0.808083437,-0.307423833,0.986448955,1
AT1G01100.1,2368.0668,2188.55785,2547.575749,1.164043139,0.219144525,0.219642045,0.851891404
AT1G01100.2,2364.529953,2185.602728,2543.457178,1.163732615,0.218759615,0.220297478,0.852910059
AT1G01100.3,2427.70984,2264.190559,2591.22912,1.144439504,0.194641203,0.215098066,0.846787566
AT1G01100.4,2364.091243,2184.922087,2543.260398,1.164005075,0.219097348,0.22029037,0.852910059
AT1G01110.1,164.4884858,150.5991179,178.3778537,1.184454838,0.244223191,0.659984568,1
AT1G01110.2,205.8023912,184.1940055,227.4107769,1.234626373,0.304074514,0.618147348,1
AT1G01115.1,2.63099219,4.074383896,1.187600484,0.291479771,-1.778532334,0.832108175,1
AT1G01120.1,1065.861843,1176.37432,955.3493661,0.812113415,-0.300246876,0.285852653,0.938843929
AT1G01130.1,34.30494566,35.85309838,32.75679293,0.913639111,-0.130303684,0.691326625,1
AT1G01140.1,451.3343581,861.5105437,41.1581726,0.047774427,-4.387617619,8.87E-09,6.07E-07
