Entrez Arabidopsis ID,"""ROOT-SHOOT_logFC""",FL-GC_logFC,CAX22-COL00_logFC,CAX23-COL00_logFC,I:Tissue_SHOOT.Genotype_CAX22_logFC,I:Tissue_SHOOT.Cond_FL_logFC,I:Tissue_SHOOT.Genotype_CAX23_logFC,I:Cond_FL.Genotype_CAX22_logFC,I:Cond_FL.Genotype_CAX23_logFC
814687,5.279385455,-0.347133215,-0.266798011,-0.302444054,0.815897607,0.4164165,-1.646564967,-0.293225355,0.460385897
814688,-4.988937347,0.259088391,0.125108755,0.845806681,-0.22993811,-0.333588147,-0.72517153,0.156004306,-0.212609786
814689,0.152717562,-0.053476393,-0.08123687,0.015300379,-0.004528587,0.118026746,-0.045663091,0.019725912,-0.024698577
814690,2.422076046,-0.167454058,-0.345916789,-1.133975981,-0.431660141,0.442252379,-0.727009306,0.256298817,1.238597633
814691,-1.715990211,-0.11254197,-0.046179138,-0.023834131,-0.046705056,-0.142818564,-0.067267388,0.186051695,0.110969947
814692,-0.000325958,-0.02956272,0.06024724,-0.009310561,-0.010222205,-0.042883756,-0.028769221,0.110967754,0.110003136
814693,0.732732242,0.099157224,-0.00737229,-0.061005876,0.05895776,-0.025667124,0.064881176,-0.087338334,0.018481502
814694,0.430440396,0.030551358,0.076524139,0.071884859,-0.064383954,0.25108657,-0.145046716,-0.117614053,-0.047898363
814695,2.604962332,0.155226999,-0.010991063,-0.35746052,-0.292357727,0.394658196,-0.128655706,-0.056523955,0.322357741
814696,-0.998790175,-0.158020507,-0.174561041,-0.057422251,-0.203609238,0.144831419,-0.167878996,0.049262039,-0.008946525
814697,-0.854924321,-0.106120181,0.004887228,0.092938719,-0.059555182,0.029347462,-0.171418487,0.02471807,-0.113667742
814698,-0.042132372,-0.020273191,-0.012481485,0.115548608,0.035970222,-0.008345907,-0.018214218,0.029450085,-0.068492317
814700,0.002222835,-0.039181645,0.008959408,0.166544159,-0.053893708,0.049772247,-0.198888052,0.060440676,-0.111801179
814701,0.091365881,-0.071841344,-0.020112119,0.186318845,0.074449846,0.074700775,-0.06724627,0.023490874,-0.132591519
814702,1.114299543,0.199428291,0.316860785,0.105129665,0.421669382,-0.269418122,0.285935353,-0.167526076,-0.039635378
814703,0.549657396,-0.042363652,0.017221975,-0.022039144,-0.142971937,0.02642102,-0.08317738,-0.009699286,0.046499697
814704,0.760578128,-0.043272967,0.084417279,0.060244162,0.180355569,-0.017144622,0.299232325,0.067970836,-0.046290368
814705,0.684256638,0.006836989,0.193720598,0.164914473,-0.022497166,-0.036488164,-0.056088127,-0.024222076,-0.02042002
814706,-1.944423529,-0.098771361,0.023724727,-0.25358215,-0.243398738,0.087391041,0.014983959,0.148341792,0.180863809
814707,-1.114360405,-0.083401524,0.137482737,-0.346723262,-0.091019275,-0.111784934,0.298859009,-0.011534524,0.286424286
814708,1.582139403,-0.670572615,-0.442383411,-0.057261243,0.149605788,0.809685712,0.072817114,0.561220632,-0.180145709
814710,-2.338278638,0.337197353,0.058338393,1.158314561,1.228707432,-0.926990893,0.056832425,-0.355817769,-1.560646815
814712,3.048252892,0.002979027,-0.021515519,0.186946001,-0.026247636,0.20145195,-0.106579323,-0.023095778,0.109006605
814713,-0.498484288,-0.080837256,-0.079158325,-0.009054404,0.019188405,-0.022732171,-0.00533733,0.074242527,-0.000187221
814714,2.153387971,-0.053292398,-0.048265756,0.064650089,0.570929739,-0.040739015,0.294525258,0.192760014,-0.071289754
814716,-1.732678747,0.041790198,-0.115352821,-0.049569486,-0.069126538,-0.185710784,-0.043487468,0.066062359,0.00714075
814717,-1.970926065,-0.193810199,0.013358523,-0.019504899,-0.138490785,-0.083568378,-0.097877031,0.362254928,0.036872787
814718,-3.869922683,0.118512763,0.226540387,0.132376526,-0.306830271,-0.451862393,-0.000778957,0.306214912,0.009188562
814719,6.264379133,-0.360940975,-0.401016509,0.108246698,0.307014193,1.155804212,-0.269938475,0.376110181,-0.440978103
814720,2.093049306,-0.176474398,0.130220331,0.252035899,-0.592747721,0.878023252,-0.116495562,-0.244654448,-0.310543331
814721,4.762312832,-0.142798609,0.004787995,0.250768318,-0.211110508,0.896360477,-0.979057792,0.090564221,-0.671933444
814722,0.018890242,-0.056288782,0.002808682,0.055809918,-0.044391164,0.039197234,0.013711564,0.061655529,-0.002252047
814723,0.453618952,-0.350565559,-0.284530486,-1.096962038,-0.603624725,0.493693526,-0.048874084,0.000176581,0.703018118
814724,-0.037335651,-0.103242167,0.053986816,-0.000659491,-0.12236726,0.093990343,-0.044511759,0.03648301,0.024063738
814725,0.072828861,-0.514988908,0.066662299,-0.236111656,0.067498538,0.544302469,0.284021355,0.108994702,0.307372045
814726,2.109818834,-0.097652562,-0.064489744,0.045751748,0.524831554,0.156607161,0.466758826,0.205761451,-0.011262147
814727,0.159695532,-0.184834354,-0.298672862,-0.112322009,0.976022204,-0.478200536,0.145451293,0.550259698,0.328400668
814728,-0.125574278,-0.065965625,-0.088297057,0.027364343,0.079529712,-0.047660267,-0.055501351,0.105094634,0.008947047
814729,0.1296362,0.08490941,0.114522755,0.206628138,0.019980085,-0.065804476,0.009976694,-0.075474261,-0.153607703
814730,0.557606904,0.443874919,0.390342902,-0.051493597,0.109031832,-0.115943127,0.153242696,-0.364194522,0.250558432
814731,5.380498709,0.805351318,0.266080544,-0.065711963,0.833362654,0.09011153,0.022546267,-0.500348974,0.031842126
814732,-1.676218949,1.590741124,-0.681214614,-0.81215896,0.522206104,-0.828080405,1.404316036,-0.022266429,0.003853704
814733,1.134673324,0.282548643,0.346170616,-0.032679971,0.048069567,0.042449116,0.387430411,-0.150681359,-0.05201852
814735,-0.434186771,-0.005837465,-0.0472295,0.04323577,-0.015049777,0.015370955,-0.08981269,0.045189679,-0.06229483
814736,-0.282989422,0.004964065,-0.072130392,0.038292962,0.061750387,0.052032384,0.091712909,-0.021294703,-0.08151838
814737,-1.299610618,-0.235361292,0.244223474,-0.457128364,-0.116718874,0.118633129,0.085002277,-0.141400881,0.437036127
814738,-2.15700337,-0.278506457,-0.033115527,0.090106844,-0.024243024,0.128213549,-0.122144292,0.202090644,-0.040744137
814739,-2.042600506,-0.276013736,-0.075762403,0.076477542,-0.053953113,0.277810102,-0.085584735,0.161020853,-0.05814312
814740,0.581637292,-0.022753345,-0.012741735,-0.03074692,0.085490084,0.08129809,0.058722783,0.004257331,0.042728595
814741,-0.457726314,0.070293143,-0.166236135,-0.108337162,0.058023049,-0.20137112,-0.309483783,-0.022073727,0.080449109
814743,5.197337607,0.543550865,-0.266826996,-0.960640761,-0.525497434,0.043448994,-0.565827205,-0.511577345,0.74093582
814744,0.424196442,-0.100053391,-0.190250898,0.127360091,-0.044096117,0.175569843,-0.375948348,0.037444973,-0.079145106
814746,1.366937607,0.035343203,0.412680523,0.210212831,0.177796456,0.288317382,0.053807941,-0.291123551,-0.072549818
814747,0.082001834,-0.05762478,0.023068507,0.167328,0.018030383,0.114222254,0.106683241,-0.003680263,-0.146444757
814748,-0.484953435,-0.074847497,-0.096197055,-0.124332837,0.043968922,-0.059418059,-0.054507655,0.107542477,0.203868448
814749,-0.264276859,-0.151140305,-0.106645902,0.007706103,-0.020621082,-0.002061724,-0.127208953,0.120728621,0.054837311
814753,-0.145252859,0.027873703,0.031851104,0.043958273,-0.158602752,-0.094616712,-0.109157041,-0.041536796,-0.020426131
814754,0.937567007,0.114635705,0.011411882,-0.350107596,-0.461836548,0.10919693,0.288326652,-0.117385709,0.197967722
814755,-1.196039005,0.898239865,1.013910808,0.684569293,-1.089828115,-0.916349465,-0.900146633,-0.785090835,-0.915104819
814756,3.470488112,-0.618152584,0.004307575,0.564195791,-0.671250839,-0.321104539,-0.829784565,1.202994781,-0.251996307
814761,3.929529354,-1.068797795,-0.098353146,1.069612979,-0.149659273,0.90089591,-0.957772887,0.365130836,-0.285507821
814762,4.112054043,-1.573052036,-2.132294533,-0.680234531,2.448278544,1.18789167,2.075824081,0.679821665,-0.679373841
814765,3.586617685,-0.25333816,-1.741042432,-1.227983424,0.901988851,1.504472959,1.328587071,0.800973574,-0.181557733
814766,1.808980866,0.038113174,-0.166947267,-0.331032935,-0.197940831,0.20287156,0.408114951,0.072538258,0.293184028
814767,-0.289250168,-0.041899234,0.064171466,0.203116703,-0.133377538,0.168128658,-0.115079249,-0.126728878,-0.23974713
814768,0.398341494,-0.078813261,-0.049639161,0.037110189,-0.148549129,0.160483662,-0.285346264,0.055943386,-0.024295127
814769,4.101089572,0.367292067,0.431135812,0.278362803,0.517624041,0.259159519,-0.090642143,-0.29521195,-0.07942508
814770,0.281983385,0.157928681,0.027185358,0.10338872,0.087886742,-0.000958131,0.007898431,-0.158660803,6.27E-06
814771,0.2596923,-0.221191344,-0.272556538,-0.235221435,-0.082082536,0.119518316,-0.145279631,0.276220388,0.173855168
814772,-0.693508647,-0.176011574,0.09452109,0.103534903,0.004783654,0.111135326,-0.017611701,0.124856152,0.040699924
814775,-3.411885084,-1.167992248,0.287838871,0.199812985,-0.166007639,1.002561842,-0.007190405,0.233042467,-0.080017418
814776,0.194700797,-0.079139961,-0.021694334,-0.047915742,0.159295865,0.075075367,0.217384865,0.053132363,0.059576784
814777,1.346945873,-0.026793985,0.024284103,0.085589211,0.075329204,0.15783959,0.088538757,0.016196017,-0.057967602
814778,2.041848058,-0.581277405,-2.080018665,-1.629956405,1.775419271,-0.066063663,2.564581186,0.474169729,-0.127616814
814779,-1.148188456,0.062280601,0.047524586,0.036657586,-0.07142781,-0.0628909,-0.060533971,-0.057396634,-0.110517257
814780,0.001962783,0.014976537,-0.107820092,-0.088067599,0.120150296,-0.00226082,0.06095024,-0.055636545,-0.035920447
814781,2.686091786,-0.195345527,-1.655016899,-1.370736023,2.641061123,0.356963354,1.514174857,-0.298419885,-0.354131692
814784,-2.177899679,-0.215418035,-0.097936203,-0.345751133,0.394791228,0.300288436,0.648191658,-0.022507058,0.166201559
814786,0.122422589,0.020900703,-0.005279721,0.066172007,0.06228092,-0.028250736,-0.010365876,0.0136684,-0.04167009
814787,-0.253702397,-0.042393161,0.032645705,0.000392426,0.026457795,-0.054087445,0.050397856,0.003897927,0.015441989
814788,1.275365685,1.091804023,0.185462101,0.461137614,-0.558252274,0.049896868,-0.689737189,-0.978639105,-1.728523787
814789,-0.595641233,0.110788375,0.24112795,0.055006836,0.11723441,0.032535205,0.091005776,-0.268538801,-0.074807265
814790,8.37389707,-0.79503627,-0.563857472,0.376211753,0.931307102,2.185519428,0.375717387,0.880822797,-0.15760968
814791,6.02558313,0.476213608,0.216172341,0.61324457,0.243819068,-0.164778327,-0.490406415,-0.329532029,-0.30750702
814792,7.346748052,-0.118692665,-0.104733306,0.330712792,0.203504982,-0.084104666,0.361695485,0.382718642,-0.120353331
814793,2.657175146,-0.282693944,-0.088846006,0.944957406,-0.120105801,0.334327462,-0.542875659,0.287010293,-0.86599089
814797,5.809030412,-0.227791918,-0.08083331,0.081792572,0.253407326,0.780569657,-0.797936669,0.230364831,-0.026835561
814798,7.117802287,0.055178904,0.176510809,0.565315618,0.015933604,0.563100362,-0.796684694,0.205561672,-0.320440293
814799,0.250576247,-0.116415289,0.009043916,0.159421726,-0.267807354,-0.56543136,-0.097836128,0.108937897,-0.267749396
814800,-1.49832456,-0.142977167,-0.080392496,-0.037167651,0.007631101,-0.030551818,0.045659182,0.168928984,0.020846544
814801,1.92479113,0.059228398,0.198181849,0.002897974,-0.301951502,0.422698471,0.217994196,-0.202026911,-0.077926732
814802,0.21692916,0.056787661,0.11614574,0.092064736,-0.10024674,-0.059698119,-0.141839343,-0.1225532,-0.133459208
814803,-0.656549306,0.028293778,0.114268885,0.033474333,0.062859832,0.042649089,0.077856671,-0.124181609,-0.012577861
814804,0.118776256,0.06293041,0.308924225,0.268490182,0.094643029,-0.207303594,-0.056634548,-0.00696397,-0.046938322
814805,-0.624416943,-0.080234373,-0.087984625,0.010031191,0.106095505,-0.126579423,-0.017920737,0.11477058,-0.04399569
814807,0.268622978,-0.278314206,-0.114596572,0.113883184,-0.006030287,0.355064259,0.02767137,0.209022318,-0.113378909
814808,0.540117228,-0.002967159,0.02232703,0.036560458,0.146541921,0.012629865,0.061133906,-0.020880744,0.023955717
814810,-0.264476517,0.058705016,0.016521602,0.049592675,-0.048884388,0.042568805,-6.55E-05,-0.121452539,-0.087576428
814811,0.028470789,0.227097933,0.04639532,0.023953901,0.123023328,0.039305663,-0.134667032,-0.358830294,-0.187405398
814812,1.417856522,-0.031527723,0.022854105,0.010255552,-0.026052611,-0.210388342,0.143687297,0.014145784,0.096722526
814814,1.345089448,0.399242313,0.264222459,-0.88378207,-1.091348734,0.798636474,0.462692737,-1.206577996,0.982600581
814815,1.467680346,0.340528828,0.222025617,-0.527245274,0.377121757,0.284920769,2.010582611,-0.594285617,0.207366339
814816,1.418180863,-0.077277534,-0.218874494,-0.170010385,0.065290199,-0.012467579,-0.310895,-0.099966268,-0.269006758
814817,-0.222080556,0.007593367,-0.054942078,-0.105428761,-0.187100207,-0.177161472,-0.175215623,0.021198983,0.075162543
814818,0.441304346,-0.083825846,-0.030326792,0.000813616,0.091502507,-0.01120626,0.046334566,0.022423313,0.030637044
814819,-0.142960696,0.126263452,0.224375814,-0.09595942,0.057597944,-0.12821204,-0.097577443,-0.273737062,0.16693183
814820,1.68892425,0.054252974,-1.658797051,-1.519238027,3.330044313,0.846278593,1.690650232,-2.231182551,0.163892681
814821,0.402562808,-0.040996874,0.089935355,0.023550879,-0.026640229,0.000491579,0.077810116,0.039275579,0.080113785
814822,-1.758619318,2.189915449,-0.459915989,-1.103996428,0.533336686,-1.835054849,0.79249568,-0.883786108,0.676732951
814823,-0.610136423,-0.400878862,-0.243866881,0.009344569,0.268122409,0.313888181,0.17108977,0.236771633,-0.076426073
814824,1.097320914,-0.031901481,0.059144015,-0.05376067,0.156846127,0.121817959,0.084960233,-0.037143782,0.020632111
814825,0.71760315,-0.190323365,-0.16042076,-0.008262004,0.019256533,0.233454685,-0.001595767,0.090865712,-0.005307752
814826,0.094866858,-0.079288362,0.017671121,0.096067893,-0.016878165,0.040770705,0.028150362,0.088565054,-0.054024418
814827,-1.598445499,-0.147125363,0.195841989,-0.005922434,-0.031798694,0.052020505,0.061738708,0.075129466,-0.009814068
814828,-3.098706619,1.803771684,-0.148660638,0.270789382,0.985206962,-2.732456771,-0.055831581,-0.713764174,-0.814707304
814830,1.988119182,-0.052743661,0.219275642,-0.742853312,0.736963893,0.348676845,1.758589764,-0.026653562,-0.065784472
814831,0.997150243,0.052514998,-0.237492149,-0.32120479,0.339976826,0.088701985,-0.195824473,0.03030032,-0.110664743
814833,-1.163667453,-0.116039632,-0.208328965,0.74504602,0.86495068,0.700792845,-0.769502368,0.177462386,-0.734212034
814834,-0.770980516,0.031646351,0.272432491,0.175555572,0.006704012,0.053006983,0.114539403,-0.154322757,-0.142885879
814835,0.012370769,-0.086684879,0.154814514,0.123477735,-0.098395564,-0.001914536,0.041380377,0.070035948,-0.050987145
814836,0.228173832,0.048215324,0.156574515,0.0698903,0.111663316,-0.042462169,-0.041823643,0.045604028,-0.00307864
814838,3.155568375,-0.005157753,0.045427627,0.093411227,0.530905682,0.383313101,-0.052746825,-0.036045547,0.015971139
814840,2.079845546,0.202448835,0.443507,0.236469269,0.239620141,-0.279246315,-0.096186058,-0.324713538,-0.178228377
814841,0.08033892,0.001762798,-0.041505611,0.111716102,0.142818955,0.054686574,0.015806413,-0.035553063,-0.130595085
814842,1.360151894,-0.673790968,-1.028000193,-2.374747167,0.859180469,-0.763559786,1.545844674,-0.571318489,1.561324514
814843,-0.713831341,-0.009999439,0.102394505,0.122463435,-0.062933927,-0.010218329,-0.057049204,0.002060974,-0.06171346
814844,-0.055767032,0.016852724,0.060612319,0.029493339,0.060770705,0.018054623,0.024144796,-0.037139236,-0.012374043
814845,-0.365848886,-0.419655134,-1.843030039,-1.500055706,1.874902714,-0.219224613,1.13763688,0.110174962,1.086855619
814849,3.827897795,-0.161346935,-0.22408981,-0.11785605,-0.002016364,0.482637721,-0.572460504,0.06325287,0.142007773
814850,1.59686734,0.08363017,-0.615373589,-0.239811064,-0.27689743,0.306832035,-0.304550909,-0.253466345,-0.550885052
814851,0.768054073,-0.036201043,-0.027031891,0.051890242,0.081880154,0.086372287,-0.030300012,0.066005716,0.016305205
814852,-0.541428252,-0.045750863,-0.828899817,-0.421079774,-0.132469153,0.28274763,-0.282015012,-0.482472425,-0.115550774
814853,0.07676591,-0.078263437,-0.231275774,-0.114385491,-0.094656989,0.019269548,-0.125679228,0.039782323,-0.075704406
814855,1.898857934,-0.120333499,0.018653947,0.017108396,0.251144768,0.224320032,0.209974214,0.263357583,-0.119410619
814856,0.092662713,0.01970807,0.080828377,0.030929759,0.022918554,0.023039017,0.087108539,-0.058834338,0.051257365
814857,0.440979453,-0.050177132,0.110901227,-0.001243498,0.146639462,0.028703343,0.136294223,0.074671134,0.100066692
814860,-7.100625445,0.327091877,0.585144038,0.354045055,-0.579048981,-0.630283388,-0.287574334,0.292079162,-0.046395983
814862,-0.627450525,-0.093487989,0.149676775,0.121685894,-0.073706534,0.018731612,-0.041775384,0.094356559,-0.004388124
814863,-0.794340174,-0.113164796,0.017804989,0.109039732,0.034220994,-0.035950018,-0.06500486,0.183276893,-0.087923695
814864,-0.904660097,0.000745463,0.043656385,0.140653472,-0.003723357,0.0082595,-0.046590981,-0.10286206,-0.164905302
814865,4.36393867,0.668378284,0.308556833,0.827679716,-0.528833959,1.645485879,-1.137821059,-1.060284045,-0.530741276
814866,7.136903433,-0.209096395,-0.587143742,0.460029775,0.096801405,0.464786409,-0.552496661,0.128439548,-0.598245418
814867,0.163428626,0.104881263,0.260107475,0.166994335,0.032189942,-0.099787234,0.040155591,-0.103757422,-0.15818364
814868,-1.634397643,0.038081361,0.160806889,0.172651583,-0.085882609,-0.071149039,-0.061548972,-0.046860734,-0.089182376
814870,-2.548128614,0.009796706,-0.042495795,0.194966999,0.377042708,0.231128043,-0.466538096,-0.151763577,0.023729222
814872,0.168304251,0.239109436,0.0143812,-0.114929495,0.102264144,-0.207076484,0.038837228,-0.177854385,0.079081312
814873,-1.366899696,0.032700617,-0.199293583,-0.221594199,-0.127570819,-0.116160256,-0.201974842,0.04027407,0.009376961
814874,2.1326433,-0.13327906,-0.108793443,0.071402776,-0.214548125,0.442221257,0.002891342,0.190609074,-0.093945457
814875,1.239260586,-0.259597849,-0.500827716,-0.691381924,0.577056044,-0.187076159,-0.153838657,-0.010466533,0.295219118
814876,-0.253685792,-0.040245525,0.034766589,0.077155273,0.081622855,0.00447399,0.004639295,0.003874821,-0.093515361
814877,0.874845616,-0.021687978,0.01403559,0.059592383,0.264410926,-0.051317209,0.067352804,-0.006334993,-0.093952537
814878,1.252172361,0.394680989,0.360915751,0.054849948,-0.154923971,-0.192315064,-0.073915133,0.010934611,0.2637729
814879,3.402190472,-0.026810924,0.151959534,-0.003022142,0.018589648,0.44766513,0.625539752,-0.070570387,0.023716178
814880,0.04458706,0.005733601,-0.008143192,0.007814759,0.047116216,0.008836832,-0.016254131,-0.026903643,0.012687211
814881,-0.417172561,0.144091206,-2.01989566,-1.099466737,1.165839527,0.120557178,0.555150459,-0.360967527,-0.143826797
814882,-2.581917454,-0.08426468,0.373354838,-0.046837679,-0.917426369,-0.076007151,-0.294820271,0.255795959,0.218934316
814883,-2.590975934,0.643668571,-0.800334739,-0.771964925,0.601817727,-0.379310741,0.059587165,-0.71507185,-0.177596226
814884,-9.890203053,2.026369321,2.312385299,2.794202866,-2.385081375,-1.95622855,-2.027793848,0.391639085,-1.441855079
814885,-6.618518019,-0.385109174,-0.361400565,0.494598054,-0.392719337,-0.016286322,-0.789526775,0.483685398,-0.233170355
814888,0.721716577,0.010004045,0.293608569,0.215580015,-0.462866639,0.602856876,-0.441138402,-0.291609447,-0.124937862
814889,3.752315659,-0.922639378,-0.168440558,0.185957926,-1.606114867,1.669330265,-1.021183878,0.508496445,-0.091175684
814890,1.491366487,-0.259283377,-0.367732642,-0.79044858,0.066276649,0.395028338,1.084308069,0.085201926,0.052613093
814891,-0.14047525,-0.052790705,0.003128596,0.097506634,-0.056957178,0.024605914,0.062993843,0.018535288,-0.113673077
814892,-0.183143652,-0.288539611,-0.444545769,-0.311039758,-0.187008007,-0.223212277,0.27194167,0.435813228,0.321180827
814893,-0.138791423,0.026859036,0.029153304,0.094759704,0.129151476,-0.037290287,0.211055538,-0.030194728,-0.069110771
814895,0.885040564,0.185187965,0.228956184,0.004218429,0.008604567,-0.094449046,-0.028461311,-0.176253963,-0.071341048
814896,-0.274933405,-0.084780632,-0.104217683,0.150088299,-0.102315769,0.075852852,-0.381475547,0.053035152,-0.103862584
814897,0.010566823,-0.160346585,-0.112904171,-0.264462601,-0.269965514,0.031222413,-0.236588035,0.124206462,0.268947695
814898,-4.602655373,-0.702200412,0.525894176,0.465932258,-0.629176278,0.19680985,-0.434169626,0.404576451,0.024805236
814899,4.970461211,0.117214254,-0.203448833,0.544257486,-1.030186508,-0.015346969,-0.128579684,0.171925184,-0.897395862
814900,-0.200542106,-0.037229383,-0.004044437,0.096258022,-0.122150632,0.039586449,-0.006503928,0.036885837,-0.06145203
814902,-6.678542982,0.086629314,0.157716169,0.569184749,-0.721739505,-0.331385669,-0.238663687,1.027553217,-0.499603468
814903,-1.129311445,0.106407876,-0.128010839,0.234198152,-0.042024669,-0.019924609,-0.236648604,-0.049552945,-0.058095602
814904,0.288268836,-0.101919932,-0.063591217,0.235668538,-0.472984064,0.415818045,-0.280846248,0.199139503,-0.291373829
