Entrez Arabidopsis ID,"""ROOT-SHOOT_logFC""",FL-GC_logFC,CAX22-COL00_logFC,CAX23-COL00_logFC,I:Tissue_SHOOT.Genotype_CAX22_logFC,I:Tissue_SHOOT.Cond_FL_logFC,I:Tissue_SHOOT.Genotype_CAX23_logFC,I:Cond_FL.Genotype_CAX22_logFC,I:Cond_FL.Genotype_CAX23_logFC
814630,-0.068432183,0.028192976,0.004261679,-0.027404143,-0.007077666,0.071497628,-0.122594457,-0.042641399,0.059326736
814631,3.627673113,-0.849577331,-4.052146473,-2.354026605,3.288700771,1.63696459,1.93871113,-0.735254904,-1.362448163
814636,1.187159842,-0.085688268,-0.521513322,-0.939280103,-0.185436178,-0.02558249,-0.305575421,0.144919795,0.512465625
814637,0.355320285,-0.05780679,-0.017957594,-0.029270339,0.06428339,0.031864054,0.006077441,0.05031763,0.046765459
814638,-0.256123096,-0.002089161,-0.010933106,0.067643771,-0.041701552,-0.038890341,-0.002380995,0.065630526,-0.12304291
814639,0.235135777,0.018694823,0.117374879,0.071305072,-0.11716844,0.040694053,-0.1999748,-0.153944491,-0.054483196
814640,-2.07077883,-0.003628674,-0.199009344,-0.236314244,-0.078268869,-0.131776933,-0.01841743,0.138748727,0.056964328
814641,1.286892245,0.000478686,0.029857842,-0.050805631,0.097091961,0.002585965,0.061715955,-0.031157988,0.062074603
814642,0.408441813,-0.0104191,0.079330306,-0.063558295,0.047971122,-0.026703341,0.11290205,-0.04524857,0.09565498
814643,0.179733264,-0.132132881,-0.234677245,0.10073788,-0.29558302,0.290126031,-0.662325257,0.048633636,-0.081867029
814644,1.227777736,0.082667109,-0.219564099,-0.191108709,0.223676754,-0.045734681,-0.305318836,-0.135944832,0.162691141
814645,-0.244043911,-0.153944021,-0.175849761,-0.101460776,0.091822871,-0.060079771,-0.260745085,0.163915331,-0.023909012
814646,-0.604506691,-0.54942211,-0.462230706,-0.266205264,-0.73611828,0.440964961,-0.538148761,0.274567159,-0.004028298
814647,0.413823617,-0.123853875,-0.321237603,-0.254453484,-0.027169854,0.189304643,-0.097692394,0.107561695,0.111309237
814648,1.509515762,-0.327702378,-0.608839924,-0.474508271,0.747876925,-0.223836524,0.431200621,0.173476346,0.308330798
814649,2.26262891,-0.051855144,0.047002053,-0.107868886,0.240860841,0.09074863,0.191298109,0.1318658,0.232824473
814650,-0.288327198,-0.010986356,-0.111905557,-0.105682536,-0.087809944,0.005102864,-0.107136501,0.057174085,0.060190957
814652,-0.417008875,-0.090571009,-0.068079946,0.392488327,0.093042207,0.13417285,-0.233829787,-0.00554908,-0.299075983
814653,-0.120977502,-0.139261316,-0.048735434,0.070338021,-0.114643317,0.110443818,-0.021735411,0.175266187,-0.047972782
814654,-0.299675789,0.008024645,-0.03539136,0.020888936,0.03948266,-0.112344716,-0.112294488,0.058097064,0.023716182
814655,3.440556536,-0.151831412,-0.297049912,0.03251693,0.392374812,0.42251704,-0.318605505,0.064534061,-0.031007717
814656,-2.643916125,0.020818569,-0.467270716,-0.210008917,0.001991558,-0.081995068,0.015111609,0.247348024,0.20647837
814657,-1.892687573,0.106789132,0.066770178,-0.114818578,-0.197185188,0.041236265,-0.098184481,-0.132167012,-0.028471744
814658,-1.733676643,0.057579519,-1.205420764,-1.018796693,0.510088012,-0.331066358,0.418304244,0.038039204,0.111151038
814660,-2.212925735,0.059685974,0.042391378,-0.123513091,-0.035043831,-0.194877788,0.059264817,0.089156831,0.118378853
814661,0.19468713,0.195003541,0.202482647,-0.019515611,-0.245053944,-0.065878446,0.009407724,-0.17647946,-0.060429213
814662,-0.615645089,0.573141614,0.009404758,-0.453175102,-0.652916899,-0.253867671,-0.717759636,-0.4153332,0.395407521
814663,-0.455591324,-0.007974285,-0.034181868,0.025375781,-0.06460672,-0.09146828,-0.061880395,0.062379411,0.080197557
814664,-2.384330591,1.104609893,0.505913091,0.77980243,-2.00619931,0.93755969,0.080186213,-1.251001607,-1.524973481
814667,0.347023251,0.089375833,0.270506814,0.123435227,0.070713322,-0.239071173,-0.025291552,-0.054775279,-0.005569009
814668,-0.305019281,-0.003378829,0.171317279,0.077546415,-0.178105912,-0.058547343,-0.143881371,0.108058739,0.079256608
814669,0.402035502,-0.068685839,-0.33182415,-0.305069621,-0.117856419,0.25256194,-0.550058001,-0.061485626,-0.001987631
814670,-0.767585795,-0.064446951,-0.059255902,-0.037498375,-0.203700038,0.138917306,-0.191655743,0.017896862,0.019548642
814671,5.385501925,-0.534347993,-0.429683198,-0.075772189,0.751083795,0.798163852,0.524841013,0.660201294,-0.152308972
814672,-0.783720017,0.019417203,0.154870757,0.070568503,-0.031484575,-0.165504579,-0.051417493,0.066294105,0.070546678
814673,-0.722567465,-0.08192871,-0.124329543,0.023122309,-0.140527994,-0.018698319,-0.110283273,0.094933887,-0.006803942
814674,0.733111241,-0.006623423,0.029021993,0.107533165,0.031693004,0.059628569,-0.005239874,0.022299369,-0.035620324
814675,0.270181164,0.007052462,-0.066504768,0.007241291,0.075168708,-0.018712216,0.025076688,0.024970762,0.00794264
814676,0.336944204,-0.098376391,-0.035285419,0.045580203,-0.025939902,0.028443217,-0.085106377,0.072571217,-0.025607263
814677,-0.438599903,-0.003295039,0.030820299,0.15593042,0.002582892,0.000429727,-0.078315158,-0.085213097,-0.15215439
814678,-1.044991806,-0.038710266,-0.145025672,-0.459188803,-0.273055807,-0.022187898,-0.465801443,-0.201922186,0.035813764
814680,0.8155089,0.03450782,0.325993112,0.176320225,0.426651956,-0.32000848,-0.021520762,-0.151889597,0.093420647
814681,5.867573184,-0.663985687,-0.64455262,0.10999811,1.005627877,1.63231068,0.278716447,1.005104896,0.135400558
814682,6.750905417,-0.504685778,-0.260736107,0.291655691,0.88199544,1.910452119,-1.773977708,0.449440368,-0.516384492
814683,0.536722941,-0.098270353,-0.138637689,0.143558796,0.000960503,0.139842042,-0.051286877,0.109523489,-0.090267162
814685,-1.755413327,-0.245558369,0.348008135,0.355017145,-1.690386024,0.842466261,-1.432082429,0.507370956,-0.675541716
814686,-0.386022119,-0.088744439,-0.106052206,-0.019255448,-0.059147384,0.095287697,-0.043848169,0.051774833,-0.070323007
