ID,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
AT1G01010.1,262.2059798,217.5874575,306.8245021,1.410120352,0.4958183,0.066381858,1
AT1G01020.1,379.1167935,394.1037817,364.1298053,0.923943951,-0.114122758,0.632123736,1
AT1G01020.2,341.7970141,354.626155,328.9678732,0.927646956,-0.108352246,0.651966463,1
AT1G01030.1,36.83027346,40.41876563,33.24178128,0.822434351,-0.282027571,0.481691751,1
AT1G01040.1,1055.156253,1042.656941,1067.655564,1.023975886,0.034181741,0.951969608,1
AT1G01040.2,1006.326709,992.8899156,1019.763503,1.027066029,0.038528934,0.946188203,1
AT1G01046.1,22.2027488,22.98333825,21.42215935,0.932073449,-0.101484449,0.737385277,1
AT1G01050.1,2430.922522,2398.83118,2463.013863,1.026755815,0.038093118,0.902689898,1
AT1G01060.1,567.5185736,553.0730902,581.964057,1.052237159,0.073459903,0.856805727,1
AT1G01060.2,554.5512533,540.9251663,568.1773403,1.050380673,0.070912276,0.862977214,1
AT1G01060.3,535.4621878,523.1625708,547.7618048,1.047020248,0.066289343,0.864097033,1
AT1G01060.4,567.4149274,552.8657979,581.964057,1.052631686,0.074000728,0.855892175,1
AT1G01060.5,530.5228753,517.1868442,543.8589063,1.051571424,0.072546843,0.861576757,1
AT1G01070.1,224.2600264,203.1137918,245.4062611,1.208220569,0.272883853,0.305751871,1
AT1G01070.2,212.5815657,191.1162169,234.0469144,1.224631369,0.292347544,0.285000256,1
AT1G01073.1,0.115408569,0.230817138,0,0,#NAME?,0.725166236,1
AT1G01080.1,133.0756767,144.9053658,121.2459877,0.836725314,-0.257174013,0.53054692,1
AT1G01080.2,133.2619257,145.0207743,121.503077,0.837832218,-0.255266733,0.533157169,1
AT1G01090.1,3404.537463,3456.710569,3352.364358,0.969813437,-0.044220852,0.885975682,1
AT1G01100.1,3550.74076,3355.53304,3745.948479,1.116349752,0.158789094,0.512789473,1
AT1G01100.2,3546.449187,3352.65891,3740.239463,1.115603932,0.157824924,0.515764,1
AT1G01100.3,3710.877315,3483.211356,3938.543273,1.130721874,0.177244111,0.469602274,1
AT1G01100.4,3545.909722,3351.989924,3739.829521,1.115704285,0.157954695,0.515515326,1
AT1G01110.1,205.006799,208.2311493,201.7824487,0.969031047,-0.045385206,0.923009019,1
