ID	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
AT1G01010.1	262.205979808097	217.587457487236	306.824502128958	1.41012035193691	0.49581830002317	0.0663818577795474	1
AT1G01020.1	379.116793512516	394.103781730886	364.129805294146	0.923943951247827	-0.114122758083022	0.632123736004336	1
AT1G01020.2	341.797014067574	354.626154957507	328.967873177641	0.927646956037577	-0.108352246089308	0.651966462839052	1
AT1G01030.1	36.8302734551784	40.4187656274108	33.2417812829459	0.82243435114709	-0.282027571120921	0.481691751389424	1
AT1G01040.1	1055.1562525492	1042.65694066805	1067.65556443035	1.02397588582327	0.0341817409113355	0.951969607589455	1
AT1G01040.2	1006.3267092348	992.889915645568	1019.76350282404	1.02706602892728	0.0385289338896136	0.946188202669743	1
AT1G01046.1	22.2027488017698	22.9833382499268	21.4221593536127	0.932073449063948	-0.10148444856456	0.737385276899661	1
AT1G01050.1	2430.92252154156	2398.83117962574	2463.01386345737	1.02675581523901	0.0380931183349542	0.902689898236735	1
AT1G01060.1	567.518573609191	553.073090226611	581.964056991771	1.05223715866075	0.0734599033596568	0.85680572737202	1
AT1G01060.2	554.551253276451	540.925166278359	568.177340274542	1.05038067314132	0.0709122761990206	0.862977213626991	1
AT1G01060.3	535.462187801185	523.16257079803	547.761804804341	1.04702024834993	0.0662893428528284	0.864097033353743	1
AT1G01060.4	567.414927432907	552.865797874043	581.964056991771	1.05263168607937	0.0740007282746393	0.855892174531272	1
AT1G01060.5	530.52287526905	517.186844197682	543.858906340417	1.05157142421925	0.0725468432864401	0.861576756710601	1
AT1G01070.1	224.260026439697	203.11379178046	245.406261098933	1.20822056910929	0.272883852769187	0.305751870787177	1
AT1G01070.2	212.581565684421	191.116216919848	234.046914448994	1.2246313694413	0.292347543910586	0.28500025643966	1
AT1G01073.1	0.115408568943176	0.230817137886352	0	0	-Inf	0.725166235796193	1
AT1G01080.1	133.075676716899	144.905365779203	121.245987654595	0.83672531381165	-0.257174012664689	0.530546919770297	1
AT1G01080.2	133.261925653596	145.020774348146	121.503076959045	0.837832217523245	-0.255266733042266	0.53315716920381	1
AT1G01090.1	3404.53746324902	3456.71056887507	3352.36435762296	0.969813437031246	-0.0442208520790357	0.885975682157677	1
AT1G01100.1	3550.74075953156	3355.53304020922	3745.9484788539	1.1163497524734	0.158789094467476	0.512789472583956	1
AT1G01100.2	3546.44918671406	3352.65891037529	3740.23946305283	1.11560393199502	0.157824924329817	0.515764000223865	1
AT1G01100.3	3710.87731470167	3483.21135632922	3938.54327307413	1.13072187420311	0.177244110537224	0.469602273565422	1
AT1G01100.4	3545.90972226179	3351.98992357661	3739.82952094697	1.11570428498083	0.157954694617893	0.51551532577249	1
AT1G01110.1	205.006799006837	208.231149341701	201.782448671973	0.969031047035402	-0.0453852056283693	0.92300901920597	1
AT1G01110.2	260.004921742723	265.534265963443	254.475577522003	0.95835306452327	-0.0613708412239719	0.883634042488483	1
AT1G01115.1	0.718256609943704	0.666694327755455	0.769818892131953	1.15468042862114	0.207493624076587	0.943188236463019	1
AT1G01120.1	1055.52664989468	1060.55927901991	1050.49402076946	0.990509480752689	-0.013757310818104	0.939753878357827	1
AT1G01130.1	38.423502174016	41.586990055077	35.260014292955	0.847861656884939	-0.238099211240589	0.803606446092322	1
AT1G01140.1	30.1706637124068	23.1496567070882	37.1916707177254	1.60657547488977	0.68398875839504	0.143942453453419	1
AT1G01140.2	30.1706637124068	23.1496567070882	37.1916707177254	1.60657547488977	0.68398875839504	0.143953755146353	1
AT1G01140.3	30.2189730846521	23.2462754515787	37.1916707177254	1.59989804797738	0.677979973635271	0.148398622038891	1
AT1G01150.1	2.76743177973799	3.32884346951606	2.20602008995992	0.662698655001831	-0.593575103531202	0.550467268796657	1
AT1G01160.1	562.990873388958	577.564521789797	548.41722498812	0.949534128738806	-0.0747082393494959	0.835638721009572	1
AT1G01160.2	611.180469234306	627.481081426972	594.879857041641	0.948044291134337	-0.0769736337519927	0.82893079408775	1
AT1G01170.1	144.45731763044	155.937647413985	132.976987846895	0.852757432551655	-0.22979267060285	0.438173517060671	1
AT1G01170.2	144.296717680039	155.822238845041	132.771196515037	0.852068340816696	-0.230958947296239	0.43587726554538	1
AT1G01180.1	68.2646333878881	79.7574895385463	56.77177723723	0.711804967354101	-0.490446094110299	0.0940266295206523	1
AT1G01183.1	3.22446630004032	3.67264023548836	2.77629236459227	0.755939102819065	-0.403658076842619	0.883717777589643	1
AT1G01190.1	286.696569028682	279.419157193218	293.973980864146	1.05208956972433	0.073257533809198	0.966881656356834	1
AT1G01200.1	99.823526088457	93.3659569746666	106.281095202247	1.13832812993161	0.186916483118643	0.575088063426621	1
AT1G01210.1	162.168722669678	157.703721550574	166.633723788782	1.05662518392342	0.079463701041564	0.775941016421304	1
AT1G01220.1	630.669323446428	587.229334530883	674.109312361972	1.14794897448455	0.199058516670288	0.416100198122158	1
AT1G01225.1	125.530004953976	117.34344753799	133.716562369961	1.13953156461225	0.188440887287596	0.521305722272204	1
AT1G01230.1	460.72794878596	463.812644022855	457.643253549065	0.986698528914002	-0.0193187369304158	0.862347769049069	1
AT1G01240.1	151.570130973834	146.961684372406	156.178577575261	1.06271630079783	0.0877565112069691	0.819088868540988	1
AT1G01240.2	155.695498155895	150.591889657439	160.799106654352	1.06778065551958	0.0946153177236365	0.784660496677712	1
AT1G01240.3	162.691553068995	157.235264922269	168.147841215721	1.06940285500741	0.0968054334477634	0.762720526836545	1
AT1G01250.1	0.205381192392421	0	0.410762384784843	Inf	Inf	0.249657895698286	1
