ShootCAX22,ShootCAX23,ShootCOL00,ShootRBOHD,ShootCAX22|ShootCAX23,ShootCAX22|ShootCOL00,ShootCAX22|ShootRBOHD,ShootCAX23|ShootCOL00,ShootCAX23|ShootRBOHD,ShootCOL00|ShootRBOHD,ShootCAX22|ShootCAX23|ShootCOL00,ShootCAX22|ShootCAX23|ShootRBOHD,ShootCAX22|ShootCOL00|ShootRBOHD,ShootCAX23|ShootCOL00|ShootRBOHD,ShootCAX22|ShootCAX23|ShootCOL00|ShootRBOHD
ATCG00250.1,AT4G12545.1,AT1G30700.1,AT3G49630.1,AT3G24240.1,AT4G13420.1,AT4G37990.1,AT3G57260.1,AT3G23470.1,AT3G22600.1,AT5G10580.1,AT1G66270.1,AT2G39030.1,AT1G13609.1,ATCG01170.1
ATCG00060.1,AT5G42600.1,AT4G11650.1,AT3G60140.1,AT4G15390.1,AT3G47760.1,AT1G58983.1,AT3G09220.1,AT4G22212.1,AT2G39530.1,AT5G10580.2,AT1G66270.2,AT5G07010.1,AT1G13609.2,ATCG01160.1
ATCG00230.1,AT5G46900.1,AT2G30660.1,AT2G26020.1,AT1G70850.1,AT1G34047.1,,AT5G23840.1,AT1G29025.1,ATMG01300.1,AT1G66700.1,AT3G28550.1,,AT2G14610.1,ATCG01140.1
ATCG00260.1,AT3G01190.1,AT3G11340.1,AT1G19550.1,AT1G70850.2,AT1G34047.2,,AT5G23840.2,AT3G15240.2,ATMG01310.1,AT4G24000.1,AT1G23720.1,,AT2G44460.1,ATCG01150.1
ATCG00240.1,AT5G46890.1,AT4G22070.1,AT5G35935.1,AT1G70850.3,AT1G66960.1,,AT4G37070.2,AT5G36180.1,AT4G08770.1,AT1G66700.3,AT1G66280.1,,AT2G14247.1,ATCG01190.1
ATCG00310.1,AT2G05440.4,AT1G14870.1,AT4G17470.1,AT5G48940.1,AT1G69920.1,,AT4G37070.1,AT5G26260.1,ATMG01270.1,AT1G67980.1,AT2G02990.1,,ATMG01230.1,ATCG01180.1
ATCG00320.1,AT4G12510.1,AT1G30720.1,AT4G17470.2,AT3G01260.1,,,AT4G37070.3,AT1G54000.1,AT4G15610.1,AT1G67980.2,AT3G54580.1,,AT4G23150.1,ATCG00960.1
AT2G07750.1,AT2G05440.5,AT1G02360.1,AT4G17470.3,AT5G26290.1,,,AT4G37070.4,AT5G19110.1,ATMG01290.1,AT3G05780.1,AT3G59220.1,,ATMG00820.1,ATCG00970.1
AT4G29020.2,AT2G05440.7,AT3G09270.1,AT1G19560.1,AT4G12520.1,,,AT5G63600.1,AT5G51060.1,AT1G78355.1,AT2G25330.1,AT1G73290.1,,ATMG00790.1,ATCG00980.1
AT1G59171.1,AT2G05440.3,AT1G78780.4,AT5G66150.1,AT3G32030.1,,,AT5G64100.1,AT1G51840.1,AT4G35770.3,AT4G23310.1,AT1G43160.1,,ATMG00800.1,ATCG00990.1
AT1G59171.2,AT2G05440.1,AT1G78780.2,AT1G33940.2,AT1G12040.1,,,AT5G63600.2,AT3G05155.1,AT4G35770.1,AT2G26400.1,AT5G59090.1,,ATMG00850.1,ATCG01200.1
AT1G28630.4,AT2G05440.2,AT1G78780.1,AT3G44860.1,AT4G29020.1,,,AT3G23180.1,AT5G35940.1,AT4G35770.2,AT3G28510.1,AT5G59090.3,,ATMG00870.1,ATCG00950.1
AT1G59218.1,AT2G05440.8,AT5G48410.1,AT1G61810.1,AT1G05260.1,,,AT2G44790.1,AT2G28780.1,AT4G36700.1,AT2G04050.1,AT5G59090.2,,ATMG00880.1,ATCG01030.1
