"CAX22ROOTFL-CAX22ROOTGCUP, 127 genes","CAX22ROOTFL-CAX22ROOTGCDown, 0 genes","CAX22ROOTFL-COL00ROOTFLUP, 232 genes","CAX22ROOTFL-COL00ROOTFLDown, 271 genes","CAX22ROOTGC-COL00ROOTGCUP, 10 genes","CAX22ROOTGC-COL00ROOTGCDown, 110 genes","CAX22SHOOTFL-CAX22SHOOTGCUP, 3 genes","CAX22SHOOTFL-CAX22SHOOTGCDown, 5 genes","CAX22SHOOTFL-COL00SHOOTFLUP, 127 genes","CAX22SHOOTFL-COL00SHOOTFLDown, 586 genes","CAX22SHOOTGC-COL00SHOOTGCUP, 55 genes","CAX22SHOOTGC-COL00SHOOTGCDown, 127 genes","COL00ROOTFL-COL00ROOTGCUP, 203 genes","COL00ROOTFL-COL00ROOTGCDown, 92 genes","COL00SHOOTFL-COL00SHOOTGCUP, 304 genes","COL00SHOOTFL-COL00SHOOTGCDown, 34 genes"
AT1G01140,,AT1G03130,AT1G01560,AT1G24270,AT1G04110,AT1G04800,AT1G17300,AT1G01190,AT1G01130,AT1G13635,AT1G01130,AT1G01580,AT1G07550,AT1G02220,AT1G02620
AT1G07180,,AT1G05135,AT1G01580,AT1G29810,AT1G04920,AT3G01260,AT2G39518,AT1G04800,AT1G01480,AT1G17170,AT1G08315,AT1G01680,AT1G08430,AT1G02360,AT1G08430
AT1G14150,,AT1G06360,AT1G01680,AT2G01422,AT1G09930,AT4G29020,AT3G46690,AT1G08430,AT1G01560,AT1G21310,AT1G11740,AT1G02230,AT1G16910,AT1G02450,AT1G19540
AT1G14880,,AT1G07050,AT1G02450,AT2G44590,AT1G11590,,AT3G59220,AT1G12040,AT1G01680,AT1G26290,AT1G18200,AT1G02450,AT1G19390,AT1G02520,AT1G20070
AT1G16410,,AT1G07180,AT1G02850,AT3G26125,AT1G11990,,AT4G13420,AT1G14240,AT1G02220,AT1G29810,AT1G19020,AT1G02850,AT1G22380,AT1G05700,AT1G21550
AT1G19150,,AT1G07550,AT1G04445,AT3G28899,AT1G12610,,,AT1G15380,AT1G02360,AT1G30700,AT1G19190,AT1G02930,AT1G30260,AT1G05880,AT1G22490
AT1G19960,,AT1G08430,AT1G05650,AT3G30720,AT1G16230,,,AT1G18140,AT1G02390,AT1G49860,AT1G20823,AT1G05650,AT1G33100,AT1G08090,AT1G30860
AT1G21130,,AT1G13650,AT1G05880,AT5G18910,AT1G17420,,,AT1G19540,AT1G02400,AT1G54890,AT1G25400,AT1G05880,AT1G44030,AT1G08310,AT1G34100
AT1G21250,,AT1G14150,AT1G08090,AT5G24915,AT1G19020,,,AT1G20080,AT1G02450,AT1G65690,AT1G27720,AT1G08090,AT1G45015,AT1G08320,AT1G44830
AT1G22690,,AT1G14880,AT1G08165,AT5G28335,AT1G19210,,,AT1G22490,AT1G02520,AT1G66700,AT1G27730,AT1G08165,AT1G45020,AT1G11120,AT1G57590
AT1G24148,,AT1G15980,AT1G09930,,AT1G20120,,,AT1G23120,AT1G03390,AT1G73260,AT1G28370,AT1G12030,AT1G51830,AT1G13480,AT1G62440
AT1G29660,,AT1G16410,AT1G11070,,AT1G20390,,,AT1G26450,AT1G03700,AT2G01422,AT1G30370,AT1G17180,AT1G51840,AT1G13520,AT1G67265
AT1G29910,,AT1G18730,AT1G12610,,AT1G21326,,,AT1G29270,AT1G03850,AT2G29460,AT1G33760,AT1G18970,AT1G51870,AT1G13530,AT1G73325
AT1G29920,,AT1G19150,AT1G13310,,AT1G27565,,,AT1G29810,AT1G04445,AT2G29490,AT1G33770,AT1G19960,AT1G52060,AT1G13609,AT1G77640
AT1G31580,,AT1G19390,AT1G13550,,AT1G29680,,,AT1G45616,AT1G04778,AT2G30750,AT1G35140,AT1G21120,AT1G52070,AT1G13750,AT2G22860
AT1G32080,,AT1G20020,AT1G14490,,AT1G43590,,,AT1G47370,AT1G05575,AT2G37070,AT1G42980,AT1G21130,AT1G53990,AT1G14540,AT2G24610
