rbohD Leaf,Col Leaf,rbohD Leaf|Col Leaf
AT1G51680,AT1G14120,AT2G25450
AT4G13615,AT5G09290,AT1G06640
AT4G36580,AT3G14990,AT5G14200
AT3G21080,AT3G21240,AT2G43100
AT3G58990,AT3G28510,AT3G07390
AT4G18440,AT3G28580,AT3G02020
AT1G08250,AT5G57480,AT1G77450
AT2G27880,AT5G40010,AT5G63790
AT1G55330,AT3G63380,AT5G65980
AT2G37690,AT5G61440,AT5G67450
AT1G32780,AT3G01990,AT3G19710
AT1G23800,AT2G39570,AT5G63810
AT1G54100,AT3G61760,AT1G61820
AT5G02170,AT1G72280,AT4G36060
AT4G13510,AT1G11420,AT5G39410
AT3G25780,AT1G35230,AT1G57590
AT4G12440,AT3G08860,AT3G56240
AT1G08315,AT2G38400,AT1G12520
AT5G66200,AT4G22110,AT5G24090
AT2G02850,AT2G14170,AT2G43570
AT1G20060,AT1G60730,AT2G24610
AT3G61900,AT4G25900,AT1G08830
AT5G18010,AT3G23560,AT3G60550
AT1G16510,AT1G79450,AT2G28190
AT1G56150,AT2G25940,AT2G34300
AT1G23160,AT4G28420,AT2G40340
AT2G46650,AT1G02220,AT4G19120
AT2G46240,AT2G43000,AT2G47800
AT1G10070,AT5G14000,AT5G07440
AT2G40330,AT1G14540,AT1G74670
AT1G66270,AT1G11740,AT4G14630
AT1G66280,AT4G03460,AT3G11340
AT1G61810,AT4G14390,AT4G18360
AT3G47640,AT4G21903,AT1G15380
AT4G12030,AT1G32350,AT4G14440
AT4G21820,AT1G36060,AT1G79890
AT1G75430,AT1G44830,AT1G52560
AT1G49320,AT2G26400,AT3G02030
AT3G58120,AT1G02440,AT5G38200
AT3G59820,AT1G19050,AT3G19700
AT1G76470,AT2G26290,AT2G39530
AT3G16320,AT3G51340,AT4G15610
AT5G39660,AT5G48430,AT1G60960
AT2G38620,AT5G20960,AT1G19540
AT3G16920,AT3G47780,AT3G45860
AT3G19210,AT1G70920,AT5G45840
AT1G05490,AT1G55790,AT1G56130
AT1G31710,AT1G75580,AT1G66880
AT3G48970,AT5G10990,AT1G67520
AT4G36880,AT4G21340,AT5G01550
AT1G61950,AT2G45760,AT1G62440
AT4G22592,AT1G64670,AT3G49580
AT5G53290,AT1G13830,AT3G22600
AT1G08450,AT3G05820,AT5G23010
AT3G56000,AT2G44480,AT3G44870
AT1G55850,AT2G44460,AT2G19800
AT1G80370,AT1G22490,AT5G23820
AT3G23470,AT3G21330,AT5G14180
AT2G21130,AT1G05880,AT3G59140
AT4G20240,AT2G32290,AT4G12350
AT5G61320,AT1G15460,AT5G58660
AT3G48520,AT5G06839,AT5G15860
AT2G27690,AT1G04540,AT3G07010
AT1G48510,AT1G23140,AT3G15720
AT2G02680,AT1G70800,AT4G08770
AT5G43030,AT4G00700,AT5G64100
AT1G19550,AT1G21550,AT1G17745
AT1G19570,AT4G31000,AT1G13750
AT4G19130,AT4G21120,AT3G05630
AT4G00200,AT4G28940,AT3G18830
AT1G26330,AT3G01260,AT3G04530
AT1G70000,AT5G01490,AT3G30775
AT4G37750,AT3G46730,AT5G64905
AT1G53140,AT1G58410,AT3G19390
AT1G63650,AT5G66910,AT2G22860
AT3G04320,AT1G67980,AT2G22450
AT1G01380,AT4G37010,AT4G28490
AT2G40610,AT4G31290,AT3G11080
AT1G54217,AT5G26220,AT3G25010
AT1G69480,AT5G05270,AT5G64000
AT3G28550,AT3G13470,AT2G47130
AT3G54580,AT1G02360,AT4G13180
AT5G06640,AT3G47540,AT3G57520
AT1G23720,AT3G54420,AT4G27970
AT3G44120,AT1G64170,AT1G51420
AT1G15670,AT4G23700,AT1G17020
AT1G31350,AT1G72680,AT3G02040
AT4G20820,AT5G57630,AT1G79440
AT5G22500,AT2G19500,AT5G07010
AT2G43800,AT1G63245,AT5G16230
AT1G03870,AT5G60950,AT1G67810
AT3G12145,AT1G67800,AT3G05400
AT5G61290,AT3G43670,AT5G18840
AT2G02000,AT4G12090,AT5G42830
AT3G14510,AT3G23530,AT4G34135
AT3G14530,AT4G04695,AT2G15490
AT4G02290,AT4G36988,AT2G31750
AT5G28640,AT4G23140,AT1G30900
AT5G17040,AT1G51915,AT4G20000
AT5G41080,AT1G30820,AT5G24110
AT5G19110,AT3G13790,AT1G29860
AT2G22930,AT4G18940,AT5G15130
AT2G23060,AT5G07450,AT2G38860
AT2G47180,AT2G30750,AT5G24380
AT1G56600,AT2G30770,AT5G66320
AT2G45480,AT4G13310,
AT3G03190,AT2G24180,
AT1G78340,AT3G26330,
AT4G16780,AT2G30490,
AT1G37150,AT4G39950,
AT1G23000,AT3G28740,
AT5G43530,AT4G37370,
AT1G20720,AT4G31970,
AT1G18370,AT1G64940,
AT3G54590,AT2G34500,
AT2G29500,AT1G55430,
AT1G01370,AT2G23100,
AT5G50720,AT2G27660,
AT1G75700,AT2G44370,
AT2G43600,AT2G44380,
AT3G23570,AT3G11402,
AT3G47010,AT4G01740,
AT5G06570,AT5G40590,
AT3G23050,AT5G43520,
AT5G52000,AT5G54040,
AT3G15050,AT5G48657,
AT5G62310,AT1G31850,
AT2G25980,AT1G75270,
AT5G35940,AT5G20250,
AT1G60130,AT4G11190,
AT3G16470,AT5G24530,
AT1G51760,AT5G19490,
AT2G18470,AT5G63920,
AT2G36350,AT2G45430,
AT3G04050,AT3G11580,
AT4G20450,AT2G33830,
AT5G48940,AT3G01420,
AT1G07550,AT1G28330,
AT1G51840,AT4G34200,
AT1G09170,AT3G62210,
AT4G08150,AT2G40080,
AT5G48820,AT4G14690,
AT2G30210,AT1G08840,
AT5G67420,AT4G22530,
AT1G54890,AT1G76180,
AT5G41120,AT2G43400,
AT1G28640,AT5G09440,
AT5G01870,AT2G18660,
AT1G64400,AT3G45970,
AT3G26500,AT4G17030,
AT1G78815,AT1G68740,
AT4G18610,AT1G26240,
AT3G22570,AT1G26250,
AT1G62500,AT3G22800,
AT5G59320,AT3G19470,
AT1G15150,AT3G55900,
AT1G33090,AT1G26380,
AT1G66760,AT1G26390,
AT5G26260,AT1G26410,
AT5G26290,AT1G26420,
AT2G45040,AT1G30700,
AT1G79330,AT1G30720,
AT1G26360,AT1G30730,
AT4G14140,AT2G46750,
AT4G33120,AT5G44380,
AT1G76790,AT3G12120,
AT2G11810,AT3G44540,
AT4G26260,AT5G07650,
AT5G14545,AT5G07770,
AT2G16005,AT5G63600,
AT3G50470,AT1G12200,
AT5G03860,AT1G19250,
AT4G15760,AT5G17330,
AT1G19850,AT1G75750,
AT3G56100,AT2G46270,
AT3G21250,AT1G18980,
AT5G19520,AT5G38910,
AT1G07610,AT5G40990,
AT3G17240,AT1G53990,
AT2G42660,AT1G18970,
AT4G09460,AT1G09560,
AT1G54000,AT5G48400,
AT2G29990,AT5G48410,
AT5G06510,AT5G11210,
AT5G27910,AT2G29100,
AT5G47470,AT1G05680,
AT2G20490,AT1G11545,
AT2G47970,AT2G14620,
AT2G23050,AT4G18990,
AT2G28200,AT5G38010,
AT3G23370,AT1G03850,
AT5G05640,AT2G05440,
AT5G23730,AT2G05510,
AT1G33320,AT4G37900,
AT4G25140,AT4G39670,
AT2G28790,AT5G05460,
AT1G26235,AT5G53990,
AT4G13505,AT5G06090,
AT2G23096,AT3G59100,
AT3G02610,AT1G17170,
AT5G22140,AT2G29490,
AT1G25460,AT2G29480,
AT1G79870,AT2G29420,
AT2G36660,AT1G02920,
AT4G14330,AT3G09270,
AT5G21150,AT1G74590,
AT2G26020,AT1G69920,
AT1G15210,AT2G33550,
AT2G47550,AT3G07600,
AT4G15340,AT1G67300,
AT5G65690,AT3G44220,
AT4G33905,AT1G65690,
AT1G02530,AT4G36990,
AT4G24340,AT5G59720,
AT2G19690,AT2G36020,
AT5G25090,AT1G47840,
AT1G66480,AT1G30080,
AT3G19050,AT1G68620,
AT5G14580,AT2G30660,
AT3G22200,AT4G16260,
AT3G45700,AT4G19720,
AT1G08650,AT4G19810,
AT2G39620,AT4G38300,
AT5G16860,AT2G24040,
AT2G19670,AT3G23030,
AT3G59220,AT3G62100,
AT4G29350,AT1G18870,
AT2G45135,AT2G04400,
AT5G47050,AT5G54140,
AT5G17820,AT3G05720,
AT5G67400,AT2G16960,
AT1G49780,AT5G02780,
AT1G43160,AT5G06200,
AT5G10520,AT5G24290,
AT5G27680,AT3G09922,
AT5G51060,AT3G23630,
AT4G04220,AT1G01110,
AT3G19090,AT1G80920,
AT3G04230,AT5G38550,
AT1G02340,AT3G20810,
AT5G59510,AT1G14170,
AT5G59090,AT5G15970,
AT5G36180,AT1G05700,
AT1G73290,AT1G34420,
AT3G12230,AT1G51800,
AT1G11080,AT1G51890,
AT5G24330,AT1G61420,
AT2G47140,AT1G61480,
AT4G21830,AT1G67000,
AT1G04240,AT1G68690,
AT1G77000,AT1G74360,
AT2G23030,AT1G79680,
AT5G01820,AT2G28960,
AT1G69230,AT2G29250,
AT4G34710,AT3G07070,
AT5G24140,AT3G09010,
AT3G60140,AT3G45330,
AT1G74010,AT3G59350,
AT5G08620,AT4G11480,
AT3G05155,AT4G18250,
AT5G19600,AT5G06740,
AT3G59550,AT5G37450,
AT5G08330,AT5G38250,
AT3G14490,AT5G40540,
AT3G14540,AT5G41730,
AT3G32030,AT5G48740,
AT3G06590,AT5G59670,
AT5G09210,AT5G60280,
AT3G04220,AT5G61350,
AT1G03780,AT5G61550,
AT2G34260,AT5G65600,
AT2G07630,AT5G49680,
AT5G49080,AT4G39830,
AT3G60170,AT3G09220,
AT4G04420,AT5G07130,
AT5G19097,AT3G45130,
AT5G35935,AT5G63660,
AT4G22590,AT3G23175,
AT1G35910,AT3G48080,
AT2G43535,AT5G03610,
AT2G43550,AT1G45145,
AT1G52410,AT3G05780,
AT4G29690,AT3G05790,
AT4G29700,AT5G12330,
AT4G36410,AT4G26050,
AT5G59590,AT1G01470,
AT4G00690,AT3G49570,
AT2G29890,AT5G40780,
AT5G24780,AT1G20450,
AT5G24770,AT1G73780,
AT1G49910,AT3G58550,
AT5G28646,AT4G12500,
AT1G10540,AT5G05960,
AT2G47560,AT1G66960,
AT4G17920,AT5G44610,
AT4G32890,AT4G08470,
AT1G22275,AT1G12950,
AT2G18220,AT2G04100,
AT2G23530,AT4G22790,
AT2G24070,AT2G25330,
AT2G28780,AT3G20370,
AT2G38160,AT4G09770,
AT2G47010,AT2G18650,
AT3G10525,AT3G46330,
AT3G15240,AT3G12710,
AT3G20340,AT1G33030,
AT3G44510,AT3G61990,
AT3G48020,AT3G48850,
AT3G56420,AT5G23840,
AT3G58770,AT2G17430,
AT3G59340,AT2G39200,
AT3G59930,AT4G14060,
AT4G03610,AT1G70170,
AT4G05070,AT4G36450,
AT4G11300,AT3G13090,
AT4G15920,AT4G25540,
AT4G00695,AT3G20475,
AT4G21740,AT2G39450,
AT4G22212,AT5G63800,
AT4G24130,AT3G06120,
AT4G26660,AT5G54230,
AT4G32870,AT1G74080,
AT4G33980,AT1G54010,
AT4G34420,AT5G61430,
AT4G34630,AT2G22770,
AT4G35720,AT5G04370,
AT5G01360,AT4G27220,
AT5G04910,AT5G38350,
AT5G05440,AT4G05020,
AT5G05965,AT4G23900,
AT5G09840,AT1G72830,
AT5G14730,AT3G25882,
AT5G16170,AT2G28120,
AT5G02480,AT2G39210,
AT5G26270,AT5G40230,
AT5G27330,AT5G64700,
AT5G40690,AT3G03530,
AT5G42330,AT3G50840,
AT5G47570,AT1G77760,
AT5G49410,AT1G44130,
AT5G55520,AT1G30660,
AT5G60840,AT4G03292,
AT5G63820,AT2G04450,
AT5G64400,AT4G25434,
AT5G64780,AT1G72800,
AT5G66580,AT1G07640,
AT1G05950,AT1G76680,
AT1G10710,AT1G76930,
AT1G11170,AT5G52810,
AT1G17030,AT2G31020,
AT1G23110,AT4G11650,
AT1G29195,AT1G46554,
AT1G29270,AT1G65481,
AT1G31720,AT1G69252,
AT1G50530,AT2G40008,
AT1G58225,AT2G45245,
AT1G58280,AT3G12502,
AT1G60110,AT3G48115,
AT1G63820,AT3G52748,
AT1G68440,AT5G16235,
AT1G80180,AT3G13610,
AT1G18265,AT3G29250,
AT1G19560,AT4G02940,
AT3G23955,AT4G10500,
AT3G30120,AT5G20400,
AT4G14610,AT5G38900,
AT4G18501,AT2G39800,
AT1G27565,AT3G26830,
AT3G33528,AT2G37040,
AT5G15265,AT3G15820,
AT3G49115,AT5G50400,
AT1G17744,AT2G31865,
AT1G09195,AT1G78780,
AT2G07808,AT1G70640,
AT2G43932,AT3G46640,
AT1G78865,AT5G54960,
AT1G29025,AT1G77510,
AT2G01422,AT1G04980,
AT2G07709,AT3G53480,
,AT5G23870,
,AT1G02460,
,AT2G45220,
,AT5G62150,
,AT4G08780,
,AT5G06730,
,AT5G19880,
,AT5G19750,
,AT2G47000,
,AT1G02520,
,AT3G23430,
,AT1G17710,
,AT1G73010,
,AT5G01300,
,AT3G09960,
,AT3G54040,
,AT5G43350,
,AT2G38940,
,AT5G43370,
,AT2G43120,
,AT4G37070,
,AT5G41880,
,AT3G16180,
,AT5G45080,
,AT5G45090,
,AT1G12710,
,AT3G61060,
,AT5G52120,
,AT1G16220,
,AT1G34750,
,AT5G27930,
,AT2G46860,
,AT1G63230,
,AT3G12500,
,AT4G21990,
,AT1G61080,
,AT3G07195,
,AT4G19200,
,AT5G12880,
,AT1G17860,
,AT1G73260,
,AT3G51330,
,AT4G16563,
,AT5G10760,
,AT1G30860,
,AT1G74770,
,AT2G21850,
,AT3G28880,
,AT3G44820,
,AT4G01350,
,AT5G14230,
,AT3G49120,
,AT4G37520,
,AT4G16700,
,AT4G18430,
,AT3G05480,
,AT3G05880,
,AT1G20440,
,AT4G13770,
,AT1G12210,
,AT2G34210,
,AT1G47890,
,AT1G71390,
,AT2G32660,
,AT2G32680,
,AT2G33020,
,AT3G25020,
,AT5G25910,
,AT1G52240,
,AT1G61580,
,AT2G40010,
,AT1G21310,
,AT4G15417,
,AT2G29350,
,AT1G32940,
,AT3G12220,
,AT4G33150,
,AT5G48850,
,AT3G26770,
,AT1G14750,
,AT1G72160,
,AT4G04830,
,AT4G21840,
,AT4G30270,
,AT4G17670,
,AT4G35640,
,AT5G43580,
,AT5G54840,
,AT5G24030,
,AT2G37570,
,AT1G20015,
,AT2G26980,
,AT5G45380,
,AT5G20150,
,AT2G45130,
,AT1G70440,
,AT5G07000,
,AT1G78600,
,AT1G51270,
,AT1G32950,
,AT1G22150,
,AT3G12520,
,AT5G20830,
,AT4G02280,
,AT1G20080,
,AT5G04220,
,AT3G19040,
,AT3G16990,
,AT4G20210,
,AT1G31050,
,AT2G43140,
,AT3G16160,
,AT2G47270,
,AT2G16870,
,AT2G17050,
,AT4G11170,
,AT5G61380,
,AT1G60140,
,AT3G50280,
,AT4G31910,
,AT2G03360,
,AT3G57380,
,AT4G11655,
,AT5G45000,
,AT2G29330,
,AT3G54640,
,AT3G27060,
,AT2G32960,
,AT3G61390,
,AT5G09800,
,AT5G67340,
,AT1G69526,
,AT2G44790,
,AT5G66690,
,AT4G34138,
,AT4G34131,
,AT2G15480,
,AT3G53150,
,AT2G43820,
,AT3G21560,
,AT3G05690,
,AT1G55810,
,AT3G53990,
,AT3G15620,
,AT1G62480,
,AT2G34940,
,AT4G20110,
,AT5G11150,
,AT1G76970,
,AT1G68450,
,AT1G21240,
,AT1G16150,
,AT2G34150,
,AT5G13320,
,AT3G18010,
,AT5G50200,
,AT1G62300,
,AT1G68150,
,AT2G24570,
,AT5G41570,
,AT4G22070,
,AT5G22570,
,AT5G64810,
,AT2G40750,
,AT1G18860,
,AT1G66600,
,AT5G13080,
,AT1G04600,
,AT2G33240,
,AT4G30290,
,AT4G14130,
,AT5G57655,
,AT3G55890,
,AT2G35980,
,AT1G58340,
,AT1G10480,
,AT5G13750,
,AT1G02030,
,AT1G08050,
,AT1G22500,
,AT2G42060,
,AT3G10815,
,AT5G27280,
,AT5G43540,
,AT5G48250,
