tissue,region,gene
root,Col-0_only,AT1G01580
root,Col-0_only,AT1G01680
root,Col-0_only,AT1G02450
root,Col-0_only,AT1G02930
root,Col-0_only,AT1G11080
root,Col-0_only,AT1G15540
root,Col-0_only,AT1G19960
root,Col-0_only,AT1G22150
root,Col-0_only,AT1G26250
root,Col-0_only,AT1G30260
root,Col-0_only,AT1G32350
root,Col-0_only,AT1G33100
root,Col-0_only,AT1G48000
root,Col-0_only,AT1G48800
root,Col-0_only,AT1G51420
root,Col-0_only,AT1G51870
root,Col-0_only,AT1G52060
root,Col-0_only,AT1G53990
root,Col-0_only,AT1G62510
root,Col-0_only,AT1G63750
root,Col-0_only,AT1G64480
root,Col-0_only,AT1G65500
root,Col-0_only,AT1G67980
root,Col-0_only,AT1G71140
root,Col-0_only,AT1G72930
root,Col-0_only,AT1G76800
root,Col-0_only,AT1G78460
root,Col-0_only,AT2G02930
root,Col-0_only,AT2G02990
root,Col-0_only,AT2G05380
root,Col-0_only,AT2G13910
root,Col-0_only,AT2G16380
root,Col-0_only,AT2G22980
root,Col-0_only,AT2G23170
root,Col-0_only,AT2G23960
root,Col-0_only,AT2G25440
root,Col-0_only,AT2G25510
root,Col-0_only,AT2G29220
root,Col-0_only,AT2G30540
root,Col-0_only,AT2G30770
root,Col-0_only,AT2G31085
root,Col-0_only,AT2G32487
root,Col-0_only,AT2G32530
root,Col-0_only,AT2G37870
root,Col-0_only,AT2G37900
root,Col-0_only,AT2G38920
root,Col-0_only,AT2G39510
root,Col-0_only,AT2G39980
root,Col-0_only,AT2G43470
root,Col-0_only,AT2G43510
root,Col-0_only,AT2G44340
root,Col-0_only,AT2G45550
root,Col-0_only,AT2G45760
root,Col-0_only,AT2G48090
root,Col-0_only,AT3G05950
root,Col-0_only,AT3G13840
root,Col-0_only,AT3G18250
root,Col-0_only,AT3G21080
root,Col-0_only,AT3G21352
root,Col-0_only,AT3G25730
root,Col-0_only,AT3G25790
root,Col-0_only,AT3G26820
root,Col-0_only,AT3G26830
root,Col-0_only,AT3G28345
root,Col-0_only,AT3G29767
root,Col-0_only,AT3G47040
root,Col-0_only,AT3G47510
root,Col-0_only,AT3G52970
root,Col-0_only,AT3G54150
root,Col-0_only,AT3G59720
root,Col-0_only,AT3G60140
root,Col-0_only,AT4G01430
root,Col-0_only,AT4G01970
root,Col-0_only,AT4G15360
root,Col-0_only,AT4G21680
root,Col-0_only,AT4G23250
root,Col-0_only,AT4G24040
root,Col-0_only,AT4G25010
root,Col-0_only,AT4G34250
root,Col-0_only,AT4G35640
root,Col-0_only,AT4G40065
root,Col-0_only,AT5G02000
root,Col-0_only,AT5G06905
root,Col-0_only,AT5G09730
root,Col-0_only,AT5G17720
root,Col-0_only,AT5G20470
root,Col-0_only,AT5G22570
root,Col-0_only,AT5G27200
root,Col-0_only,AT5G28510
root,Col-0_only,AT5G38900
root,Col-0_only,AT5G39000
root,Col-0_only,AT5G39610
root,Col-0_only,AT5G40990
root,Col-0_only,AT5G41280
root,Col-0_only,AT5G42610
