query_label,genotype,tissue,subset,source,native,name,p_value,term_size,query_size,intersection_size
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0050896,response to stimulus,2.1275578932617926e-25,5736,548,235
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006950,response to stress,8.401374388491742e-21,3548,548,164
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0042221,response to chemical,4.1294546739679495e-19,2872,548,140
Col-0:shoot:all,Col-0,shoot,all,GO:MF,GO:0016491,oxidoreductase activity,1.8576900830963777e-11,1418,548,76
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0051707,response to other organism,3.048982182511361e-11,1318,548,73
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0043207,response to external biotic stimulus,3.048982182511361e-11,1318,548,73
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,5.163474773595344e-11,1332,548,73
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0009607,response to biotic stimulus,8.054791214873239e-11,1344,548,73
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0009605,response to external stimulus,1.2556138993805693e-10,1537,548,79
Col-0:shoot:all,Col-0,shoot,all,GO:MF,GO:0003824,catalytic activity,8.063706300566068e-10,8835,548,264
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0033554,cellular response to stress,4.389602586960912e-09,1071,548,60
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0051716,cellular response to stimulus,4.43356515577932e-09,2796,548,113
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0070887,cellular response to chemical stimulus,4.996024319976743e-09,1621,548,78
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0009636,response to toxic substance,2.0502926923876135e-08,312,548,29
Col-0:shoot:all,Col-0,shoot,all,KEGG,KEGG:01100,Metabolic pathways,1.466499852846457e-07,2306,548,91
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0071456,cellular response to hypoxia,2.0141984704744953e-07,238,548,24
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0071453,cellular response to oxygen levels,2.3924568702498864e-07,240,548,24
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0036294,cellular response to decreased oxygen levels,2.3924568702498864e-07,240,548,24
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006979,response to oxidative stress,3.7366392841988364e-07,422,548,32
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006952,defense response,3.989260962605277e-07,1483,548,69
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0098754,detoxification,5.629612736175003e-07,271,548,25
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:1901700,response to oxygen-containing compound,6.688834629242302e-07,1632,548,73
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006790,sulfur compound metabolic process,6.891322461305213e-07,295,548,26
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0001666,response to hypoxia,1.777382614729722e-06,265,548,24
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0036293,response to decreased oxygen levels,2.394097670980984e-06,269,548,24
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0070482,response to oxygen levels,2.5768276359985854e-06,270,548,24
Col-0:shoot:all,Col-0,shoot,all,GO:MF,GO:0004568,chitinase activity,8.065395141168355e-06,17,548,7
Col-0:shoot:all,Col-0,shoot,all,KEGG,KEGG:00480,Glutathione metabolism,8.407855229798493e-06,101,548,13
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0009628,response to abiotic stimulus,8.441434311291215e-06,2114,548,84
Col-0:shoot:all,Col-0,shoot,all,GO:MF,GO:0004364,glutathione transferase activity,1.2430381390898768e-05,60,548,11
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006749,glutathione metabolic process,1.4572927234918833e-05,44,548,10
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006082,organic acid metabolic process,1.943252809642515e-05,1015,548,50
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0043436,oxoacid metabolic process,1.943252809642515e-05,1015,548,50
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006032,chitin catabolic process,2.0220286410253058e-05,17,548,7
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0046348,amino sugar catabolic process,2.0220286410253058e-05,17,548,7
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:1901072,glucosamine-containing compound catabolic process,2.0220286410253058e-05,17,548,7
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006030,chitin metabolic process,2.0220286410253058e-05,17,548,7
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006026,aminoglycan catabolic process,2.0220286410253058e-05,17,548,7
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0006022,aminoglycan metabolic process,2.0220286410253058e-05,17,548,7
Col-0:shoot:all,Col-0,shoot,all,KEGG,KEGG:01110,Biosynthesis of secondary metabolites,2.6740376212882917e-05,1327,548,56
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0009404,toxin metabolic process,3.1163491374365926e-05,60,548,11
Col-0:shoot:all,Col-0,shoot,all,WP,WP:WP4597,Glucosinolate biosynthesis from methionine,4.801008505692973e-05,15,548,5
Col-0:shoot:all,Col-0,shoot,all,GO:MF,GO:0046527,glucosyltransferase activity,0.00014243473857620566,187,548,17
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0009751,response to salicylic acid,0.0003066015247076318,185,548,17
Col-0:shoot:all,Col-0,shoot,all,GO:MF,GO:0016798,"hydrolase activity, acting on glycosyl bonds",0.00034376064409212173,421,548,26
Col-0:shoot:all,Col-0,shoot,all,WP,WP:WP2579,Cadmium and glutathione,0.00037262593181367274,22,548,5
Col-0:shoot:all,Col-0,shoot,all,GO:BP,GO:0009737,response to abscisic acid,0.0004187747265633325,598,548,33
Col-0:shoot:all,Col-0,shoot,all,KEGG,KEGG:00966,Glucosinolate biosynthesis,0.0005472033650896213,26,548,6
