genotype,tissue,gene,symbol,lasso_coef,selection_freq,in_deseq2_DEG
cax2-2,root,AT2G24000,,0.016,1.0,False
cax2-2,root,AT2G21060,GRP2B,0.0146,1.0,False
cax2-2,root,AT5G10278,,-0.0146,1.0,False
cax2-2,root,AT1G53640,,0.0142,1.0,False
cax2-2,root,AT3G45230,,-0.0137,1.0,False
cax2-2,root,AT2G39950,,-0.0135,1.0,False
cax2-2,root,AT2G17870,cold-shock DNA-binding,0.013,1.0,False
cax2-2,root,AT3G05220,,0.013,1.0,False
cax2-2,root,AT5G14780,,0.0121,1.0,False
cax2-2,root,AT1G49570,,0.0118,1.0,True
cax2-2,root,AT5G48175,,0.0117,1.0,False
cax2-2,root,AT1G74230,,0.0117,1.0,False
cax2-2,root,AT3G47510,,0.0117,1.0,False
cax2-2,root,AT2G48075,,0.0116,1.0,False
cax2-2,root,AT5G45000,transmembrane receptor,0.0116,1.0,False
cax2-2,root,AT3G17110,,0.0115,1.0,False
cax2-2,root,AT4G30460,,0.0115,1.0,False
cax2-2,root,AT4G27750,,-0.0113,1.0,False
cax2-2,root,AT4G13390,,0.0112,1.0,False
cax2-2,root,AT2G36120,,0.0112,1.0,False
cax2-2,root,AT1G47760,,-0.0108,1.0,False
cax2-2,root,AT1G23200,,-0.0106,1.0,False
cax2-2,root,AT2G04360,,0.0106,1.0,False
cax2-2,root,AT3G59450,,0.0102,1.0,False
cax2-2,root,AT4G08620,,0.0102,1.0,True
cax2-2,root,AT2G17340,,-0.01,1.0,False
cax2-2,root,AT1G14210,,0.01,1.0,False
cax2-2,root,AT3G21510,,0.0099,1.0,False
cax2-2,root,AT2G15440,,0.0099,1.0,False
cax2-2,root,AT1G51730,,-0.0099,1.0,False
cax2-2,root,AT4G17730,,-0.0098,1.0,False
cax2-2,root,AT2G29900,,-0.0098,1.0,False
cax2-2,root,AT1G75160,,0.0097,1.0,False
cax2-2,root,AT2G24130,,0.0097,1.0,False
cax2-2,root,AT1G23350,,-0.0095,1.0,False
cax2-2,root,AT5G62130,,-0.0095,1.0,False
cax2-2,root,AT5G19890,peroxidase,0.0093,1.0,True
cax2-2,root,AT5G05250,,0.0092,1.0,False
cax2-2,root,AT2G30830,,-0.0092,1.0,False
cax2-2,root,AT5G37478,,-0.0092,1.0,False
cax2-2,root,AT1G14380,,-0.009,1.0,False
cax2-2,root,AT3G49390,,0.009,1.0,False
cax2-2,root,AT3G23450,,0.009,1.0,False
cax2-2,root,AT2G27930,,0.0089,1.0,False
cax2-2,root,AT5G58575,,-0.0087,1.0,False
cax2-2,root,AT2G20050,,-0.0087,1.0,False
cax2-2,root,AT3G07274,,-0.0087,1.0,False
cax2-2,root,AT3G11402,DC1,0.0086,1.0,False
cax2-2,root,AT1G54970,,0.0085,1.0,True
cax2-2,root,AT1G03150,,-0.0083,1.0,False
cax2-2,root,AT4G07960,CSLC12,0.0082,1.0,False
cax2-2,root,AT3G05950,germin-like,0.0081,1.0,False
cax2-2,root,AT5G47860,,0.0081,1.0,False
cax2-2,root,AT1G78950,,-0.0081,1.0,False
cax2-2,root,AT2G20480,,-0.0079,1.0,False
cax2-2,root,AT5G50090,,-0.0079,1.0,False
cax2-2,root,AT3G54540,,-0.0078,1.0,False
cax2-2,root,AT2G18620,,-0.0077,1.0,False
cax2-2,root,AT1G60750,oxidoreductase,0.0076,1.0,False
cax2-2,root,AT5G07870,,0.0076,1.0,False
cax2-2,root,AT4G08400,,0.0075,1.0,False
cax2-2,root,AT2G41690,,-0.0075,1.0,False
cax2-2,root,AT5G55770,DC1,0.0074,1.0,False
cax2-2,root,AT3G06778,,-0.0073,1.0,False
cax2-2,root,AT5G16490,,0.0073,1.0,False
cax2-2,root,AT2G41140,,0.0072,1.0,False
cax2-2,root,AT5G46730,glycine-rich,0.0071,1.0,True
cax2-2,root,AT3G06400,,-0.0071,1.0,False
cax2-2,root,AT3G45850,,-0.0071,1.0,False
cax2-2,root,AT1G19960,,0.007,1.0,False
cax2-2,root,AT3G07260,,-0.007,1.0,False
cax2-2,root,AT4G24080,,-0.007,1.0,False
cax2-2,root,AT1G02430,,0.0069,1.0,False
cax2-2,root,AT1G28670,,0.0069,1.0,False
cax2-2,root,AT1G21326,,0.0068,1.0,False
cax2-2,root,AT2G22860,PSK2,0.0067,1.0,False
cax2-2,root,AT3G47770,,0.0067,1.0,False
cax2-2,root,AT4G25780,,-0.0066,0.875,False
cax2-2,root,AT1G78530,,-0.0066,1.0,False
