genotype,tissue,gene,symbol,lasso_coef,selection_freq,in_deseq2_DEG
cax2-2,root,AT3G48030,,-0.0066,1.0,False
cax2-2,root,AT2G39800,P5CS1,-0.0065,0.875,False
cax2-2,root,AT2G24980,,0.0065,1.0,False
cax2-2,root,AT1G11592,,-0.0065,1.0,False
cax2-2,root,AT5G55360,,-0.0065,1.0,False
cax2-2,root,AT4G24400,,0.0065,1.0,False
cax2-2,root,AT4G35180,LHT7,0.0064,1.0,False
cax2-2,root,AT5G52800,,-0.0064,1.0,False
cax2-2,root,AT5G06630,extensin,0.0064,1.0,False
cax2-2,root,AT1G32360,,0.0063,0.875,False
cax2-2,root,AT3G10986,,0.0063,0.875,False
cax2-2,root,AT5G49080,transposable element gene,0.0063,0.875,False
cax2-2,root,AT2G22490,,-0.0062,0.75,False
cax2-2,root,AT4G37050,,-0.0062,0.875,False
cax2-2,root,AT3G05770,,0.0061,0.875,False
cax2-2,root,AT2G01580,,-0.0061,0.75,False
cax2-2,root,AT5G39760,HB23,0.006,0.875,False
cax2-2,root,AT4G08230,glycine-rich,0.006,1.0,False
cax2-2,root,AT2G25880,,-0.0059,0.875,False
cax2-2,root,AT1G14520,MIOX1,-0.0059,0.875,False
cax2-2,root,AT1G52060,,0.0059,0.875,False
cax2-2,root,AT3G19690,,-0.0058,1.0,False
cax2-2,root,AT1G11380,,0.0058,0.875,False
cax2-2,root,AT2G03980,,0.0058,0.875,False
cax2-2,root,AT5G59750,,0.0057,0.75,False
cax2-2,root,AT2G47240,,0.0054,0.875,False
cax2-2,root,AT5G20190,,0.0054,0.75,False
cax2-2,root,AT4G01970,STS,0.005,1.0,False
cax2-2,root,AT2G24580,,0.0047,0.75,False
cax2-2,root,AT1G27160,,0.0046,0.75,False
cax2-2,root,AT4G33770,,0.0046,0.75,False
cax2-2,root,AT3G01210,,0.0043,1.0,False
