genotype,tissue,ligand,receptor,ligand_log2FC,receptor_log2FC,ligand_padj,receptor_padj,ligand_DE,receptor_DE,any_DE,both_DE
Col-0,root,CLV3,CLV1,0.633,0.325,,0.8792515368713755,False,False,False,False
Col-0,root,CLV3,BAM1,0.633,0.052,,0.9996540292439484,False,False,False,False
Col-0,root,CLV3,BAM2,0.633,-0.049,,0.9996540292439484,False,False,False,False
Col-0,root,CLV3,BAM3,0.633,-0.169,,0.9996540292439484,False,False,False,False
Col-0,root,CLE40,ACR4,-0.057,-0.086,0.9996540292439484,0.8904366282976488,False,False,False,False
Col-0,root,CLE40,CLV1,-0.057,0.325,0.9996540292439484,0.8792515368713755,False,False,False,False
Col-0,root,CLE41,PXY,0.049,0.056,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,root,CLE44,PXY,0.007,0.056,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,root,IDA,HAE,0.38,0.357,0.9996540292439484,0.6056492459194075,False,False,False,False
Col-0,root,IDA,HSL2,0.38,-0.059,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,root,EPF1,ER,-0.07,-0.246,,0.959311637263193,False,False,False,False
Col-0,root,EPF1,ERL1,-0.07,-0.379,,0.9996540292439484,False,False,False,False
Col-0,root,EPF1,ERL2,-0.07,0.215,,0.9996540292439484,False,False,False,False
Col-0,root,EPF1,TMM,-0.07,-0.273,,0.9996540292439484,False,False,False,False
Col-0,root,EPF2,ER,,-0.246,,0.959311637263193,False,False,False,False
Col-0,root,EPF2,TMM,,-0.273,,0.9996540292439484,False,False,False,False
Col-0,root,EPFL9,ER,1.628,-0.246,,0.959311637263193,False,False,False,False
Col-0,root,EPFL9,TMM,1.628,-0.273,,0.9996540292439484,False,False,False,False
Col-0,root,RGF1,RGI1,0.078,-0.084,0.9996540292439484,0.8589163900724257,False,False,False,False
Col-0,root,RGF1,RGI2,0.078,-0.082,0.9996540292439484,0.7526508500915453,False,False,False,False
Col-0,root,RGF1,RGI3,0.078,-0.053,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,root,RGF2,RGI1,0.147,-0.084,0.9996540292439484,0.8589163900724257,False,False,False,False
Col-0,root,RGF3,RGI1,-0.231,-0.084,0.9996540292439484,0.8589163900724257,False,False,False,False
Col-0,root,RALF1,FER,-0.089,-0.103,0.9996540292439484,0.9533991430458456,False,False,False,False
Col-0,root,RALF23,FER,-0.307,-0.103,0.499233408859609,0.9533991430458456,False,False,False,False
Col-0,root,PSK1,PSKR1,-0.053,0.043,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,root,PSK1,PSKR2,-0.053,0.134,0.9996540292439484,0.8745651410329702,False,False,False,False
Col-0,root,PROPEP1,PEPR1,-0.135,-0.103,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,root,PROPEP1,PEPR2,-0.135,-0.045,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,root,PROPEP3,PEPR1,-0.198,-0.103,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,root,CIF1,GSO1,0.549,-0.261,0.2171304666639908,0.0675165336214544,False,False,False,False
Col-0,root,CIF1,GSO2,0.549,-0.229,0.2171304666639908,0.7058525238370432,False,False,False,False
Col-0,root,CIF2,GSO1,0.244,-0.261,0.259597927643059,0.0675165336214544,False,False,False,False
Col-0,root,CIF2,GSO2,0.244,-0.229,0.259597927643059,0.7058525238370432,False,False,False,False
Col-0,root,PIP1,RLK7,-0.071,0.034,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,root,PIP2,RLK7,1.354,0.034,0.8218526389347764,0.9996540292439484,False,False,False,False
Col-0,root,PSY1,PSY1R,-0.009,-0.034,0.9996540292439484,0.9996540292439484,False,False,False,False
Col-0,shoot,CLV3,CLV1,0.559,-0.187,,0.5865662688046354,False,False,False,False
Col-0,shoot,CLV3,BAM1,0.559,-0.121,,0.9998862241778604,False,False,False,False
Col-0,shoot,CLV3,BAM2,0.559,0.025,,0.9998862241778604,False,False,False,False
Col-0,shoot,CLV3,BAM3,0.559,-0.225,,0.9998862241778604,False,False,False,False
Col-0,shoot,CLE40,ACR4,-0.052,-0.017,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,CLE40,CLV1,-0.052,-0.187,0.9998862241778604,0.5865662688046354,False,False,False,False
Col-0,shoot,CLE41,PXY,0.136,0.188,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,CLE44,PXY,0.219,0.188,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,IDA,HAE,2.092,0.562,0.4465562029441281,0.0030539312754157,False,False,False,False
Col-0,shoot,IDA,HSL2,2.092,-0.068,0.4465562029441281,0.9998862241778604,False,False,False,False
Col-0,shoot,EPF1,ER,0.106,0.081,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,EPF1,ERL1,0.106,0.015,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,EPF1,ERL2,0.106,0.268,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,EPF1,TMM,0.106,0.128,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,EPF2,ER,0.528,0.081,0.967011869042489,0.9998862241778604,False,False,False,False
Col-0,shoot,EPF2,TMM,0.528,0.128,0.967011869042489,0.9998862241778604,False,False,False,False
Col-0,shoot,EPFL9,ER,0.297,0.081,0.982756962991442,0.9998862241778604,False,False,False,False
Col-0,shoot,EPFL9,TMM,0.297,0.128,0.982756962991442,0.9998862241778604,False,False,False,False
Col-0,shoot,RGF1,RGI1,-0.884,0.467,,0.9998862241778604,False,False,False,False
Col-0,shoot,RGF1,RGI2,-0.884,0.373,,0.9998862241778604,False,False,False,False
Col-0,shoot,RGF1,RGI3,-0.884,-0.06,,0.9998862241778604,False,False,False,False
Col-0,shoot,RGF2,RGI1,-0.381,0.467,,0.9998862241778604,False,False,False,False
Col-0,shoot,RGF3,RGI1,0.559,0.467,,0.9998862241778604,False,False,False,False
Col-0,shoot,RALF1,FER,0.255,-0.198,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,RALF23,FER,-0.271,-0.198,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,PSK1,PSKR1,-0.555,-0.083,,0.9998862241778604,False,False,False,False
Col-0,shoot,PSK1,PSKR2,-0.555,-0.082,,0.9998862241778604,False,False,False,False
Col-0,shoot,PROPEP1,PEPR1,0.449,-0.068,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,PROPEP1,PEPR2,0.449,0.27,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,PROPEP3,PEPR1,3.492,-0.068,0.0746010939054348,0.9998862241778604,False,False,False,False
Col-0,shoot,CIF1,GSO1,-0.123,0.177,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,CIF1,GSO2,-0.123,0.693,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,CIF2,GSO1,-0.118,0.177,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,CIF2,GSO2,-0.118,0.693,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,PIP1,RLK7,-0.056,-0.165,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,PIP2,RLK7,0.822,-0.165,0.9998862241778604,0.9998862241778604,False,False,False,False
Col-0,shoot,PSY1,PSY1R,-0.051,0.065,0.9998862241778604,0.9998862241778604,False,False,False,False
cax2-2,root,CLV3,CLV1,,0.269,,0.9999236527841584,False,False,False,False
cax2-2,root,CLV3,BAM1,,0.06,,0.9999236527841584,False,False,False,False
cax2-2,root,CLV3,BAM2,,-0.012,,0.9999236527841584,False,False,False,False
cax2-2,root,CLV3,BAM3,,0.533,,0.9999236527841584,False,False,False,False
cax2-2,root,CLE40,ACR4,-1.087,-0.01,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,CLE40,CLV1,-1.087,0.269,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,CLE41,PXY,-0.014,-0.059,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,CLE44,PXY,-0.031,-0.059,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,IDA,HAE,-0.011,0.093,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,IDA,HSL2,-0.011,-0.083,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,EPF1,ER,-0.673,0.284,,0.9999236527841584,False,False,False,False
cax2-2,root,EPF1,ERL1,-0.673,0.763,,0.9999236527841584,False,False,False,False
cax2-2,root,EPF1,ERL2,-0.673,0.629,,0.9999236527841584,False,False,False,False
cax2-2,root,EPF1,TMM,-0.673,0.724,,0.9999236527841584,False,False,False,False
cax2-2,root,EPF2,ER,0.89,0.284,,0.9999236527841584,False,False,False,False
cax2-2,root,EPF2,TMM,0.89,0.724,,0.9999236527841584,False,False,False,False
cax2-2,root,EPFL9,ER,2.014,0.284,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,EPFL9,TMM,2.014,0.724,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,RGF1,RGI1,-0.004,-0.032,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,RGF1,RGI2,-0.004,-0.042,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,RGF1,RGI3,-0.004,0.018,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,RGF2,RGI1,-0.004,-0.032,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,RGF3,RGI1,-0.006,-0.032,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,RALF1,FER,-0.045,0.039,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,RALF23,FER,-0.076,0.039,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,PSK1,PSKR1,0.083,0.006,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,PSK1,PSKR2,0.083,-0.092,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,PROPEP1,PEPR1,0.051,-0.01,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,PROPEP1,PEPR2,0.051,0.028,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,PROPEP3,PEPR1,0.298,-0.01,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,CIF1,GSO1,0.06,-0.039,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,CIF1,GSO2,0.06,-0.024,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,CIF2,GSO1,0.087,-0.039,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,CIF2,GSO2,0.087,-0.024,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,PIP1,RLK7,-0.001,0.039,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,root,PIP2,RLK7,2.076,0.039,,0.9999236527841584,False,False,False,False
cax2-2,root,PSY1,PSY1R,0.107,0.055,0.9999236527841584,0.9999236527841584,False,False,False,False
cax2-2,shoot,CLV3,CLV1,-1.512,-0.006,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CLV3,BAM1,-1.512,-0.067,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CLV3,BAM2,-1.512,0.021,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CLV3,BAM3,-1.512,-0.109,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CLE40,ACR4,0.222,-0.048,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CLE40,CLV1,0.222,-0.006,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CLE41,PXY,0.132,0.221,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CLE44,PXY,-0.211,0.221,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,IDA,HAE,-1.04,0.029,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,IDA,HSL2,-1.04,-0.019,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,EPF1,ER,-0.149,0.106,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,EPF1,ERL1,-0.149,0.259,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,EPF1,ERL2,-0.149,0.225,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,EPF1,TMM,-0.149,0.069,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,EPF2,ER,0.602,0.106,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,EPF2,TMM,0.602,0.069,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,EPFL9,ER,0.207,0.106,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,EPFL9,TMM,0.207,0.069,0.9998406360096416,0.9998406360096416,False,False,False,False
