sample_id,genotype,condition,location,length,vector_length,surface,volume,diameter
CAX22ROOTFL_1,cax2-2,FL,A7,1.3225837571428571,1.2970023285714285,0.21095833285714288,0.002953963857142857,0.052513757142857144
CAX22ROOTGC_1,cax2-2,GC,A7,1.1274788411111112,1.0890662322222222,0.17738374,0.0024634519999999997,0.051490796444444445
CAX22ROOTFL_2,cax2-2,FL,B8,1.139396363,0.97663318,0.202254212,0.0031524785,0.0565290774
CAX22ROOTGC_2,cax2-2,GC,B8,1.6264055800000001,1.57371312,0.240823185,0.0029782219,0.0475575162
CAX22ROOTFL_3,cax2-2,FL,B4,0.8990657719999999,0.798129514,0.1455586077,0.0022308519999999997,0.0526179066
CAX22ROOTGC_3,cax2-2,GC,B4,1.5961707571428572,1.5535411285714285,0.24667402,0.0033800135714285714,0.050199276714285715
CAX22ROOTFL_4,cax2-2,FL,A3,0.6899579575,0.617361665,0.136765065125,0.002426586375,0.0723206225
CAX22ROOTGC_4,cax2-2,GC,A3,1.5683798333333332,1.5021879166666665,0.25198478166666666,0.0033955258333333333,0.0533674985
CAX23ROOTFL_4,cax2-3,FL,B7,0.8810271222222222,0.7589225577777777,0.12798738222222222,0.001723500888888889,0.04980416
CAX23ROOTGC_2,cax2-3,GC,A8,1.58420571,1.5381436000000002,0.235623119,0.0029120382,0.048268263500000005
CAX23ROOTFL_2,cax2-3,FL,A8,1.0066296733333333,0.8977054144444444,0.18365114777777777,0.0029503562222222223,0.058552173444444446
CAX23ROOTGC_1,cax2-3,GC,A4,1.5736251,1.5221184409090909,0.27140111,0.004116205909090909,0.05566798681818182
CAX23ROOTFL_3,cax2-3,FL,B3,1.06877782,0.90732058,0.19197294199999998,0.0029390251,0.060223439700000006
CAX23ROOTGC_3,cax2-3,GC,B3,1.5036155916666667,1.4769638583333335,0.2547252066666667,0.003729371416666667,0.05638166691666666
CAX23ROOTFL_1,cax2-3,FL,A4,0.8776506954545454,0.8193271145454546,0.14138094181818184,0.002143092,0.05787138618181819
CAX23ROOTGC_4,cax2-3,GC,B7,1.4103229045454546,1.3724826581818181,0.22407459000000002,0.0030391576363636365,0.052450715818181816
RBOHDROOTFL_1,rbohD,FL,C4,1.0464917554545454,0.8908030318181819,0.16734879336363637,0.002317874909090909,0.050483291
RBOHDROOTGC_1,rbohD,GC,C4,1.4259605818181817,1.3891733,0.24809869727272726,0.0038220111818181818,0.05814579627272727
RBOHDROOTFL_2,rbohD,FL,C8,1.395396966,1.23567354,0.19325902099999998,0.0022586902,0.044226574899999996
RBOHDROOTGC_2,rbohD,GC,C8,1.52942991,1.48127766,0.224997239,0.0028493959,0.0487608242
RBOHDROOTFL_3,rbohD,FL,B2,0.9571902945454546,0.8078699999999999,0.15000628627272727,0.00214079,0.05224750727272727
RBOHDROOTGC_3,rbohD,GC,B2,1.4448208545454546,1.3953157454545453,0.2508706845454545,0.0037210658181818183,0.056581459818181815
RBOHDROOTFL_4,rbohD,FL,B5,1.092901114,0.9790288520000001,0.169620504,0.0022182447,0.050790988300000006
RBOHDROOTGC_4,rbohD,GC,B5,1.8072056454545453,1.7584893454545456,0.2996177009090909,0.004171740363636363,0.053483266999999994
COL00ROOTFL_1,Col-0,FL,A1,1.2085548855555557,1.02290158,0.2405833128888889,0.004446231777777778,0.06287752688888888
COL00ROOTGC_1,Col-0,GC,A1,1.55335876,1.512127435,0.23962985199999998,0.0030982080000000003,0.050586498599999995
COL00ROOTFL_2,Col-0,FL,B9,1.4333322819999998,1.250011365,0.194765142,0.0023081858,0.0444691481
COL00ROOTGC_2,Col-0,GC,B9,1.7855237909090909,1.7375655,0.2676712954545455,0.003312412545454546,0.04854098863636364
COL00ROOTFL_3,Col-0,FL,C3,0.5679689936363637,0.49091640000000003,0.08886671463636363,0.001298598909090909,0.046753645272727275
COL00ROOTGC_3,Col-0,GC,C3,1.4588115833333335,1.3779314088888888,0.21568145222222224,0.0026917364444444445,0.05111944633333333
COL00ROOTFL_3.1,Col-0,FL,B6,1.335452807,1.185779334,0.21174162000000002,0.0028742841,0.05387803609999999
COL00ROOTGC_3.1,Col-0,GC,B6,1.8780615727272727,1.809924881818182,0.30401220636363635,0.004180143636363636,0.05232602763636363
