genotype,tissue,gene,symbol,lasso_coef,selection_freq,in_deseq2_DEG
rbohD,root,AT4G36220,FAH1,-0.0029,1.0,False
rbohD,root,AT3G51420,SSL4,-0.0028,0.875,True
rbohD,root,AT4G21380,ARK3,0.0028,1.0,True
rbohD,root,AT1G77450,anac032,0.0028,0.875,False
rbohD,root,AT1G70080,terpene synthase/cyclase,-0.0028,1.0,True
rbohD,root,AT4G11170,TIR-NBS-LRR,0.0028,1.0,True
rbohD,root,AT1G73480,,0.0027,1.0,False
rbohD,root,AT5G22300,NIT4,0.0027,0.875,True
rbohD,root,AT2G43550,trypsin inhibitor,-0.0027,1.0,False
rbohD,root,AT5G40590,DC1,0.0026,0.875,True
rbohD,root,AT2G37770,aldo/keto reductase,0.0026,1.0,True
rbohD,root,AT3G49580,LSU1,0.0025,0.875,True
rbohD,root,AT3G56220,TF,-0.0025,1.0,False
rbohD,root,AT3G60330,,0.0025,0.75,False
rbohD,root,AT4G03320,,0.0025,0.75,False
rbohD,root,AT5G45120,protease,-0.0025,1.0,True
rbohD,root,AT5G65000,,0.0025,0.875,False
rbohD,root,AT2G21540,SFH3,-0.0025,0.875,False
rbohD,root,AT4G28410,aminotransferase,-0.0024,1.0,False
rbohD,root,AT5G03545,,0.0024,1.0,False
rbohD,root,AT5G44130,FLA13,-0.0024,0.875,False
rbohD,root,AT4G22610,LTP,-0.0024,0.75,True
rbohD,root,AT1G72680,cinnamyl-alcohol dehydrogenase,0.0024,0.875,False
rbohD,root,AT1G17180,GSTU25,0.0023,0.875,True
rbohD,root,AT1G65481,other RNA,0.0023,0.75,True
rbohD,root,AT5G40780,LTH1,0.0022,0.75,False
rbohD,root,AT1G45616,RLP6,-0.0022,0.75,True
rbohD,root,AT4G16990,RLM3,-0.0022,0.875,True
rbohD,root,AT5G13820,,0.0022,0.875,False
rbohD,root,AT2G43570,chitinase,0.0022,0.875,True
rbohD,root,AT3G53840,kinase,-0.0022,0.75,True
rbohD,root,AT3G12580,HSP70,0.0022,0.875,False
rbohD,root,AT4G18120,,-0.0022,0.75,False
rbohD,root,AT1G06870,,0.0021,0.75,False
rbohD,root,AT1G61740,,-0.0021,0.75,False
rbohD,root,AT1G66430,,-0.0021,0.875,False
rbohD,root,AT4G18360,glycolate oxidase,0.0021,0.75,False
rbohD,root,AT2G33790,AGP30,-0.002,0.75,False
rbohD,root,AT3G58750,,0.0019,0.75,False
rbohD,root,AT3G53150,UGT73D1,0.0019,0.75,True
