genotype,tissue,pathway,name,gene,log2FC
Col-0,root,ath00040,Pentose and glucuronate interconversions,AT1G05650,3.259
Col-0,root,ath00040,Pentose and glucuronate interconversions,AT2G43890,3.338
Col-0,root,ath00040,Pentose and glucuronate interconversions,AT5G51500,1.031
Col-0,root,ath00052,Galactose metabolism,AT1G56600,1.413
Col-0,root,ath00052,Galactose metabolism,AT1G60470,1.186
Col-0,root,ath00052,Galactose metabolism,AT4G01970,1.205
Col-0,root,ath00061,Fatty acid biosynthesis,AT3G02620,-1.353
Col-0,root,ath00062,Fatty acid elongation,AT4G34250,1.215
Col-0,root,ath00073,"Cutin, suberine and wax biosynthesis",AT3G26820,2.208
Col-0,root,ath00100,Steroid biosynthesis,AT2G28860,-3.375
Col-0,root,ath00130,Ubiquinone and other terpenoid-quinone biosynthesis,AT4G28420,5.15
Col-0,root,ath00250,"Alanine, aspartate and glutamate metabolism",AT3G08860,1.409
Col-0,root,ath00260,"Glycine, serine and threonine metabolism",AT3G08860,1.409
Col-0,root,ath00270,Cysteine and methionine metabolism,AT2G26400,3.513
Col-0,root,ath00270,Cysteine and methionine metabolism,AT3G08860,1.409
Col-0,root,ath00270,Cysteine and methionine metabolism,AT4G28420,5.15
Col-0,root,ath00270,Cysteine and methionine metabolism,AT4G35640,1.325
Col-0,root,ath00280,"Valine, leucine and isoleucine degradation",AT2G30660,6.985
Col-0,root,ath00280,"Valine, leucine and isoleucine degradation",AT3G08860,1.409
Col-0,root,ath00350,Tyrosine metabolism,AT4G28420,5.15
Col-0,root,ath00360,Phenylalanine metabolism,AT4G28420,5.15
Col-0,root,ath00380,Tryptophan metabolism,AT2G30750,4.543
Col-0,root,ath00380,Tryptophan metabolism,AT2G30770,6.102
Col-0,root,ath00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",AT4G28420,5.15
Col-0,root,ath00410,beta-Alanine metabolism,AT2G30660,6.985
Col-0,root,ath00430,Taurine and hypotaurine metabolism,AT1G19250,1.296
Col-0,root,ath00460,Cyanoamino acid metabolism,AT1G02850,1.666
Col-0,root,ath00460,Cyanoamino acid metabolism,AT2G44460,6.82
Col-0,root,ath00460,Cyanoamino acid metabolism,AT3G47040,-1.244
Col-0,root,ath00460,Cyanoamino acid metabolism,AT3G60120,4.762
Col-0,root,ath00460,Cyanoamino acid metabolism,AT3G60140,5.273
Col-0,root,ath00460,Cyanoamino acid metabolism,AT5G22300,4.503
Col-0,root,ath00460,Cyanoamino acid metabolism,AT5G28510,1.68
Col-0,root,ath00480,Glutathione metabolism,AT1G02930,1.091
Col-0,root,ath00480,Glutathione metabolism,AT1G17180,1.333
Col-0,root,ath00480,Glutathione metabolism,AT1G69920,3.92
Col-0,root,ath00480,Glutathione metabolism,AT1G69930,5.376
Col-0,root,ath00480,Glutathione metabolism,AT1G78340,1.074
Col-0,root,ath00480,Glutathione metabolism,AT2G02930,2.477
