genotype,trait,n_FL,n_GC,mean_FL,mean_GC,pct_change,cohens_d,mannwhitney_p
Col-0,length,54,60,1.1331,1.7266,-34.4,-1.197,6.307002369046924e-09
Col-0,vector_length,54,60,0.9697,1.6648,-41.7,-1.485,1.862511119661435e-11
Col-0,surface,54,60,0.1864,0.2665,-30.0,-0.921,3.3081317511407153e-06
Col-0,volume,54,60,0.0028,0.0035,-19.5,-0.414,0.0027063579534589155
Col-0,diameter,54,60,0.0537,0.0507,5.9,0.28,0.929905944865594
cax2-2,length,55,46,1.0345,1.4336,-27.8,-0.868,0.00013410126932090273
cax2-2,vector_length,55,46,0.908,1.3903,-34.7,-1.096,1.2018391199466548e-06
cax2-2,surface,55,46,0.1694,0.2189,-22.6,-0.617,0.002818690803091599
cax2-2,volume,55,46,0.0025,0.0029,-14.1,-0.293,0.04145326449531292
cax2-2,diameter,55,46,0.0545,0.0495,10.0,0.45,0.08571256942534157
rbohD,length,63,64,1.1774,1.5739,-25.2,-1.141,1.1511115585427994e-08
rbohD,vector_length,63,64,1.0127,1.5256,-33.6,-1.463,7.159034608944222e-12
rbohD,surface,63,64,0.175,0.2581,-32.2,-1.281,2.966415871400994e-09
rbohD,volume,63,64,0.0022,0.0036,-38.2,-1.157,8.662499656828379e-09
rbohD,diameter,63,64,0.048,0.0536,-10.3,-0.685,8.412841878555085e-05
