query_label,genotype,tissue,subset,source,native,name,p_value,term_size,query_size,intersection_size
rbohD:root:all,rbohD,root,all,GO:BP,GO:0042221,response to chemical,1.5325171089246843e-24,2891,611,162
rbohD:root:all,rbohD,root,all,GO:BP,GO:0050896,response to stimulus,1.2712695694377958e-20,5781,611,242
rbohD:root:all,rbohD,root,all,GO:MF,GO:0016491,oxidoreductase activity,1.0185734493382028e-15,1421,611,90
rbohD:root:all,rbohD,root,all,GO:BP,GO:0009636,response to toxic substance,7.452589555484553e-14,314,611,38
rbohD:root:all,rbohD,root,all,GO:MF,GO:0004364,glutathione transferase activity,6.284382968680119e-12,60,611,17
rbohD:root:all,rbohD,root,all,GO:BP,GO:0006950,response to stress,2.378160238940683e-11,3579,611,152
rbohD:root:all,rbohD,root,all,GO:BP,GO:0055085,transmembrane transport,5.8060756054374706e-11,1206,611,73
rbohD:root:all,rbohD,root,all,GO:MF,GO:0003824,catalytic activity,6.925445303045513e-11,8921,611,293
rbohD:root:all,rbohD,root,all,GO:MF,GO:0022857,transmembrane transporter activity,7.20793464017837e-11,1129,611,69
rbohD:root:all,rbohD,root,all,GO:BP,GO:0006790,sulfur compound metabolic process,1.0618861547815449e-10,298,611,33
rbohD:root:all,rbohD,root,all,GO:MF,GO:0005215,transporter activity,2.0962823144373594e-10,1155,611,69
rbohD:root:all,rbohD,root,all,GO:BP,GO:0009404,toxin metabolic process,2.8062117667536817e-10,60,611,16
rbohD:root:all,rbohD,root,all,GO:MF,GO:0004497,monooxygenase activity,4.5638226349257246e-10,325,611,33
rbohD:root:all,rbohD,root,all,GO:BP,GO:0009407,toxin catabolic process,1.1403344840307405e-09,46,611,14
rbohD:root:all,rbohD,root,all,GO:BP,GO:0098754,detoxification,1.7058267447294794e-09,273,611,30
rbohD:root:all,rbohD,root,all,KEGG,KEGG:00480,Glutathione metabolism,8.409874143805288e-09,102,611,17
rbohD:root:all,rbohD,root,all,GO:BP,GO:0071456,cellular response to hypoxia,6.420180747433616e-08,239,611,26
rbohD:root:all,rbohD,root,all,GO:BP,GO:0071453,cellular response to oxygen levels,7.72938481215328e-08,241,611,26
rbohD:root:all,rbohD,root,all,GO:BP,GO:0036294,cellular response to decreased oxygen levels,7.72938481215328e-08,241,611,26
rbohD:root:all,rbohD,root,all,GO:MF,GO:0020037,heme binding,2.2828198284774278e-07,367,611,31
rbohD:root:all,rbohD,root,all,GO:BP,GO:0006749,glutathione metabolic process,2.610811827042229e-07,45,611,12
rbohD:root:all,rbohD,root,all,GO:MF,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",3.6581574464428957e-07,396,611,32
rbohD:root:all,rbohD,root,all,GO:MF,GO:0004568,chitinase activity,5.113198329206661e-07,17,611,8
rbohD:root:all,rbohD,root,all,GO:MF,GO:0005506,iron ion binding,5.302244861411312e-07,337,611,29
rbohD:root:all,rbohD,root,all,GO:BP,GO:0001666,response to hypoxia,6.713767059066262e-07,266,611,26
rbohD:root:all,rbohD,root,all,GO:BP,GO:0036293,response to decreased oxygen levels,9.254460760218394e-07,270,611,26
rbohD:root:all,rbohD,root,all,GO:BP,GO:0070482,response to oxygen levels,1.00176844401401e-06,271,611,26
