gene,spearman_rho,p,fdr_bh
AT2G30540,0.615,0.033169901090105904,0.9887028019514101
AT2G05510,0.601,0.03858845292201946,0.9887028019514101
AT2G43470,-0.594,0.04152149441031857,0.9887028019514101
AT4G35640,0.587,0.04460929646336318,0.9887028019514101
AT2G48090,0.552,0.06251148327961523,0.9887028019514101
AT2G37870,0.545,0.06661188226688902,0.9887028019514101
AT3G47420,0.538,0.07089431754922311,0.9887028019514101
AT1G19960,0.538,0.07089431754922311,0.9887028019514101
AT4G07960,-0.524,0.08001937592027474,0.9887028019514101
AT4G23250,0.517,0.08486877113393476,0.9887028019514101
AT3G05950,-0.517,0.08486877113393476,0.9887028019514101
AT5G64810,0.483,0.11210929146889187,0.9887028019514101
AT5G14570,0.462,0.13094806950717272,0.9887028019514101
AT3G29767,0.448,0.1445863013033476,0.9887028019514101
AT3G23120,0.434,0.15910576941219534,0.9887028019514101
AT3G56980,0.42,0.1745190081300594,0.9887028019514101
AT1G76800,-0.42,0.1745190081300594,0.9887028019514101
AT3G46340,0.42,0.1745190081300594,0.9887028019514101
AT2G33020,0.413,0.18256397857316675,0.9887028019514101
AT3G21720,0.399,0.19933549461780897,0.9887028019514101
AT1G77990,-0.399,0.19933549461780897,0.9887028019514101
AT5G60250,0.392,0.20806346369535322,0.9887028019514101
AT2G43570,0.392,0.20806346369535322,0.9887028019514101
AT3G17790,0.385,0.21702022575997731,0.9887028019514101
AT3G21520,0.385,0.21702022575997731,0.9887028019514101
AT2G44460,0.382,0.22070801550440236,0.9887028019514101
AT3G46270,-0.378,0.22620604493502647,0.9887028019514101
AT2G43890,0.378,0.22620604493502647,0.9887028019514101
AT1G73220,0.371,0.23562100351264567,0.9887028019514101
AT2G43620,0.371,0.23562100351264567,0.9887028019514101
AT1G66600,0.371,0.23562100351264567,0.9887028019514101
AT1G45015,-0.371,0.23562100351264567,0.9887028019514101
AT2G13910,-0.371,0.23562100351264567,0.9887028019514101
AT2G04460,0.364,0.24526500073077723,0.9887028019514101
AT1G07560,-0.357,0.2551377517589572,0.9887028019514101
AT1G02230,-0.357,0.2551377517589572,0.9887028019514101
AT3G11402,0.35,0.26523878689278996,0.9887028019514101
AT1G45020,0.35,0.26523878689278996,0.9887028019514101
AT2G46495,0.35,0.26523878689278996,0.9887028019514101
AT4G32950,0.343,0.2746714096854004,0.9887028019514101
AT5G39000,-0.343,0.2755674509567803,0.9887028019514101
AT3G09922,0.343,0.2755674509567803,0.9887028019514101
