genotype,tissue,gene,symbol,lasso_coef,selection_freq,in_deseq2_DEG
Col-0,shoot,AT3G15340,PPI2,0.0099,1.0,False
Col-0,shoot,AT4G22310,,0.0099,1.0,False
Col-0,shoot,AT1G12520,CCS,-0.0098,1.0,False
Col-0,shoot,AT5G02480,,-0.0098,1.0,False
Col-0,shoot,AT5G61440,ACHT5,-0.0095,1.0,False
Col-0,shoot,AT5G24000,,0.0088,1.0,False
Col-0,shoot,AT2G31750,UGT74D1,0.0085,1.0,False
Col-0,shoot,AT1G32170,,-0.0085,1.0,False
Col-0,shoot,AT3G47370,,0.0082,1.0,False
Col-0,shoot,AT1G24095,,0.0082,1.0,False
Col-0,shoot,AT1G02620,,-0.0082,1.0,False
Col-0,shoot,AT4G39460,,0.008,1.0,False
Col-0,shoot,AT1G22180,,0.008,1.0,False
Col-0,shoot,AT1G65250,,0.008,1.0,False
Col-0,shoot,AT5G64780,,0.008,1.0,False
Col-0,shoot,AT5G04220,SYTC,-0.008,1.0,False
Col-0,shoot,AT5G13750,ZIFL1,0.0078,1.0,False
Col-0,shoot,AT2G24165,,0.0077,1.0,False
Col-0,shoot,AT3G45860,kinase,0.0077,1.0,True
Col-0,shoot,AT5G10760,protease,0.0076,1.0,True
Col-0,shoot,AT2G34070,,-0.0072,1.0,False
Col-0,shoot,AT2G47510,,0.0071,1.0,False
Col-0,shoot,AT1G11530,CXXS1,-0.0071,1.0,False
Col-0,shoot,AT1G67035,,0.007,1.0,False
Col-0,shoot,AT2G11810,MGDC,0.0069,1.0,False
Col-0,shoot,AT3G07568,,0.0069,1.0,False
Col-0,shoot,AT3G25010,RLP41,0.0069,1.0,False
Col-0,shoot,AT3G61060,PP2-A13,-0.0068,1.0,False
Col-0,shoot,AT4G37540,,-0.0068,1.0,False
Col-0,shoot,AT5G11860,,0.0068,1.0,False
Col-0,shoot,AT4G32320,,-0.0068,1.0,False
Col-0,shoot,AT4G06676,,0.0068,1.0,False
