tissue,locus,Symbol,transcript_id,flight_direction,cax22_flight_log2FC,cax23_flight_log2FC,cax23_padj
root,AT4G16880,disease resistance,AT4G16880.1,up,2.4379476699080564,5.330478739,1.75e-09
root,AT4G17245,zinc finger,AT4G17245.1,up,2.4362183866542853,9.435030889,2.83e-14
root,AT1G62630,CC-NBS-LRR,AT1G62630.1,up,2.4242837804171633,7.221024158,1.61e-15
root,AT2G05100,LHCB2,AT2G05100.1,up,2.4084926331665835,6.198508465,1.61e-10
root,AT1G52230,PSI-H,AT1G52230.1,up,2.408065399733173,5.713203697,2.12e-14
root,AT4G28750,PSAE-1,AT4G28750.1,up,2.3902943494921343,5.581575006,1.3e-12
root,AT3G54890,LHCA1,AT3G54890.2,up,2.386225549383463,6.1635659635,3.39e-15
root,AT3G46780,PTAC16,AT3G46780.1,up,2.383816104526303,6.382760508,4.23e-18
root,AT3G28070,nodulin MtN21,AT3G28070.2,up,2.3327625785992634,7.4482293256666665,7.78e-17
root,AT3G29030,EXPA5,AT3G29030.1,up,2.294573017623188,6.497485739,6.35e-11
root,AT5G51720,-,AT5G51720.1,up,2.280972460716885,6.503706111,7.77e-07
root,AT4G22490,LTP,AT4G22490.1,up,2.2764874165427287,9.131893495,1.07e-05
root,AT4G12800,PSAL,AT4G12800.1,up,2.2541285849209904,5.696426917,5.61e-12
root,AT4G00180,YAB3,AT4G00180.2,up,2.246281055043142,8.5972764545,1.97e-18
root,AT1G03130,PSAD-2,AT1G03130.1,up,2.244895343954381,5.954006186,2.42e-16
root,AT5G03120,-,AT5G03120.1,up,2.2441559203100128,8.038047107,2.37e-19
root,AT3G16660,-,AT3G16660.1,up,2.240767875209778,8.843086234,4.99e-11
root,AT1G72610,GLP1,AT1G72610.1,up,2.239969339293463,6.850198171,9.83e-20
root,AT5G59130,subtilase,AT5G59130.2,up,2.212803678022796,8.054526731500001,4.09e-15
root,AT1G21500,-,AT1G21500.1,up,2.20358530036773,5.433624381,2.51e-07
root,AT4G37980,ELI3-1,AT4G37980.1,up,2.197512483328372,5.6763872695,7.28e-14
root,AT1G67090,RBCS1A,AT1G67090.1,up,2.1650163107396896,5.7172032615,1.65e-14
root,AT1G12900,GAPA-2,AT1G12900.4,up,2.1632458470179436,5.6839101764999995,4.72e-14
root,AT2G15050,LTP,AT2G15050.1,up,2.1529752815264587,5.304413901333334,2.44e-10
root,AT5G33370,lipase,AT5G33370.1,up,2.1450340906561443,9.057346545000001,6.98e-11
root,AT2G14560,LURP1,AT2G14560.2,up,2.1390139761226776,5.779182812,0.047910723
root,AT5G04530,KCS19,AT5G04530.1,up,2.128975253332336,6.592180667,2.01e-16
root,AT3G26740,CCL,AT3G26740.1,up,2.124929418494456,5.543618845,2.62e-09
root,AT4G17810,nucleic acid binding,AT4G17810.1,up,2.1177810848842356,8.27903303,3.52e-11
root,AT1G68600,-,AT1G68600.1,up,2.0944075251315093,7.594533901,3.68e-14
root,AT1G29720,kinase,AT1G29720.1,up,2.0921387487191057,5.5545772,2.34e-09
root,AT1G32060,PRK,AT1G32060.1,up,2.087867808678192,5.818409891,1.61e-14
root,AT5G45680,FKBP13,AT5G45680.1,up,2.0630423068567416,6.241595503,9.08e-19
root,AT4G05180,PSII-Q,AT4G05180.1,up,2.0607700577344845,5.704267158,1.16e-14
root,AT1G56520,TIR-NBS-LRR,AT1G56520.2,up,2.0487498820566707,8.2952988555,1.24e-14
root,AT3G19850,NPH3,AT3G19850.1,up,2.035761453413539,6.871812236,1.43e-20
root,AT3G28080,nodulin MtN21,AT3G28080.2,up,2.0255650140800467,6.434355624333333,2.68e-13
root,AT2G13360,AGT1,AT2G13360.2,up,2.018673920308901,6.832268082,2.57e-21
root,AT5G44580,-,AT5G44580.1,up,2.0141514147658084,4.844166786,1.92e-09
root,AT3G06880,nucleotide binding,AT3G06880.2,up,2.0087979191626637,5.729460448999999,4.06e-12
root,AT1G19670,CORI1,AT1G19670.1,up,2.0055819042515273,6.3845323,1.03e-05
root,AT2G36792,other RNA,AT2G36792.1,up,2.0016862667073307,8.3710198915,3.39e-17
root,AT4G23300,kinase,AT4G23300.1,up,1.997183567270387,7.500236246,1.84e-20
root,AT3G48310,CYP71A22,AT3G48310.1,up,1.9955070103756911,8.224125787,4.08e-15
root,AT4G21445,-,AT4G21445.1,up,1.994335939416883,5.255292977,2.97e-09
root,AT2G45180,LTP,AT2G45180.1,up,1.9941392936849824,6.146024761,7.83e-16
root,AT3G61470,LHCA2,AT3G61470.1,up,1.9780416045454259,5.567516674,2.58e-12
root,AT2G36790,UGT73C6,AT2G36790.1,up,1.969424973012774,8.770978374,4.15e-17
