stId,name,found,total,pValue,fdr,genotype,tissue
R-OSA-1119601,Trehalose degradation II,1,11,0.6609241712746985,0.9574800103664158,Col-0,root
R-OSA-1119292,Cytokinins 7-N-glucoside biosynthesis,1,14,0.7477187830643389,0.9574800103664158,Col-0,root
R-OSA-1119331,Cysteine biosynthesis I,1,16,0.7928892505576216,0.9574800103664158,Col-0,root
R-OSA-1119465,Sucrose biosynthesis,2,33,0.8353714594081186,0.9574800103664158,Col-0,root
R-OSA-1119375,Cytokinins 9-N-glucoside biosynthesis,1,20,0.8604726607866591,0.9574800103664158,Col-0,root
R-OSA-1119586,Cyanate degradation,1,20,0.8604726607866591,0.9574800103664158,Col-0,root
R-OSA-1119267,Phenylalanine degradation III,1,20,0.8604726607866591,0.9574800103664158,Col-0,root
R-OSA-9826782,Regulation of seed germination and coleoptile growth under submergence and normal gravity environment,3,59,0.9299563284616275,0.9574800103664158,Col-0,root
R-OSA-1119389,Phenylalanine biosynthesis I,1,27,0.9301955370041222,0.9574800103664158,Col-0,root
R-OSA-9766881,TF network involved in salinity response,2,45,0.9359804348976012,0.9574800103664158,Col-0,root
R-OSA-1119610,Biotin biosynthesis II,1,28,0.9367798917638493,0.9574800103664158,Col-0,root
R-OSA-1119506,tyrosine degradation I,1,29,0.9427451522968678,0.9574800103664158,Col-0,root
R-OSA-1119400,Methionine biosynthesis II,1,30,0.9481493427030799,0.9574800103664158,Col-0,root
R-OSA-1119452,Galactose degradation II,1,32,0.9574800103664158,0.9574800103664158,Col-0,root
R-OSA-1119473,Cytokinins-O-glucoside biosynthesis,1,35,0.9684326216665265,0.9684326216665265,Col-0,root
R-OSA-9638808,Response to salinity,2,70,0.9923223428384317,0.9923223428384317,Col-0,root
R-OSA-1119486,IAA biosynthesis I,1,54,0.9952485412093978,0.9952485412093978,Col-0,root
R-OSA-5368291,Inorganic nutrients metabolism,1,82,0.9997150502787964,0.9997150502787964,Col-0,root
R-OSA-5655124,Amino acid catabolism,1,140,0.9999992340927242,0.9999992340927242,Col-0,root
R-OSA-9826798,Gravitropism under normal or artificial gravity environments,3,234,0.9999999865601031,0.9999999865601031,Col-0,root
R-OSA-8932729,Responses to stimuli: abiotic stimuli and stresses,4,369,0.9999999999998094,0.9999999999998094,Col-0,root
R-OSA-2883407,Carbohydrate metabolism,3,348,0.9999999999998752,0.9999999999998752,Col-0,root
R-OSA-2867929,Cofactor biosyntheses,1,313,0.9999999999999923,0.9999999999999923,Col-0,root
R-OSA-5655122,Amino acid biosynthesis,2,375,0.9999999999999997,0.9999999999999997,Col-0,root
R-OSA-2744341,"Hormone signaling, transport, and metabolism",2,601,1.0,1.0,Col-0,root
R-OSA-2744343,Amino acid metabolism,2,491,1.0,1.0,Col-0,root
R-OSA-2744345,Metabolism and regulation,9,2251,1.0,1.0,Col-0,root
R-OSA-1119349,S-methylmethionine cycle,1,9,0.5819373217718431,0.9862920250181113,rbohD,root
