genotype,tissue,cell_type,n_markers,deg_in_set,expected,p_hyper,neg_log10_p
Col-0,root,non-hair root epidermal cell,98,8,1.0,7.465742448791873e-06,5.12692699632745
Col-0,root,columella,67,6,0.68,6.269863587269817e-05,4.202741907963614
Col-0,root,root cortex,72,6,0.73,9.407737680882122e-05,4.026514800678402
Col-0,root,root stele,182,7,1.85,0.002716501498856584,2.565990051003916
Col-0,root,root hair cell,90,3,0.92,0.06436975238627284,1.1913181614859474
Col-0,root,root cap,107,3,1.09,0.09621181938683292,1.0167715726693176
Col-0,root,trichoblast,16,1,0.16,0.15109769097049872,0.8207421723680107
Col-0,root,root endodermis,87,2,0.89,0.2220884012166924,0.6534741223120556
Col-0,root,phloem,32,1,0.33,0.27943299651695624,0.5537223120403046
Col-0,root,lateral root cap,28,0,0.29,1.0,-0.0
Col-0,root,pericycle,53,0,0.54,1.0,-0.0
Col-0,root,protoxylem,24,0,0.24,1.0,-0.0
Col-0,root,quiescent center,21,0,0.21,1.0,-0.0
Col-0,root,root epidermis,17,0,0.17,1.0,-0.0
Col-0,root,root meristem,26,0,0.26,1.0,-0.0
Col-0,root,root procambium,22,0,0.22,1.0,-0.0
Col-0,root,xylem,64,0,0.65,1.0,-0.0
cax2-2,root,root cap,107,1,0.02,0.01921914205831131,1.7162660031220769
cax2-2,root,columella,67,0,0.01,1.0,-0.0
cax2-2,root,lateral root cap,28,0,0.01,1.0,-0.0
cax2-2,root,non-hair root epidermal cell,98,0,0.02,1.0,-0.0
cax2-2,root,pericycle,54,0,0.01,1.0,-0.0
cax2-2,root,phloem,32,0,0.01,1.0,-0.0
cax2-2,root,protoxylem,24,0,0.0,1.0,-0.0
cax2-2,root,quiescent center,21,0,0.0,1.0,-0.0
cax2-2,root,root cortex,72,0,0.01,1.0,-0.0
cax2-2,root,root endodermis,87,0,0.02,1.0,-0.0
cax2-2,root,root epidermis,17,0,0.0,1.0,-0.0
cax2-2,root,root hair cell,90,0,0.02,1.0,-0.0
cax2-2,root,root meristem,26,0,0.0,1.0,-0.0
cax2-2,root,root procambium,22,0,0.0,1.0,-0.0
cax2-2,root,root stele,182,0,0.03,1.0,-0.0
cax2-2,root,trichoblast,16,0,0.0,1.0,-0.0
cax2-2,root,xylem,64,0,0.01,1.0,-0.0
rbohD,root,non-hair root epidermal cell,98,7,0.99,6.16422097737614e-05,4.210121800918107
rbohD,root,columella,67,5,0.67,0.0005792222644370733,3.2371547528600737
rbohD,root,root cortex,72,4,0.72,0.006053066550445927,2.218024551210106
rbohD,root,trichoblast,16,2,0.16,0.011043723745625076,1.9568844656013358
rbohD,root,root hair cell,90,3,0.91,0.06265694924502078,1.2030307546555232
rbohD,root,root cap,107,3,1.08,0.0937756764687843,1.027909794299601
rbohD,root,root stele,182,4,1.83,0.11236807952086218,0.9493570415853118
rbohD,root,root procambium,22,1,0.22,0.19965324824735953,0.6997236196823738
rbohD,root,root endodermis,87,2,0.88,0.2184175189846828,0.66071253037555
rbohD,root,lateral root cap,28,1,0.28,0.24684189698565212,0.6075811246817505
rbohD,root,pericycle,54,1,0.54,0.42129872917269107,0.37540985089954704
rbohD,root,phloem,32,0,0.32,1.0,-0.0
rbohD,root,protoxylem,24,0,0.24,1.0,-0.0
rbohD,root,quiescent center,21,0,0.21,1.0,-0.0
rbohD,root,root epidermis,17,0,0.17,1.0,-0.0
rbohD,root,root meristem,26,0,0.26,1.0,-0.0
rbohD,root,xylem,64,0,0.64,1.0,-0.0
Col-0,shoot,leaf mesophyll,978,9,6.13,0.16252604341300814,0.789077037120156
Col-0,shoot,bundle sheath,246,2,1.54,0.45784824292118287,0.33927844816082603
Col-0,shoot,leaf epidermis,564,1,3.54,0.9723111619618221,0.012194728594932315
Col-0,shoot,guard cell,551,0,3.46,1.0,-0.0
cax2-2,shoot,bundle sheath,246,0,0.03,1.0,-0.0
cax2-2,shoot,guard cell,551,0,0.06,1.0,-0.0
cax2-2,shoot,leaf epidermis,564,0,0.06,1.0,-0.0
cax2-2,shoot,leaf mesophyll,977,0,0.11,1.0,-0.0
rbohD,shoot,leaf mesophyll,978,7,1.21,0.00016127228911361495,3.7924402495913645
rbohD,shoot,bundle sheath,246,1,0.3,0.2635166310241408,0.5791919704548996
rbohD,shoot,guard cell,551,1,0.68,0.4979598992722064,0.3028056295816854
rbohD,shoot,leaf epidermis,564,1,0.7,0.5061423554527507,0.29572731815510445
