genotype,tissue,gene,symbol,lasso_coef,selection_freq,in_deseq2_DEG
Col-0,root,AT1G26390,FAD-binding,0.0072,1.0,True
Col-0,root,AT5G13320,WIN3,0.0066,1.0,True
Col-0,root,AT1G14540,anionic peroxidase,0.0065,1.0,True
Col-0,root,AT5G07570,glycine/proline-rich,-0.0064,1.0,True
Col-0,root,AT4G33740,,-0.0063,1.0,False
Col-0,root,AT1G51830,kinase,-0.0062,1.0,True
Col-0,root,AT1G26240,extensin,0.0062,1.0,True
Col-0,root,AT4G10500,oxidoreductase,0.0062,1.0,True
Col-0,root,AT2G02390,,0.0061,1.0,False
Col-0,root,AT1G26380,FAD-binding,0.006,1.0,True
Col-0,root,AT3G20820,,-0.006,1.0,False
Col-0,root,AT1G08430,ALMT1,-0.0059,1.0,True
Col-0,root,AT3G08040,MAN1,0.0059,1.0,False
Col-0,root,AT4G11170,TIR-NBS-LRR,0.0059,1.0,True
Col-0,root,AT5G26920,CBP60G,0.0059,1.0,True
Col-0,root,AT1G05650,pectinase,0.0058,1.0,True
Col-0,root,AT1G11080,scpl31,0.0058,1.0,True
Col-0,root,AT2G30750,CYP71A12,0.0058,1.0,True
Col-0,root,AT1G18970,GLP4,0.0057,1.0,True
Col-0,root,AT3G09680,RPS23A,0.0056,1.0,False
Col-0,root,AT1G51840,kinase,-0.0056,1.0,True
Col-0,root,AT1G26420,FAD-binding,0.0056,1.0,True
Col-0,root,AT4G21380,ARK3,0.0055,1.0,True
Col-0,root,AT2G30660,hydrolase,0.0053,1.0,True
Col-0,root,AT4G40065,other RNA,-0.0053,1.0,True
Col-0,root,AT4G15330,CYP705A1,-0.0053,1.0,False
Col-0,root,AT1G08090,NRT2;1AT,0.0053,1.0,True
Col-0,root,AT5G38910,germin-like,0.0052,1.0,True
Col-0,root,AT2G41810,,0.0052,1.0,True
Col-0,root,AT2G39510,nodulin MtN21,0.0052,1.0,True
Col-0,root,AT1G61560,MLO6,-0.0052,1.0,False
Col-0,root,AT1G26410,FAD-binding,0.0052,1.0,True
Col-0,root,AT2G43570,chitinase,0.0052,1.0,True
Col-0,root,AT2G28270,DC1,-0.0052,1.0,True
Col-0,root,AT1G02920,GSTF7,0.0051,1.0,False
Col-0,root,AT1G02850,BGLU11,0.0051,1.0,True
Col-0,root,AT3G25190,nodulin,0.0051,1.0,False
Col-0,root,AT1G30260,,-0.0051,1.0,True
Col-0,root,AT1G67270,,0.005,1.0,True
Col-0,root,AT4G15550,IAGLU,0.005,1.0,False
Col-0,root,AT4G11650,OSM34,0.005,1.0,False
Col-0,root,AT5G47450,TIP2;3,-0.0049,1.0,True
Col-0,root,AT3G13950,,-0.0049,1.0,True
Col-0,root,AT3G60270,uclacyanin,0.0048,1.0,True
Col-0,root,AT4G23700,CHX17,0.0047,1.0,True
Col-0,root,AT3G44300,NIT2,0.0047,1.0,False
Col-0,root,AT1G58320,,0.0046,1.0,True
Col-0,root,AT1G05880,binding,0.0046,1.0,True
Col-0,root,AT3G21352,,0.0046,1.0,True
Col-0,root,AT1G63750,binding,0.0046,1.0,True
Col-0,root,AT2G35000,,-0.0045,1.0,False
Col-0,root,AT1G47480,,-0.0045,1.0,False
Col-0,root,AT4G33905,peroxisomal membrane 22 kDa,0.0044,1.0,False
Col-0,root,AT5G57220,CYP81F2,0.0044,1.0,True
Col-0,root,AT1G51870,kinase,-0.0044,1.0,True
Col-0,root,AT4G14630,GLP9,0.0043,1.0,True
Col-0,root,AT4G23550,WRKY29,0.0042,1.0,False
Col-0,root,AT1G61580,RPL3B,0.0042,1.0,False
Col-0,root,AT1G21130,methyltransferase,0.0042,1.0,True
Col-0,root,AT5G48175,,0.0042,1.0,True
Col-0,root,AT2G43620,chitinase,0.0042,1.0,True
Col-0,root,AT1G45015,ML,-0.0042,1.0,True
Col-0,root,AT5G40590,DC1,0.0041,1.0,True
Col-0,root,AT1G44130,nucellin,0.0041,1.0,True
Col-0,root,AT4G13420,,-0.0041,1.0,True
Col-0,root,AT3G47510,,0.0041,1.0,True
Col-0,root,AT4G25100,FSD1,0.0041,1.0,False
Col-0,root,AT5G47560,TDT,-0.004,1.0,False
Col-0,root,AT1G65481,other RNA,0.004,1.0,True
Col-0,root,AT1G61360,,-0.004,1.0,False
Col-0,root,AT1G69920,GSTU12,0.004,1.0,True
Col-0,root,AT3G47480,calcium-binding EF hand,0.004,1.0,True
Col-0,root,AT5G13330,Rap2.6L,0.0039,1.0,True
Col-0,root,AT1G19960,,0.0039,1.0,True
Col-0,root,AT3G63380,ACA12,0.0039,1.0,True
Col-0,root,AT2G15490,UGT73B4,0.0039,1.0,True
Col-0,root,AT1G72930,TIR,0.0038,1.0,True
Col-0,root,AT2G01530,MLP329,-0.0038,1.0,False
Col-0,root,AT2G46495,zinc finger,0.0038,1.0,True
Col-0,root,AT4G31970,CYP82C2,0.0038,1.0,True
Col-0,root,AT1G21120,methyltransferase,0.0038,1.0,True
Col-0,root,AT2G24720,GLR2.2,0.0037,1.0,True
Col-0,root,AT1G02230,,0.0037,1.0,True
Col-0,root,AT1G07550,kinase,-0.0036,1.0,True
Col-0,root,AT3G21351,,0.0036,1.0,False
Col-0,root,AT5G64120,,0.0036,1.0,False
Col-0,root,AT5G59320,LTP3,0.0036,1.0,False
Col-0,root,AT5G47550,protease,-0.0036,1.0,True
Col-0,root,AT1G49920,zinc finger,0.0036,1.0,False
Col-0,root,AT1G64380,AP2,-0.0036,1.0,False
Col-0,root,AT4G29810,,0.0035,1.0,False
Col-0,root,AT5G50760,auxin-responsive,-0.0035,1.0,True
Col-0,root,AT2G14910,,-0.0035,1.0,False
Col-0,root,AT1G17180,GSTU25,0.0034,1.0,True
Col-0,root,AT3G25790,myb,-0.0034,1.0,True
Col-0,root,AT5G52790,CBS,-0.0033,1.0,True
Col-0,root,AT2G25510,,0.0033,1.0,True
Col-0,root,AT3G28510,AAA-type ATPase,0.0033,1.0,True
Col-0,root,AT3G49760,bZIP5,-0.0033,1.0,False
Col-0,root,AT1G58235,,-0.0033,1.0,False
Col-0,root,AT4G28420,aminotransferase,0.0032,1.0,True
Col-0,root,AT5G03545,,0.0032,1.0,False
Col-0,root,AT1G73300,scpl2,-0.0032,1.0,True
Col-0,root,AT3G18250,,0.0032,1.0,True
Col-0,root,AT1G30730,FAD-binding,0.0031,1.0,False
Col-0,root,AT2G30140,glucosyl transferase,0.0031,1.0,True
Col-0,root,AT4G36890,,-0.0031,1.0,False
Col-0,root,AT2G29010,,-0.003,1.0,True
Col-0,root,AT2G29500,HSP17.6B-CI,0.003,1.0,False
Col-0,root,AT2G26560,PLP2,0.003,1.0,True
Col-0,root,AT3G23800,SBP3,-0.0029,0.875,False
Col-0,root,AT5G22890,zinc finger,-0.0028,1.0,True
Col-0,root,AT3G28345,ABC,-0.0028,0.75,True
Col-0,root,AT5G19970,,-0.0028,1.0,False
Col-0,root,AT3G50280,transferase,-0.0028,1.0,False
Col-0,root,AT4G18205,,-0.0027,0.875,True
Col-0,root,AT1G62180,PRH43,0.0027,1.0,False
Col-0,root,AT3G16060,,0.0027,1.0,False
Col-0,root,AT1G27290,,-0.0026,0.875,False
Col-0,root,AT3G17650,,-0.0026,1.0,False
Col-0,root,AT2G18950,,-0.0026,0.875,False
Col-0,root,AT3G47420,glycerol 3-phosphate permease,0.0026,1.0,False
Col-0,root,AT3G03670,peroxidase,0.0026,0.75,True
Col-0,root,AT2G29490,GST19,0.0026,1.0,False
Col-0,root,AT5G58610,,0.0026,0.875,False
Col-0,root,AT5G50200,WR3,0.0026,0.75,False
Col-0,root,AT4G25400,,0.0026,0.75,False
Col-0,root,AT3G29780,,-0.0026,0.875,True
Col-0,root,AT3G54420,CHIV,0.0026,0.875,False
Col-0,root,AT1G53990,,-0.0025,1.0,True
Col-0,root,AT5G14120,,-0.0025,0.75,False
Col-0,root,AT2G05180,,-0.0024,1.0,False
Col-0,root,AT4G40070,protein binding,-0.0024,0.875,True
Col-0,root,AT5G27200,ACP5,-0.0024,0.875,True
Col-0,root,AT2G15220,secretory,0.0024,0.875,False
Col-0,root,AT2G39450,MTP11,-0.0023,0.75,False
Col-0,root,AT4G21580,oxidoreductase,0.0023,0.75,False
Col-0,root,AT3G02380,,-0.0023,0.875,False
Col-0,root,AT1G74590,GSTU10,0.0022,0.875,False
Col-0,root,AT3G61400,,0.0022,0.75,False
