query_label,genotype,tissue,subset,source,native,name,p_value,term_size,query_size,intersection_size
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0009579,thylakoid,3.713204113022244e-44,592,318,68
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0009534,chloroplast thylakoid,5.832909807745537e-39,515,318,60
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0031976,plastid thylakoid,6.53571595813268e-39,516,318,60
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0009522,photosystem I,2.2166590249245476e-37,43,318,26
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0009535,chloroplast thylakoid membrane,5.629354180628111e-37,422,318,54
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0055035,plastid thylakoid membrane,6.3887997196929935e-37,423,318,54
cax2-2:root:all,cax2-2,root,all,GO:BP,GO:0015979,photosynthesis,9.222290960115161e-37,281,318,47
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0042651,thylakoid membrane,4.622632683019934e-36,439,318,54
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0034357,photosynthetic membrane,5.2167369240465756e-36,440,318,54
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0009521,photosystem,1.089141381508343e-33,97,318,31
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0019867,outer membrane,3.090787933364639e-31,543,318,54
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0031968,organelle outer membrane,3.090787933364639e-31,543,318,54
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0009526,plastid envelope,5.404818738224727e-31,983,318,69
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0042170,plastid membrane,1.6268037423597844e-28,670,318,56
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0031967,organelle envelope,3.481789829088939e-23,1446,318,72
cax2-2:root:all,cax2-2,root,all,KEGG,KEGG:00196,Photosynthesis - antenna proteins,6.976368014780399e-23,22,318,15
cax2-2:root:all,cax2-2,root,all,KEGG,KEGG:00195,Photosynthesis,8.503249298149045e-22,45,318,18
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0009507,chloroplast,9.069845578659609e-22,2339,318,90
cax2-2:root:all,cax2-2,root,all,GO:BP,GO:0009765,"photosynthesis, light harvesting",1.2884936453905408e-20,37,318,17
cax2-2:root:all,cax2-2,root,all,GO:MF,GO:0019904,protein domain specific binding,3.395250831729541e-20,91,318,22
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0009536,plastid,5.792320389372263e-20,2841,318,97
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0009523,photosystem II,3.352436293033367e-19,78,318,20
cax2-2:root:all,cax2-2,root,all,GO:BP,GO:0019684,"photosynthesis, light reaction",6.761102767535221e-19,146,318,25
cax2-2:root:all,cax2-2,root,all,GO:MF,GO:0016168,chlorophyll binding,6.206627717577092e-18,34,318,15
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0048046,apoplast,1.6076242860667008e-17,466,318,37
cax2-2:root:all,cax2-2,root,all,KEGG,KEGG:01100,Metabolic pathways,4.589897398117551e-16,2323,318,79
cax2-2:root:all,cax2-2,root,all,GO:CC,GO:0098796,membrane protein complex,3.5475815486646802e-15,426,318,33
cax2-2:root:all,cax2-2,root,all,GO:BP,GO:0009768,"photosynthesis, light harvesting in photosystem I",3.0567079045142545e-14,10,318,9
