gene,cell_type,tissue,source
AT5G07550,columella,root,PCMDB:Experimental
AT5G20045,columella,root,PCMDB:Experimental
AT5G20270,columella,root,PCMDB:Experimental
AT5G23820,columella,root,PCMDB:Experimental
AT5G24580,columella,root,PCMDB:Experimental
AT5G48130,columella,root,PCMDB:Experimental
AT5G48175,columella,root,PCMDB:Experimental
AT5G48300,columella,root,PCMDB:Experimental
AT5G50200,columella,root,PCMDB:Experimental
AT5G53460,columella,root,PCMDB:Experimental
AT5G54370,columella,root,PCMDB:Experimental
AT5G57640,columella,root,PCMDB:Experimental
AT5G58580,columella,root,PCMDB:Experimental
AT5G62480,columella,root,PCMDB:Experimental
AT5G64860,columella,root,PCMDB:Experimental
AT1G11260,lateral root cap,root,PCMDB:Experimental
AT1G14220,lateral root cap,root,PCMDB:Experimental
AT1G14240,lateral root cap,root,PCMDB:Experimental
AT1G30700,lateral root cap,root,PCMDB:Experimental
AT1G54010,lateral root cap,root,PCMDB:Experimental
AT1G54030,lateral root cap,root,PCMDB:Experimental
AT1G54120,lateral root cap,root,PCMDB:Experimental
AT2G15220,lateral root cap,root,PCMDB:Experimental
AT2G23630,lateral root cap,root,PCMDB:Experimental
AT2G23790,lateral root cap,root,PCMDB:Experimental
AT2G25980,lateral root cap,root,PCMDB:Experimental
AT2G26670,lateral root cap,root,PCMDB:Experimental
AT2G35770,lateral root cap,root,PCMDB:Experimental
AT2G42890,lateral root cap,root,PCMDB:Experimental
AT3G14530,lateral root cap,root,PCMDB:Experimental
AT3G20940,lateral root cap,root,PCMDB:Experimental
AT3G45010,lateral root cap,root,PCMDB:Experimental
AT3G55930,lateral root cap,root,PCMDB:Experimental
AT4G10350,lateral root cap,root,PCMDB:Experimental
AT5G02580,lateral root cap,root,PCMDB:Experimental
AT5G23210,lateral root cap,root,PCMDB:Experimental
AT5G26260,lateral root cap,root,PCMDB:Experimental
AT5G36880,lateral root cap,root,PCMDB:Experimental
AT5G44380,lateral root cap,root,PCMDB:Experimental
AT5G58784,lateral root cap,root,PCMDB:Experimental
AT5G60520,lateral root cap,root,PCMDB:Experimental
AT5G62340,lateral root cap,root,PCMDB:Experimental
AT5G63650,lateral root cap,root,PCMDB:Experimental
AT1G02360,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G05650,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G06930,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G09200,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G10990,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G13590,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G13730,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G14870,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G14960,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G19600,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G25450,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G31950,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G51800,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G51850,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G53130,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G53560,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G54890,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G57590,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G67400,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G68150,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G68470,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G68560,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G70850,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G74500,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G76620,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G01880,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G21045,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G31570,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G37130,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G39040,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G39410,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G40205,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G42060,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G43480,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G43570,non-hair root epidermal cell,root,PCMDB:Experimental
AT2G45050,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G01190,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G01970,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G02240,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G05020,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G11780,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G15670,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G18200,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G19320,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G21070,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G21710,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G23510,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G26440,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G28345,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G29250,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G29780,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G47380,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G49845,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G51330,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G51600,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G53650,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G60530,non-hair root epidermal cell,root,PCMDB:Experimental
AT3G62280,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G00360,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G00400,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G00730,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G03190,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G12545,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G15290,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G20110,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G21980,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G22230,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G22235,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G22666,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G23700,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G25250,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G27950,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G31320,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G37010,non-hair root epidermal cell,root,PCMDB:Experimental
AT4G37070,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G07460,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G09510,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G09978,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G16560,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G19230,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G19750,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G24090,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G40330,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G40690,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G42630,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G43040,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G44585,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G48010,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G48290,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G48657,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G51490,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G51500,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G60950,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G63600,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G64100,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G65640,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G66590,non-hair root epidermal cell,root,PCMDB:Experimental
AT5G66800,non-hair root epidermal cell,root,PCMDB:Experimental
AT1G01070,pericycle,root,PCMDB:Experimental
AT1G02500,pericycle,root,PCMDB:Experimental
AT1G10682,pericycle,root,PCMDB:Experimental
AT1G11330,pericycle,root,PCMDB:Experimental
AT1G12200,pericycle,root,PCMDB:Experimental
AT1G16310,pericycle,root,PCMDB:Experimental
AT1G16350,pericycle,root,PCMDB:Experimental
AT1G18080,pericycle,root,PCMDB:Experimental
AT1G23760,pericycle,root,PCMDB:Experimental
AT1G27130,pericycle,root,PCMDB:Experimental
AT1G32450,pericycle,root,PCMDB:Experimental
AT1G44800,pericycle,root,PCMDB:Experimental
AT1G48600,pericycle,root,PCMDB:Experimental
AT1G52400,pericycle,root,PCMDB:Experimental
AT1G58025,pericycle,root,PCMDB:Experimental
AT1G71040,pericycle,root,PCMDB:Experimental
AT1G74430,pericycle,root,PCMDB:Experimental
AT1G78580,pericycle,root,PCMDB:Experimental
AT2G19900,pericycle,root,PCMDB:Experimental
AT2G36650,pericycle,root,PCMDB:Experimental
AT2G44160,pericycle,root,PCMDB:Experimental
AT2G47160,pericycle,root,PCMDB:Experimental
AT3G04300,pericycle,root,PCMDB:Experimental
AT3G06020,pericycle,root,PCMDB:Experimental
AT3G11510,pericycle,root,PCMDB:Experimental
AT3G21770,pericycle,root,PCMDB:Experimental
AT3G24310,pericycle,root,PCMDB:Experimental
AT3G26760,pericycle,root,PCMDB:Experimental
AT3G29635,pericycle,root,PCMDB:Experimental
AT3G61820,pericycle,root,PCMDB:Experimental
AT4G00100,pericycle,root,PCMDB:Experimental
AT4G09320,pericycle,root,PCMDB:Experimental
AT4G15000,pericycle,root,PCMDB:Experimental
AT4G17760,pericycle,root,PCMDB:Experimental
AT4G27450,pericycle,root,PCMDB:Experimental
AT4G28250,pericycle,root,PCMDB:Experimental
AT4G29770,pericycle,root,PCMDB:Experimental
AT4G33660,pericycle,root,PCMDB:Experimental
AT4G34050,pericycle,root,PCMDB:Experimental
AT4G34600,pericycle,root,PCMDB:Experimental
AT4G34620,pericycle,root,PCMDB:Experimental
AT4G34650,pericycle,root,PCMDB:Experimental
AT5G01740,pericycle,root,PCMDB:Experimental
AT5G02960,pericycle,root,PCMDB:Experimental
AT5G06080,pericycle,root,PCMDB:Experimental
AT5G07322,pericycle,root,PCMDB:Experimental
AT5G22650,pericycle,root,PCMDB:Experimental
AT5G25920,pericycle,root,PCMDB:Experimental
AT5G26930,pericycle,root,PCMDB:Experimental
AT5G27690,pericycle,root,PCMDB:Experimental
AT5G41520,pericycle,root,PCMDB:Experimental
AT5G48480,pericycle,root,PCMDB:Experimental
AT5G59090,pericycle,root,PCMDB:Experimental
AT5G65280,pericycle,root,PCMDB:Experimental
AT1G02950,phloem,root,PCMDB:Experimental
AT1G05610,phloem,root,PCMDB:Experimental
AT1G05760,phloem,root,PCMDB:Experimental
AT1G05770,phloem,root,PCMDB:Experimental
AT1G10360,phloem,root,PCMDB:Experimental
AT1G11450,phloem,root,PCMDB:Experimental
AT1G11570,phloem,root,PCMDB:Experimental
AT1G12010,phloem,root,PCMDB:Experimental
AT1G13920,phloem,root,PCMDB:Experimental
AT1G24575,phloem,root,PCMDB:Experimental
AT1G26790,phloem,root,PCMDB:Experimental
AT1G54575,phloem,root,PCMDB:Experimental
AT1G61760,phloem,root,PCMDB:Experimental
AT1G69580,phloem,root,PCMDB:Experimental
AT1G69970,phloem,root,PCMDB:Experimental
AT1G76130,phloem,root,PCMDB:Experimental
AT2G19830,phloem,root,PCMDB:Experimental
AT2G41200,phloem,root,PCMDB:Experimental
AT3G47180,phloem,root,PCMDB:Experimental
AT3G58350,phloem,root,PCMDB:Experimental
AT4G00670,phloem,root,PCMDB:Experimental
AT4G03500,phloem,root,PCMDB:Experimental
AT4G04620,phloem,root,PCMDB:Experimental
AT4G16400,phloem,root,PCMDB:Experimental
AT4G20240,phloem,root,PCMDB:Experimental
AT4G25010,phloem,root,PCMDB:Experimental
AT5G01480,phloem,root,PCMDB:Experimental
AT5G04680,phloem,root,PCMDB:Experimental
AT5G16610,phloem,root,PCMDB:Experimental
AT5G20030,phloem,root,PCMDB:Experimental
AT5G22090,phloem,root,PCMDB:Experimental
AT5G53030,phloem,root,PCMDB:Experimental
AT5G62680,phloem,root,PCMDB:Experimental
AT1G04540,protoxylem,root,PCMDB:Experimental
AT1G04760,protoxylem,root,PCMDB:Experimental
AT1G06020,protoxylem,root,PCMDB:Experimental
AT1G07120,protoxylem,root,PCMDB:Experimental
AT1G09610,protoxylem,root,PCMDB:Experimental
AT1G09890,protoxylem,root,PCMDB:Experimental
AT1G10800,protoxylem,root,PCMDB:Experimental
AT1G12450,protoxylem,root,PCMDB:Experimental
AT1G14190,protoxylem,root,PCMDB:Experimental
AT1G16520,protoxylem,root,PCMDB:Experimental
AT1G17950,protoxylem,root,PCMDB:Experimental
AT1G19230,protoxylem,root,PCMDB:Experimental
AT1G20720,protoxylem,root,PCMDB:Experimental
AT1G21780,protoxylem,root,PCMDB:Experimental
AT1G26570,protoxylem,root,PCMDB:Experimental
AT1G48280,protoxylem,root,PCMDB:Experimental
AT1G51640,protoxylem,root,PCMDB:Experimental
AT1G63910,protoxylem,root,PCMDB:Experimental
AT1G66810,protoxylem,root,PCMDB:Experimental
AT1G68600,protoxylem,root,PCMDB:Experimental
AT1G73410,protoxylem,root,PCMDB:Experimental
AT5G08480,protoxylem,root,PCMDB:Experimental
AT5G09480,protoxylem,root,PCMDB:Experimental
AT5G47635,protoxylem,root,PCMDB:Experimental
AT1G03840,quiescent center,root,PCMDB:Experimental
AT1G11420,quiescent center,root,PCMDB:Experimental
AT1G16070,quiescent center,root,PCMDB:Experimental
AT1G30530,quiescent center,root,PCMDB:Experimental
AT1G49110,quiescent center,root,PCMDB:Experimental
AT1G55200,quiescent center,root,PCMDB:Experimental
AT1G68640,quiescent center,root,PCMDB:Experimental
AT1G69490,quiescent center,root,PCMDB:Experimental
AT1G75580,quiescent center,root,PCMDB:Experimental
AT2G23050,quiescent center,root,PCMDB:Experimental
AT2G34710,quiescent center,root,PCMDB:Experimental
AT3G13510,quiescent center,root,PCMDB:Experimental
AT3G26120,quiescent center,root,PCMDB:Experimental
AT3G30350,quiescent center,root,PCMDB:Experimental
AT5G03680,quiescent center,root,PCMDB:Experimental
AT5G17430,quiescent center,root,PCMDB:Experimental
AT5G20240,quiescent center,root,PCMDB:Experimental
AT5G23780,quiescent center,root,PCMDB:Experimental
AT5G25900,quiescent center,root,PCMDB:Experimental
AT5G45780,quiescent center,root,PCMDB:Experimental
AT5G62165,quiescent center,root,PCMDB:Experimental
AT5G62165  ,quiescent center,root,PCMDB:Experimental
AT1G01570,root cap,root,PCMDB:Experimental
AT1G03457,root cap,root,PCMDB:Experimental
AT1G08090,root cap,root,PCMDB:Experimental
AT1G08430,root cap,root,PCMDB:Experimental
AT1G09540,root cap,root,PCMDB:Experimental
AT1G09560,root cap,root,PCMDB:Experimental
AT1G10480,root cap,root,PCMDB:Experimental
AT1G12110,root cap,root,PCMDB:Experimental
AT1G13300,root cap,root,PCMDB:Experimental
AT1G18420,root cap,root,PCMDB:Experimental
AT1G23080,root cap,root,PCMDB:Experimental
AT1G23380,root cap,root,PCMDB:Experimental
AT1G26960,root cap,root,PCMDB:Experimental
AT1G27740,root cap,root,PCMDB:Experimental
AT1G30510,root cap,root,PCMDB:Experimental
AT1G31885,root cap,root,PCMDB:Experimental
AT1G34670,root cap,root,PCMDB:Experimental
AT1G35250,root cap,root,PCMDB:Experimental
AT1G35720,root cap,root,PCMDB:Experimental
AT1G47485,root cap,root,PCMDB:Experimental
AT1G51880,root cap,root,PCMDB:Experimental
AT1G56010,root cap,root,PCMDB:Experimental
AT1G59835,root cap,root,PCMDB:Experimental
AT1G62300,root cap,root,PCMDB:Experimental
AT1G62440,root cap,root,PCMDB:Experimental
AT1G63245,root cap,root,PCMDB:Experimental
AT1G64060,root cap,root,PCMDB:Experimental
AT1G64780,root cap,root,PCMDB:Experimental
AT1G65680,root cap,root,PCMDB:Experimental
AT1G67030,root cap,root,PCMDB:Experimental
AT1G69830,root cap,root,PCMDB:Experimental
AT1G72490,root cap,root,PCMDB:Experimental
AT1G73160,root cap,root,PCMDB:Experimental
AT1G73590,root cap,root,PCMDB:Experimental
AT2G01420,root cap,root,PCMDB:Experimental
AT2G12646,root cap,root,PCMDB:Experimental
AT2G22630,root cap,root,PCMDB:Experimental
AT2G24610,root cap,root,PCMDB:Experimental
AT2G25180,root cap,root,PCMDB:Experimental
AT2G26420,root cap,root,PCMDB:Experimental
AT2G26650,root cap,root,PCMDB:Experimental
AT2G30340,root cap,root,PCMDB:Experimental
AT2G30420,root cap,root,PCMDB:Experimental
AT2G31310,root cap,root,PCMDB:Experimental
AT2G41660,root cap,root,PCMDB:Experimental
AT2G42430,root cap,root,PCMDB:Experimental
AT2G46410,root cap,root,PCMDB:Experimental
AT2G47000,root cap,root,PCMDB:Experimental
AT2G47270,root cap,root,PCMDB:Experimental
AT3G04060,root cap,root,PCMDB:Experimental
AT3G04120,root cap,root,PCMDB:Experimental
AT3G05150,root cap,root,PCMDB:Experimental
AT3G07880,root cap,root,PCMDB:Experimental
AT3G13870,root cap,root,PCMDB:Experimental
AT3G21890,root cap,root,PCMDB:Experimental
AT3G24225,root cap,root,PCMDB:Experimental
AT3G24240,root cap,root,PCMDB:Experimental
AT3G24300,root cap,root,PCMDB:Experimental
AT3G24650,root cap,root,PCMDB:Experimental
AT3G24810,root cap,root,PCMDB:Experimental
AT3G25820,root cap,root,PCMDB:Experimental
AT3G25830,root cap,root,PCMDB:Experimental
AT3G26610,root cap,root,PCMDB:Experimental
AT3G30260,root cap,root,PCMDB:Experimental
AT3G50310,root cap,root,PCMDB:Experimental
AT3G51460,root cap,root,PCMDB:Experimental
AT3G52180,root cap,root,PCMDB:Experimental
AT3G54870,root cap,root,PCMDB:Experimental
AT3G57230,root cap,root,PCMDB:Experimental
AT3G58190,root cap,root,PCMDB:Experimental
AT3G60870,root cap,root,PCMDB:Experimental
AT3G62270,root cap,root,PCMDB:Experimental
AT4G00750,root cap,root,PCMDB:Experimental
AT4G02270,root cap,root,PCMDB:Experimental
AT4G03330,root cap,root,PCMDB:Experimental
AT4G08620,root cap,root,PCMDB:Experimental
AT4G09960,root cap,root,PCMDB:Experimental
AT4G11880,root cap,root,PCMDB:Experimental
AT4G14550,root cap,root,PCMDB:Experimental
AT4G17785,root cap,root,PCMDB:Experimental
AT4G17810,root cap,root,PCMDB:Experimental
AT4G18450,root cap,root,PCMDB:Experimental
AT4G19690,root cap,root,PCMDB:Experimental
AT4G22950,root cap,root,PCMDB:Experimental
AT4G23980,root cap,root,PCMDB:Experimental
AT4G26540,root cap,root,PCMDB:Experimental
AT4G28980,root cap,root,PCMDB:Experimental
AT4G30280,root cap,root,PCMDB:Experimental
AT4G30290,root cap,root,PCMDB:Experimental
AT4G33880,root cap,root,PCMDB:Experimental
AT4G37940,root cap,root,PCMDB:Experimental
AT5G05770,root cap,root,PCMDB:Experimental
AT5G07310,root cap,root,PCMDB:Experimental
AT5G12330,root cap,root,PCMDB:Experimental
AT5G14650,root cap,root,PCMDB:Experimental
AT5G17800,root cap,root,PCMDB:Experimental
AT5G18270,root cap,root,PCMDB:Experimental
AT5G18560,root cap,root,PCMDB:Experimental
AT5G20350,root cap,root,PCMDB:Experimental
AT5G39040,root cap,root,PCMDB:Experimental
AT5G44460,root cap,root,PCMDB:Experimental
AT5G44610,root cap,root,PCMDB:Experimental
AT5G48940,root cap,root,PCMDB:Experimental
AT5G51060,root cap,root,PCMDB:Experimental
AT5G56320,root cap,root,PCMDB:Experimental
AT5G57090,root cap,root,PCMDB:Experimental
AT5G61250,root cap,root,PCMDB:Experimental
AT5G62310,root cap,root,PCMDB:Experimental
AT5G65020,root cap,root,PCMDB:Experimental
AT1G02850,root cortex,root,PCMDB:Experimental
AT1G05570,root cortex,root,PCMDB:Experimental
AT1G08810,root cortex,root,PCMDB:Experimental
AT1G12090,root cortex,root,PCMDB:Experimental
AT1G12845,root cortex,root,PCMDB:Experimental
AT1G13420,root cortex,root,PCMDB:Experimental
AT1G15460,root cortex,root,PCMDB:Experimental
AT1G17300,root cortex,root,PCMDB:Experimental
AT1G20010,root cortex,root,PCMDB:Experimental
AT1G20190,root cortex,root,PCMDB:Experimental
AT1G21100,root cortex,root,PCMDB:Experimental
AT1G21110,root cortex,root,PCMDB:Experimental
AT1G21120,root cortex,root,PCMDB:Experimental
AT1G27030,root cortex,root,PCMDB:Experimental
AT1G29025,root cortex,root,PCMDB:Experimental
AT1G30380,root cortex,root,PCMDB:Experimental
AT1G42550,root cortex,root,PCMDB:Experimental
AT1G44575,root cortex,root,PCMDB:Experimental
AT1G52410,root cortex,root,PCMDB:Experimental
AT1G62510,root cortex,root,PCMDB:Experimental
AT1G64380,root cortex,root,PCMDB:Experimental
AT1G64900,root cortex,root,PCMDB:Experimental
AT1G70280,root cortex,root,PCMDB:Experimental
AT1G76090,root cortex,root,PCMDB:Experimental
AT1G76100,root cortex,root,PCMDB:Experimental
AT2G01520,root cortex,root,PCMDB:Experimental
AT2G02780,root cortex,root,PCMDB:Experimental
AT2G06850,root cortex,root,PCMDB:Experimental
AT2G23170,root cortex,root,PCMDB:Experimental
AT2G32540,root cortex,root,PCMDB:Experimental
AT2G38170,root cortex,root,PCMDB:Experimental
AT2G39010,root cortex,root,PCMDB:Experimental
AT2G43050,root cortex,root,PCMDB:Experimental
AT2G45180,root cortex,root,PCMDB:Experimental
AT2G48020,root cortex,root,PCMDB:Experimental
AT3G12700,root cortex,root,PCMDB:Experimental
AT3G14850,root cortex,root,PCMDB:Experimental
AT3G18170,root cortex,root,PCMDB:Experimental
AT3G21670,root cortex,root,PCMDB:Experimental
AT3G26300,root cortex,root,PCMDB:Experimental
AT3G46700,root cortex,root,PCMDB:Experimental
AT3G51240,root cortex,root,PCMDB:Experimental
AT3G56080,root cortex,root,PCMDB:Experimental
AT4G00700,root cortex,root,PCMDB:Experimental
AT4G09760,root cortex,root,PCMDB:Experimental
AT4G22460,root cortex,root,PCMDB:Experimental
AT4G25350,root cortex,root,PCMDB:Experimental
AT4G32460,root cortex,root,PCMDB:Experimental
AT4G33050,root cortex,root,PCMDB:Experimental
AT4G36670,root cortex,root,PCMDB:Experimental
AT5G02000,root cortex,root,PCMDB:Experimental
AT5G03570,root cortex,root,PCMDB:Experimental
AT5G05270,root cortex,root,PCMDB:Experimental
AT5G07990,root cortex,root,PCMDB:Experimental
AT5G08640,root cortex,root,PCMDB:Experimental
AT5G09440,root cortex,root,PCMDB:Experimental
AT5G11420,root cortex,root,PCMDB:Experimental
AT5G13630,root cortex,root,PCMDB:Experimental
AT5G18840,root cortex,root,PCMDB:Experimental
AT5G19240,root cortex,root,PCMDB:Experimental
AT5G22300,root cortex,root,PCMDB:Experimental
AT5G27350,root cortex,root,PCMDB:Experimental
AT5G38020,root cortex,root,PCMDB:Experimental
AT5G42250,root cortex,root,PCMDB:Experimental
AT5G44130,root cortex,root,PCMDB:Experimental
AT5G48000,root cortex,root,PCMDB:Experimental
AT5G49360,root cortex,root,PCMDB:Experimental
AT5G53370,root cortex,root,PCMDB:Experimental
AT5G55250,root cortex,root,PCMDB:Experimental
AT5G56870,root cortex,root,PCMDB:Experimental
AT5G64620,root cortex,root,PCMDB:Experimental
AT5G65380,root cortex,root,PCMDB:Experimental
AT1G01120,root endodermis,root,PCMDB:Experimental
AT1G01480,root endodermis,root,PCMDB:Experimental
AT1G05260,root endodermis,root,PCMDB:Experimental
AT1G07740,root endodermis,root,PCMDB:Experimental
AT1G09090,root endodermis,root,PCMDB:Experimental
AT1G16390,root endodermis,root,PCMDB:Experimental
AT1G30750,root endodermis,root,PCMDB:Experimental
AT1G35210,root endodermis,root,PCMDB:Experimental
AT1G43020,root endodermis,root,PCMDB:Experimental
AT1G49660,root endodermis,root,PCMDB:Experimental
AT1G60690,root endodermis,root,PCMDB:Experimental
AT1G61590,root endodermis,root,PCMDB:Experimental
AT1G69920,root endodermis,root,PCMDB:Experimental
AT1G69930,root endodermis,root,PCMDB:Experimental
AT1G70130,root endodermis,root,PCMDB:Experimental
AT1G71740,root endodermis,root,PCMDB:Experimental
AT2G15300,root endodermis,root,PCMDB:Experimental
AT2G16580,root endodermis,root,PCMDB:Experimental
AT2G18150,root endodermis,root,PCMDB:Experimental
AT2G21100,root endodermis,root,PCMDB:Experimental
AT2G22000,root endodermis,root,PCMDB:Experimental
AT2G27370,root endodermis,root,PCMDB:Experimental
AT2G28500,root endodermis,root,PCMDB:Experimental
AT2G28670,root endodermis,root,PCMDB:Experimental
AT2G31730,root endodermis,root,PCMDB:Experimental
AT2G32300,root endodermis,root,PCMDB:Experimental
AT2G34310,root endodermis,root,PCMDB:Experimental
AT2G36100,root endodermis,root,PCMDB:Experimental
AT2G38380,root endodermis,root,PCMDB:Experimental
AT2G39430,root endodermis,root,PCMDB:Experimental
