gene,cell_type,tissue,source
AT1G02920,columella,root,PCMDB:Experimental
AT1G03230,columella,root,PCMDB:Experimental
AT1G04600,columella,root,PCMDB:Experimental
AT1G05010,columella,root,PCMDB:Experimental
AT1G10760,columella,root,PCMDB:Experimental
AT1G13530,columella,root,PCMDB:Experimental
AT1G13620,columella,root,PCMDB:Experimental
AT1G14080,columella,root,PCMDB:Experimental
AT1G17400,columella,root,PCMDB:Experimental
AT1G23210,columella,root,PCMDB:Experimental
AT1G48070,columella,root,PCMDB:Experimental
AT1G52690,columella,root,PCMDB:Experimental
AT1G66280,columella,root,PCMDB:Experimental
AT1G67850,columella,root,PCMDB:Experimental
AT1G70940,columella,root,PCMDB:Experimental
AT1G71140,columella,root,PCMDB:Experimental
AT1G74010,columella,root,PCMDB:Experimental
AT2G02130,columella,root,PCMDB:Experimental
AT2G04025,columella,root,PCMDB:Experimental
AT2G18230,columella,root,PCMDB:Experimental
AT2G21610,columella,root,PCMDB:Experimental
AT2G28900,columella,root,PCMDB:Experimental
AT2G36950,columella,root,PCMDB:Experimental
AT2G38230,columella,root,PCMDB:Experimental
AT2G43000,columella,root,PCMDB:Experimental
AT2G44080,columella,root,PCMDB:Experimental
AT3G16430,columella,root,PCMDB:Experimental
AT3G16450,columella,root,PCMDB:Experimental
AT3G18230,columella,root,PCMDB:Experimental
AT3G19430,columella,root,PCMDB:Experimental
AT3G22910,columella,root,PCMDB:Experimental
AT3G23060,columella,root,PCMDB:Experimental
AT3G29810,columella,root,PCMDB:Experimental
AT3G44240,columella,root,PCMDB:Experimental
AT3G47800,columella,root,PCMDB:Experimental
AT3G52890,columella,root,PCMDB:Experimental
AT3G55180,columella,root,PCMDB:Experimental
AT3G57160,columella,root,PCMDB:Experimental
AT3G60140,columella,root,PCMDB:Experimental
AT3G60650,columella,root,PCMDB:Experimental
AT3G61930,columella,root,PCMDB:Experimental
AT3G62320,columella,root,PCMDB:Experimental
AT4G01750,columella,root,PCMDB:Experimental
AT4G09020,columella,root,PCMDB:Experimental
AT4G10500,columella,root,PCMDB:Experimental
AT4G15530,columella,root,PCMDB:Experimental
AT4G20780,columella,root,PCMDB:Experimental
AT4G23590,columella,root,PCMDB:Experimental
AT4G27400,columella,root,PCMDB:Experimental
AT4G28720,columella,root,PCMDB:Experimental
AT4G37370,columella,root,PCMDB:Experimental
AT4G37870,columella,root,PCMDB:Experimental
