tissue,genotype,group,cond,label
Root,COL00,FLRoot,FL,FLRoot_COL00_1
Shoot,COL00,FLShoot,FL,FLShoot_COL00_1
Root,COL00,GCRoot,GC,GCRoot_COL00_1
Shoot,COL00,GCShoot,GC,GCShoot_COL00_1
Root,CAX22,FLRoot,FL,FLRoot_CAX22_1
Shoot,CAX22,FLShoot,FL,FLShoot_CAX22_1
Root,CAX22,GCRoot,GC,GCRoot_CAX22_1
Shoot,CAX22,GCShoot,GC,GCShoot_CAX22_1
Root,CAX23,FLRoot,FL,FLRoot_CAX23_1
Shoot,CAX23,FLShoot,FL,FLShoot_CAX23_1
Root,CAX23,FLRoot,FL,FLRoot_CAX23_2
Shoot,CAX23,FLShoot,FL,FLShoot_CAX23_2
Root,CAX23,GCRoot,GC,GCRoot_CAX23_2
Shoot,CAX23,GCShoot,GC,GCShoot_CAX23_2
Root,CAX23,FLRoot,FL,FLRoot_CAX23_3
Shoot,CAX23,FLShoot,FL,FLShoot_CAX23_3
Root,CAX23,GCRoot,GC,GCRoot_CAX23_3
Shoot,CAX23,GCShoot,GC,GCShoot_CAX23_3
Root,CAX22,FLRoot,FL,FLRoot_CAX22_2
Shoot,CAX22,FLShoot,FL,FLShoot_CAX22_2
Root,CAX22,GCRoot,GC,GCRoot_CAX22_2
Shoot,CAX22,GCShoot,GC,GCShoot_CAX22_2
Root,COL00,FLRoot,FL,FLRoot_COL00_2
Shoot,COL00,FLShoot,FL,FLShoot_COL00_2
Root,COL00,GCRoot,GC,GCRoot_COL00_2
Shoot,COL00,GCShoot,GC,GCShoot_COL00_2
Root,CAX23,FLRoot,FL,FLRoot_CAX23_4
Shoot,CAX23,FLShoot,FL,FLShoot_CAX23_4
Root,CAX23,GCRoot,GC,GCRoot_CAX23_4
Shoot,CAX23,GCShoot,GC,GCShoot_CAX23_4
Root,CAX22,FLRoot,FL,FLRoot_CAX22_3
Shoot,CAX22,FLShoot,FL,FLShoot_CAX22_3
Root,CAX22,GCRoot,GC,GCRoot_CAX22_3
Shoot,CAX22,GCShoot,GC,GCShoot_CAX22_3
Root,COL00,FLRoot,FL,FLRoot_COL00_3
Shoot,COL00,FLShoot,FL,FLShoot_COL00_3
Root,COL00,GCRoot,GC,GCRoot_COL00_3
Shoot,COL00,GCShoot,GC,GCShoot_COL00_3
Root,COL00,FLRoot,FL,FLRoot_COL00_4
Shoot,COL00,FLShoot,FL,FLShoot_COL00_4
Root,COL00,GCRoot,GC,GCRoot_COL00_4
Shoot,COL00,GCShoot,GC,GCShoot_COL00_4
Root,CAX22,FLRoot,FL,FLRoot_CAX22_4
Root,CAX22,GCRoot,GC,GCRoot_CAX22_4
Shoot,CAX22,FLShoot,FL,FLShoot_CAX22_4
Shoot,CAX22,GCShoot,GC,GCShoot_CAX22_4
