COL00 Root	COL00 Shoot	CAX22 Root	CAX22 Shoot	RBOHD Root	COL00 Root|COL00 Shoot	COL00 Root|CAX22 Root	COL00 Root|CAX22 Shoot	COL00 Root|RBOHD Root	COL00 Shoot|CAX22 Root	COL00 Shoot|CAX22 Shoot	COL00 Shoot|RBOHD Root	CAX22 Root|CAX22 Shoot	CAX22 Root|RBOHD Root	CAX22 Shoot|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Root	COL00 Root|COL00 Shoot|RBOHD Root	COL00 Root|CAX22 Root|RBOHD Root	COL00 Root|CAX22 Shoot|RBOHD Root	COL00 Shoot|CAX22 Root|RBOHD Root	COL00 Shoot|CAX22 Shoot|RBOHD Root	CAX22 Root|CAX22 Shoot|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot	COL00 Root|COL00 Shoot|CAX22 Root|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Shoot|RBOHD Root	COL00 Root|CAX22 Root|CAX22 Shoot|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Root	RBOHD Shoot	RBOHD Root|RBOHD Shoot	CAX22 Shoot|RBOHD Shoot	CAX22 Shoot|RBOHD Root|RBOHD Shoot	CAX22 Root|RBOHD Shoot	CAX22 Root|CAX22 Shoot|RBOHD Shoot	COL00 Shoot|RBOHD Shoot	COL00 Shoot|RBOHD Root|RBOHD Shoot	COL00 Shoot|CAX22 Shoot|RBOHD Shoot	COL00 Shoot|CAX22 Root|RBOHD Shoot	COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Shoot	COL00 Root|RBOHD Shoot	COL00 Root|RBOHD Root|RBOHD Shoot	COL00 Root|CAX22 Shoot|RBOHD Shoot	COL00 Root|CAX22 Shoot|RBOHD Root|RBOHD Shoot	COL00 Root|CAX22 Root|RBOHD Shoot	COL00 Root|CAX22 Root|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|RBOHD Shoot	COL00 Root|COL00 Shoot|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Shoot|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Root|RBOHD Shoot
AT1G21140	AT5G59310	AT2G26580	AT3G45700	AT5G41750				AT5G48175																			AT4G25140						AT1G12520																	
AT2G32860	AT1G71390	AT2G26580	AT3G32980	AT5G45095				AT4G37160																			AT3G15240						AT1G12520																	
AT4G01970	AT4G00700	AT3G46780	AT5G62340	AT1G53640				AT5G07560																			AT5G35940						AT2G19800																	
AT4G23370	AT5G07650	AT5G21430	AT3G24540	AT2G41850				AT1G02230																			AT3G45990						AT1G12520																	
AT4G01430	AT3G57240	AT5G21430	AT5G04970	AT2G29110				AT5G52260																			AT5G66220						AT4G23320																	
AT3G42550	ATCG00860	AT5G15780	AT5G57090	AT3G07250				AT5G38100																			AT1G29025						AT2G22860																	
AT3G42386	AT3G54040	AT4G12800	AT5G44575	AT3G30393				AT5G64110																			AT5G26260						AT3G45520																	
AT3G43684	AT5G44380	AT1G72610	AT4G19320	AT5G18350				AT3G28345																			AT5G09360						ATMG01260																	
AT5G20470	AT1G51860	AT1G19150		AT1G25886				AT5G51870																			AT5G09560						AT5G24380																	
AT3G54940	AT2G47000	AT1G24967		AT5G21110				AT5G38100																			AT5G39580						AT4G25110																	
AT2G22955	AT3G46330	AT1G67090		AT5G55770				AT1G62420																			AT3G02670						AT4G25110																	
AT3G26820	AT3G49120	AT1G67090		AT2G16005				AT4G22210																			AT5G39580						AT2G47130																	
AT2G30540	AT5G57480	AT1G24881		AT5G33395				AT1G63560																			AT1G54870						AT2G32160																	
AT1G48800	AT1G02580	AT1G12900		AT3G48510				AT5G23660																			AT3G48630						AT2G32160																	
AT2G32860	AT4G14390	AT5G45950		AT3G46250				AT2G14210																			AT5G28640						AT2G32160																	
AT3G54070	AT2G38940	AT1G12900		AT1G28170				AT5G23990																			AT3G25780						AT2G39330																	
AT3G42385	AT2G46750	AT1G12900		AT4G13700				AT2G39400																			AT5G54070						AT1G78350																	
AT3G42431	AT1G05700	AT1G12900		AT1G76680				AT2G04070																			AT1G48220						AT5G04150																	
AT3G42445	AT3G29250	AT1G03130		AT3G51860				AT1G21320																			AT1G02340						AT1G08630																	
AT2G15500	ATCG00890	AT5G45820		AT5G46610				AT1G45020																			AT5G18010						AT1G08630																	
AT1G59077	AT1G21550	AT3G26280		AT5G46610				AT2G04040																			AT2G47140						AT1G08630																	
AT1G59030	AT3G61500	AT2G45190		AT1G76680				AT5G50760																			AT3G14530						AT1G74190																	
AT1G65790	AT1G75750	AT1G32060		AT3G60100				AT3G48740																			AT5G44420						AT1G08630																	
AT2G22942	AT1G55790	AT5G27360		AT4G28620				AT5G57220																			AT1G63650						AT1G08630																	
AT4G01060	AT1G75750	AT4G08870		AT2G19060				AT5G25460																			AT1G63650						AT1G15380																	
AT4G01390	AT1G50735	AT1G24851		AT1G77760				AT3G25190																			AT3G57510						AT1G15380																	
AT5G60910	AT3G43850	AT3G26740		ATMG00180				AT3G14620																			AT1G58225						AT5G61320																	
AT3G42065	AT1G20070	AT4G05180		AT1G49030				AT1G61130																			AT4G01080						AT5G67450																	
AT3G42148	AT5G01490	AT5G63180		AT2G20070				AT3G19430																			AT1G07540						AT5G45380																	
AT3G42178	AT1G13750	AT2G45180		AT4G11340				AT1G65485																			AT1G33320						ATMG01210																	
AT3G42182	AT1G30900	AT3G61470		AT1G51820				AT2G24720																			AT1G63650						AT3G55870																	
AT3G42186	AT4G09770	AT1G24879		AT1G13310				AT1G45030																			AT3G44510						AT5G13220																	
AT3G42230	AT4G09770	AT1G53480		AT1G49370				AT2G45550																			AT3G44510						AT5G47330																	
AT3G42236	AT3G25882	AT1G55670		AT4G28350				AT2G34350																			AT5G54075						AT1G78360																	
AT3G42245	AT5G53110	AT1G08380		AT2G15220				AT1G21320																			AT5G36180						AT3G45060																	
AT3G42253	AT1G67520	AT4G08870		AT5G46610				AT5G43450																			AT2G11810						AT4G26260																	
AT3G42255	AT1G76930	AT5G39210		AT1G55230				AT5G01900																			AT2G11810						AT4G26260																	
AT3G42256	AT5G48657	AT5G50790		AT3G63360				AT3G29767																			AT2G28780						AT1G33950																	
AT3G42257	AT2G32660	AT5G54270		AT1G02530				AT5G16970																			AT2G27880						AT1G33950																	
AT3G42258	AT3G22800	AT1G29930		AT5G36140				AT2G38920																			AT2G28790						AT5G45840																	
AT3G42260	AT1G77640	AT3G54050		AT5G49690				AT2G38920																			AT5G03860						AT3G19390																	
AT3G42270	AT1G76930	AT3G48720		AT1G31960				AT2G38920																			AT5G03860						AT5G06570																	
AT3G42305	AT1G67265	AT3G54050		AT2G22122				AT2G32960																			AT2G45135						AT5G13220																	
AT3G42313	AT3G02240	AT2G29300		AT1G71520				AT5G45120																			AT2G23060						AT5G45840																	
AT3G42316	AT3G26440	AT5G45680		AT5G55080				AT3G02620																			AT4G12440						AT5G13220																	
AT3G42420	AT3G26440	AT2G21330		AT3G01600				AT2G31085																			AT4G12440						AT5G13220																	
AT3G42432	AT5G01550	AT2G21330		AT1G23160				AT3G13840																			AT5G42645																							
AT3G42433	AT4G04990	AT3G11920		AT2G36690				AT4G21990																			AT3G23550																							
AT3G42438	AT4G04490	AT3G11165		AT3G16440				AT2G30140																			AT5G19600																							
AT3G42470	AT3G57380	AT5G25040		AT3G47270				AT2G30140																			AT5G52000																							
AT3G42471	AT1G16150	AT5G25040		AT2G02110				AT4G21990																			AT2G19803																							
AT3G42472	AT4G20110	AT5G25040		AT5G42591				AT1G60470																			AT3G05450																							
AT3G42474	AT4G20110	AT2G21330		ATMG00630				AT4G40070																			AT4G20450																							
AT3G42475	AT2G34940	AT3G16140		AT3G51135				AT1G65390																			AT3G19090																							
AT3G42476	AT4G18360	AT3G06880		AT4G21640				AT1G73220																			AT4G20970																							
AT3G42478	AT3G26440	AT4G23290		AT1G57690				AT4G12170																			AT3G27970																							
AT3G42480	AT3G45130	AT1G72600		AT4G19925				AT5G08000																			AT2G07620																							
AT3G42535	AT1G68150	AT5G48490		AT1G64240				AT1G65390																			AT1G35910																							
AT3G42542	AT2G33830	AT3G11980		AT1G76135				AT1G29740																			AT5G55420																							
AT3G42115	AT2G28960	AT1G15980		AT2G39320				AT4G24040																			AT3G57520																							
AT3G42120	AT2G33830	AT1G06360		AT4G35650				AT1G12110																			AT3G57520																							
AT3G42179	AT1G35140	AT5G44580		AT1G51750				AT5G66400																			AT1G54020																							
AT3G42181	AT3G26440	AT3G06880		AT5G07200				AT5G66400																			AT1G54020																							
AT3G42203	AT5G42900	AT4G23290		AT5G10420				AT5G47560																			AT1G54020																							
AT3G42206	AT5G42900	AT4G22485		AT1G05250				AT5G61890																			AT1G54000																							
AT3G42220	AT4G18360	AT1G75460		AT5G58170				AT3G25790																			AT3G57520																							
AT3G42233	AT5G54040	AT1G21500		AT4G10540				AT3G26220																			AT5G26320																							
AT3G42250	AT5G42900	AT1G20020		AT3G44950				AT1G01580																			AT1G74670																							
AT3G42251	AT5G19470	AT1G20020		AT3G60328				AT2G22630																																										
AT3G42252	AT3G05720	AT1G20020		AT4G09740				AT3G47420																																										
AT3G42280	AT4G25070	AT3G48200		AT1G65860				AT5G20150																																										
AT3G42356	AT4G05020	AT3G21055		AT5G45113				AT1G54575																																										
AT3G42360	AT5G10760	AT3G08940		AT2G16586				AT1G30260																																										
AT4G01060	AT4G05020	AT2G29300		AT4G09110				AT1G78340																																										
AT3G43550	AT5G45080	AT3G08940		AT3G06665				AT4G18170																																										
AT4G01060	AT1G34390	AT4G16880		AT2G29605				AT1G48000																																										
AT3G47040	AT4G25070	AT1G22690		AT5G59260				AT1G29290																																										
AT2G29470	ATMG00960	AT2G07772		AT1G71150				AT2G17040																																										
AT1G59312	AT5G67340	AT1G09310		AT5G26120				AT1G13300																																										
AT3G47040	AT5G19470	AT4G19430		AT3G12900				AT2G46495																																										
AT1G24575	AT1G74590	AT3G12203		AT2G04063				AT4G22610																																										
AT3G16360	AT3G45970	AT3G11160		AT1G05675				AT3G44300																																										
AT3G25730	AT5G46950	AT4G15320		AT2G31550				AT3G43190																																										
AT1G58725	AT2G31020	AT5G64770		AT3G02040				AT1G73120																																										
AT1G58766	AT3G29250	AT1G61520		AT1G36630				AT1G44030																																										
AT4G01340	AT4G18430	AT4G10340		AT3G45280				AT4G19690																																										
AT4G24204	AT5G15500	AT1G61520		AT2G42470				AT4G19690																																										
AT4G24204	AT1G35710	AT1G20340		AT5G24440				AT5G52300																																										
AT5G60910	AT5G14230	AT1G61520		AT5G57123				AT5G52300																																										
AT3G47540	AT4G37370	AT2G07768		AT4G29905				AT4G36220																																										
AT3G47540	AT4G03460	AT3G28070		AT4G00872				AT4G18205																																										
AT1G78460	AT4G15417	AT3G11300		AT2G05450				AT3G48640																																										
AT2G44070	AT2G44240	AT4G14400		AT3G11150				AT1G61560																																										
AT1G74820	AT2G46880	AT3G16600		AT3G11402				AT1G61560																																										
AT4G22460	AT1G17020	AT3G59060		AT2G35080				AT4G12545																																										
AT4G17718	AT1G19610	AT3G48420		AT3G28210				AT1G61560																																										
AT2G13910	AT4G22100	AT2G07672		AT5G16960				AT5G42580																																										
AT1G58643	AT5G54610	AT2G07684		AT3G10720				AT1G77990																																										
AT1G25175	AT4G16563	AT2G07752		AT1G13500				AT1G61560																																										
AT3G08040	AT1G32940	AT2G07743		AT1G27020				AT2G02450																																										
AT3G50610	AT5G45000	AT2G07745		AT5G42230				AT5G60250																																										
AT3G08040	AT5G15500	AT2G07753		AT3G22910				AT5G47000																																										
AT2G16680	AT4G14130	AT2G07778		AT2G05400				AT5G36700																																										
AT5G02000	ATMG00730	AT1G62630		AT5G56325				AT5G36700																																										
AT5G46880	AT5G45090	AT5G51720		AT3G01080				AT5G25250																																										
AT5G50680	AT2G44790	AT2G07769		AT2G02240				AT1G07560																																										
AT5G50680	AT2G46880	AT2G07673		AT1G71890				AT4G14365																																										
AT4G24204	AT1G51915	AT2G07746		AT4G22530				AT1G19530																																										
AT5G53510	AT3G61721	AT3G59060		AT3G47740				AT5G14565																																										
AT4G31380	AT3G61723	AT3G59060		AT5G22580				AT1G11920																																										
AT1G65810	AT1G68450	AT2G07748		AT1G16410				AT1G33817																																										
AT1G65810	AT5G48657	AT2G39730						AT2G02450																																										
AT5G06905	AT1G17745	AT2G39730						AT3G46270																																										
AT4G25010	AT2G39200	AT2G07686						AT4G01700																																										
AT5G24160	AT1G17745	AT3G19850						AT4G15760																																										
AT2G43920	AT2G27660	AT2G39730						AT5G36700																																										
AT2G43920	AT1G17744	AT2G07681						AT4G15760																																										
AT5G15180	AT5G40010	AT3G59060						AT4G14780																																										
AT4G31950	AT2G39520	AT2G15050						AT1G32970																																										
AT3G30725	AT5G62150	AT1G56510						AT2G33880																																										
AT3G21380	AT4G21840	AT2G07683						AT5G24660																																										
AT4G36570	AT4G21120	AT4G16990						AT1G65483																																										
AT2G16380	AT1G45145	AT4G16990						AT2G39380																																										
AT1G72900	AT3G48650	AT4G17245						AT2G41730																																										
AT4G23250	AT5G24240	AT3G47470						AT5G51860																																										
AT1G15610	AT4G16260	AT4G16990						AT5G51860																																										
AT1G15610	AT1G51800	AT4G16990						AT2G24710																																										
AT1G66783	AT1G34100	AT4G16990						AT1G77992																																										
AT5G50700	AT2G40740	AT5G04530						AT1G25155																																										
AT3G43490	AT2G04100	AT1G68600						AT5G36700																																										
AT3G43680	AT3G12220	AT1G22690						AT4G01870																																										
AT5G27200	AT1G56120	AT2G22990						AT1G52690																																										
AT5G13130	AT4G02170	AT4G14400						AT5G14570																																										
AT1G03890	AT2G18180	AT2G22990						AT4G00390																																										
AT4G40065	AT5G12880	AT2G22990						AT4G28520																																										
AT5G60060	AT2G32290	AT2G22990						AT4G28520																																										
AT5G02380	AT1G36640	AT2G30570						AT4G28520																																										
AT3G43390	AT2G34210	AT2G15050						AT4G28520																																										
AT1G67160	AT4G14450	AT2G22990						AT1G60750																																										
AT2G16740	AT1G04600	ATCG00490						AT5G26270																																										
AT1G32040	AT4G13180	AT2G22990						AT4G18197																																										
AT1G72930	AT4G24980	AT3G29030						AT4G14368																																										
AT1G72930	AT4G03450	AT1G23930						AT2G23010																																										
AT2G12480	ATCG00460	AT4G14400						AT2G23010																																										
AT2G12480	AT2G34300	AT1G30380						AT1G52690																																										
AT1G21100	AT2G17050	AT4G37980						AT5G27600																																										
AT5G47550	AT1G57590	AT3G28070						AT1G22500																																										
AT5G44570	AT4G10860	AT4G23300						AT2G20800																																										
AT5G41280	AT2G34300	AT2G15050						AT3G10720																																										
AT1G62510	AT5G53990	AT5G03120						AT2G36110																																										
AT3G61400	AT1G38065	AT2G34420						AT5G36870																																										
AT3G16360	AT4G36850	AT4G06498						AT1G21250																																										
AT5G39030	AT3G61280	AT3G54830						AT5G15360																																										
AT3G28600	AT1G79450	AT2G03750						AT1G66090																																										
AT5G45850	AT1G79450	AT4G38860						AT4G23560																																										
AT1G20657	AT1G70170	AT1G22690						AT5G62330																																										
AT2G22941	AT1G47405	AT3G16130						AT4G04745																																										
AT4G23550	AT3G59350	AT5G04140						AT2G29500																																										
AT3G42090	ATMG00810	AT5G04140						AT3G15370																																										
AT4G15350	AT3G55890	AT5G28520						AT5G51500																																										
AT5G47900	AT3G45330	AT4G00180						AT5G44574																																										
AT5G47900	AT3G61280	AT4G00180						AT4G15330																																										
AT5G47900	AT1G69720	AT1G62940						AT1G65483																																										
AT1G63750	AT5G60900	AT2G23170						AT1G76620																																										
AT1G16910	AT1G69720	AT3G16660						AT1G57780																																										
AT1G63750	AT4G25190	AT1G29720						AT5G66780																																										
AT4G34250	AT4G25190	AT4G22490																																																
AT1G63750	AT5G65600	AT2G14560																																																
AT4G15700	AT5G44610	AT1G76100																																																
AT5G38096	AT1G77100	AT3G28080																																																
AT2G14510	AT2G47270	AT5G23790																																																
AT3G46800	AT4G31000	AT3G28070																																																
AT4G25830	AT4G37900	AT4G17810																																																
AT3G23240	AT2G44380	AT2G07707																																																
AT5G26250	AT4G18990	AT3G47250																																																
AT1G09935	AT3G59350	AT2G41090																																																
AT2G03710	AT3G59350	AT2G35370																																																
AT2G44340	AT1G44830	AT2G05520																																																
AT3G26190	AT4G04500	AT5G13730																																																
AT1G13080	AT2G14230	AT3G55800																																																
AT3G42057	AT3G61910	AT2G04039																																																
AT1G13080	AT3G22080	AT2G04039																																																
AT3G42054	AT3G44540	AT1G31330																																																
AT3G42545	AT3G58550	AT4G21445																																																
AT5G50160	AT5G08240	AT4G20530																																																
AT2G32310	AT4G37520	AT4G20540																																																
AT5G35965	AT3G62170	AT4G20550																																																
AT4G10010	AT4G31000	AT4G20560																																																
AT3G42086	AT2G15960	AT4G20570																																																
AT3G42353	AT3G26210	AT4G20580																																																
AT3G42434	AT4G08040	AT4G20590																																																
AT3G23460	AT1G36060	AT4G20600																																																
AT5G16530	AT3G05790	AT4G20610																																																
AT2G22760	AT4G11655	AT4G20620																																																
AT2G32310	AT4G37520	AT4G20630																																																
AT1G33100	AT3G57160	AT4G20640																																																
AT2G22950	AT2G46860	AT2G04039																																																
AT5G54050	AT5G07450	AT2G05520																																																
AT5G56795	AT2G45245	AT2G05520																																																
AT2G03710	AT2G34930	AT3G28080																																																
AT2G03710	AT3G44540	AT3G47250																																																
AT3G10870	AT4G19810	AT3G47250																																																
AT5G47900	AT5G55893	AT1G15820																																																
AT2G24000	AT3G23380	AT3G28080																																																
AT1G52050	AT2G03360	AT2G05520																																																
AT1G06080	AT2G03360	AT2G05520																																																
AT3G15990	AT1G30660	AT2G30650																																																
AT5G09978	AT2G40740	AT4G23200																																																
AT2G05410	AT4G18250	AT2G05520																																																
AT5G42610	AT1G61080	AT1G54820																																																
AT5G39610	AT5G62480	AT5G64040																																																
AT2G43610	AT1G02220	AT4G21280																																																
AT3G09680	AT1G47840	AT4G21280																																																
AT2G43580	AT4G03570	AT5G64040																																																
AT5G24640	AT1G18980	AT2G37010																																																
AT1G68190	AT2G37980	AT5G01530																																																
AT3G09380	AT3G23180	AT4G38970																																																
AT1G29460	AT1G70920	AT4G38970																																																
AT5G53790	AT4G35170	AT1G18730																																																
AT1G33813	AT2G38544	AT5G33370																																																
AT1G25988	AT2G42060	AT5G33370																																																
AT2G43920	AT3G03530	AT1G18730																																																
AT4G17030	AT5G07700	AT4G37925																																																
AT5G03840	AT2G44480	AT1G18730																																																
AT1G60050	AT5G13740	AT2G38540																																																
AT4G17210	AT4G39250	AT3G28270																																																
AT2G15555	AT2G32830	AT3G28270																																																
AT2G21900	AT3G55150	AT1G56520																																																
AT2G31180	AT4G21903	AT1G56520																																																
AT4G22517	AT4G39950	AT2G07675																																																
AT5G59320	AT1G17860	AT1G18730																																																
AT2G43730	AT3G15720	AT4G02770																																																
AT2G23960	AT1G13530	AT2G14560																																																
AT1G76800	AT4G27220	AT4G19530																																																
AT3G59900	AT5G57560	AT1G54040																																																
AT2G24000	AT5G62240	AT4G20650																																																
AT3G17180	AT2G26290	AT1G22120																																																
AT5G07990	AT3G47780	AT4G20520																																																
AT4G14060	AT3G15720	AT1G67740																																																
AT3G43340	AT2G36020	AT4G15300																																																
AT3G43470	AT5G11220	AT5G59130																																																
AT3G43682	AT4G18940	AT5G59130																																																
AT3G43760	AT1G73000	AT1G66940																																																
AT5G22530	AT4G23230	AT1G12340																																																
AT4G25760	AT5G16170	AT2G36792																																																
AT5G39000	AT3G62245	AT3G11310																																																
AT3G59720	AT5G62480	AT1G66940																																																
AT5G26270	AT3G29639	AT1G66940																																																
AT2G44290	AT2G44480	AT3G63140																																																
AT2G47040	AT5G06730	AT1G68010																																																
AT2G22940	AT5G41380	AT2G07708																																																
AT1G02790	AT3G23630	AT1G68010																																																
AT2G28755	AT1G15640	AT4G03280																																																
AT1G34050	AT1G74770	AT1G42970																																																
AT1G03720	AT5G41730	AT4G00970																																																
AT2G43600	AT1G78000	AT1G71290																																																
AT1G48980	AT5G43520	AT1G33811																																																
AT1G48980	AT4G20210	AT2G44920																																																
AT1G48980	AT3G25180	AT3G24140																																																
AT1G48980	AT1G31290	AT1G14150																																																
AT5G14400	AT2G36255	AT4G13810																																																
AT1G19900	AT1G78000	AT2G44920																																																
AT1G69880	AT5G17330	AT4G37980																																																
AT5G63850	ATMG00830	AT4G20510																																																
AT3G17520	AT3G20370	AT2G36792																																																
AT1G68390	AT1G75040	AT1G65190																																																
AT5G27895	AT3G09960	AT2G36790																																																
AT1G02070	AT2G19802	AT4G03280																																																
AT4G00080	AT3G15536	AT1G68520																																																
AT3G30852	AT3G43670	AT3G25820																																																
AT1G03710	AT4G21903	AT3G48310																																																
AT1G03710	AT1G09560	AT4G38840																																																
AT2G22750	AT1G74360	AT4G09960																																																
AT2G02830	AT4G03640	AT1G59725																																																
AT3G28917	AT3G51340	AT2G07699																																																
AT1G52695	AT5G66053	AT2G46820																																																
AT5G15380	AT5G52760	AT2G46820																																																
AT2G36770	AT4G02520	AT1G68780																																																
AT3G52970	AT1G73780	AT2G31030																																																
AT3G29252	AT5G06200	AT5G58390																																																
AT5G10570	AT1G52940	AT4G13810																																																
AT5G53640	AT4G05475	AT2G07696																																																
AT3G43370	AT4G21370	AT4G10520																																																
AT5G02370	AT3G48360	AT5G56770																																																
AT3G52970	AT5G61550	AT5G02160																																																
AT4G04840	AT5G61550	AT1G63060																																																
AT3G42174	AT5G51000	AT1G54040																																																
AT4G33560	AT1G09240	AT1G63190																																																
AT3G03660		AT5G60970																																																
AT4G25200		AT3G11180																																																
AT5G50550		AT4G22505																																																
AT4G15680		AT2G05640																																																
AT3G03660		AT4G01980																																																
AT4G02160		ATCG00020																																																
AT5G24410		AT1G75690																																																
AT3G44755		AT1G07180																																																
AT5G10625		AT1G12600																																																
AT5G41290		AT5G54630																																																
AT5G40212		AT5G07310																																																
AT2G39010		AT5G54370																																																
AT2G23130		AT1G19060																																																
AT2G37130		AT2G07806																																																
AT3G50460		AT1G29670																																																
AT1G03790		AT4G09200																																																
		AT4G35670																																																
		AT2G28490																																																
		AT3G20210																																																
		AT5G53490																																																
		AT1G03600																																																
		AT3G22231																																																
		AT3G11180																																																
		AT5G45830																																																
		AT3G25770																																																
		AT1G31690																																																
		AT1G63360																																																
		AT1G58602																																																
		AT2G07685																																																
		AT4G09960																																																
		AT2G29090																																																
		AT3G26180																																																
		AT5G10250																																																
		AT2G26500																																																
		AT5G23060																																																
		AT5G37160																																																
		AT5G38940																																																
		AT2G46190																																																
		AT3G62410																																																
		AT1G71280																																																
		AT5G61120																																																
		AT3G47750																																																
		AT5G60880																																																
		AT4G21020																																																
		AT3G55330																																																
		AT3G51810																																																
		AT1G36922																																																
		AT4G10250																																																
		AT1G63200																																																
		AT1G63205																																																
		AT1G63206																																																
		AT2G07806																																																
		AT1G25440																																																
		AT1G66980																																																
		AT5G61520																																																
		AT4G10060																																																
		AT2G19360																																																
		AT1G29440																																																
		AT2G04580																																																
		AT2G07708																																																
		AT4G23030																																																
		AT3G61290																																																
		AT3G26650																																																
		AT2G01560																																																
		AT1G09340																																																
		AT1G13650																																																
		AT4G33860																																																
		AT1G58561																																																
		AT3G21950																																																
		AT2G37025																																																
		AT2G07721																																																
		AT3G25820																																																
		AT2G07713																																																
		AT2G15040																																																
