CAX22ROOTFL-CAX22ROOTGC,CAX22ROOTFL-CAX22ROOTGC,CAX22ROOTGC-COL00ROOTGC,CAX22ROOTGC-COL00ROOTGC,CAX22SHOOTFL-CAX22SHOOTGC,CAX22SHOOTFL-CAX22SHOOTGC,CAX22SHOOTGC-COL00SHOOTGC,CAX22SHOOTGC-COL00SHOOTGC,CAX23ROOTFL-CAX23ROOTGC,CAX23ROOTFL-CAX23ROOTGC,CAX23ROOTGC-COL00ROOTGC,CAX23ROOTGC-COL00ROOTGC,CAX23SHOOTFL-CAX23SHOOTGC,CAX23SHOOTFL-CAX23SHOOTGC,CAX23SHOOTGC-COL00SHOOTGC,CAX23SHOOTGC-COL00SHOOTGC,COL00ROOTFL-COL00ROOTGC,COL00ROOTFL-COL00ROOTGC,COL00SHOOTFL-COL00SHOOTGC,COL00SHOOTFL-COL00SHOOTGC
"UP, 180 genes","Down, 0 genes","UP, 12 genes","Down, 113 genes","UP, 7 genes","Down, 4 genes","UP, 53 genes","Down, 121 genes","UP, 352 genes","Down, 459 genes","UP, 16 genes","Down, 13 genes","UP, 325 genes","Down, 45 genes","UP, 18 genes","Down, 143 genes","UP, 204 genes","Down, 90 genes","UP, 299 genes","Down, 33 genes"
AT1G01140,,AT1G24270,AT1G02250,AT1G04800,AT1G17300,AT1G13635,AT1G01130,AT1G01460,AT1G04350,AT1G29660,AT1G43590,AT1G01340,AT1G08430,AT1G18140,AT1G01130,AT1G01580,AT1G07550,AT1G01680,AT1G02620
AT1G03130,,AT1G29810,AT1G04110,AT2G18370,AT2G39518,AT1G26290,AT1G05575,AT1G01680,AT1G05575,AT1G29810,AT2G01029,AT1G01480,AT1G12520,AT1G29810,AT1G02400,AT1G01680,AT1G08430,AT1G02220,AT1G08430
AT1G06360,,AT2G01422,AT1G04920,AT3G01260,AT3G59220,AT1G29810,AT1G08315,AT1G02230,AT1G06090,AT1G29920,AT2G02120,AT1G01680,AT1G22470,AT1G52530,AT1G02520,AT1G02230,AT1G16910,AT1G02360,AT1G19540
AT1G07180,,AT2G05350,AT1G07795,AT3G28550,AT4G13420,AT1G30700,AT1G11740,AT1G02450,AT1G06120,AT2G01422,AT2G05995,AT1G02230,AT1G22500,AT1G58340,AT1G02900,AT1G02450,AT1G19390,AT1G02450,AT1G20070
AT1G14150,,AT2G44590,AT1G09930,AT3G54580,,AT1G54890,AT1G18200,AT1G02850,AT1G06360,AT2G01590,AT2G06002,AT1G02360,AT1G45616,AT1G77960,AT1G06800,AT1G02850,AT1G22380,AT1G02520,AT1G21550
AT1G14880,,AT3G28899,AT1G11340,AT3G58550,,AT1G65690,AT1G19020,AT1G04330,AT1G07050,AT3G55240,AT2G12385,AT1G02450,AT1G57590,AT2G01422,AT1G07090,AT1G02930,AT1G30260,AT1G05700,AT1G22490
AT1G15980,,AT3G30720,AT1G11590,AT4G29020,,AT1G66700,AT1G19190,AT1G04380,AT1G07460,AT4G14548,AT2G12390,AT1G02520,AT1G62440,AT2G21060,AT1G08090,AT1G05650,AT1G33100,AT1G05880,AT1G30860
AT1G16410,,AT4G09875,AT1G11990,,,AT1G73260,AT1G20500,AT1G05650,AT1G07550,AT4G16880,AT3G33528,AT1G03800,AT1G67105,AT3G23450,AT1G08315,AT1G05880,AT1G44030,AT1G08310,AT1G34100
AT1G17710,,AT5G18910,AT1G16230,,,AT2G01422,AT1G20823,AT1G05680,AT1G07560,AT5G14740,AT3G42658,AT1G07900,AT1G70080,AT3G44570,AT1G13470,AT1G08090,AT1G45015,AT1G08320,AT1G44830
AT1G19150,,AT5G24915,AT1G17420,,,AT2G29460,AT1G24140,AT1G05880,AT1G07620,AT5G15360,AT4G16892,AT1G08090,AT1G73325,AT4G14548,AT1G19020,AT1G08165,AT1G45020,AT1G11120,AT1G57590
AT1G19960,,AT5G28335,AT1G19020,,,AT2G29490,AT1G25400,AT1G06148,AT1G08430,AT5G18910,AT5G34790,AT1G08310,AT1G80160,AT4G21830,AT1G19190,AT1G12030,AT1G51830,AT1G13470,AT1G62440
AT1G21130,,AT5G39820,AT1G19210,,,AT2G30750,AT1G27720,AT1G06170,AT1G08670,AT5G25980,AT5G34795,AT1G12160,AT2G02700,AT4G29020,AT1G20500,AT1G14540,AT1G51840,AT1G13480,AT1G67265
AT1G21250,,,AT1G20120,,,AT2G37070,AT1G27730,AT1G06830,AT1G09240,AT5G26000,AT5G34800,AT1G12200,AT2G02990,AT4G30460,AT1G20823,AT1G17180,AT1G51870,AT1G13520,AT1G73325
AT1G22630,,,AT1G20390,,,AT2G43570,AT1G28370,AT1G07900,AT1G10220,AT5G55050,,AT1G13470,AT2G20470,AT5G11330,AT1G24140,AT1G17710,AT1G52060,AT1G13530,AT1G77640
AT1G22690,,,AT1G21326,,,AT2G44480,AT1G30370,AT1G07985,AT1G11190,AT5G64770,,AT1G13480,AT2G20880,AT5G24240,AT1G27730,AT1G18970,AT1G52070,AT1G13609,AT2G22860
AT1G24148,,,AT1G27565,,,AT2G44590,AT1G33760,AT1G08090,AT1G11530,ATMG00030,,AT1G13520,AT2G22930,AT5G24780,AT1G28370,AT1G19960,AT1G53990,AT1G13750,AT2G24610
AT1G25440,,,AT1G28370,,,AT2G45220,AT1G33770,AT1G08165,AT1G11740,,,AT1G13609,AT2G24610,AT5G43530,AT1G30370,AT1G21130,AT1G62510,AT1G14540,AT2G32290
AT1G27480,,,AT1G29680,,,AT3G04320,AT1G35140,AT1G08440,AT1G12110,,,AT1G13750,AT2G29370,AT5G55050,AT1G30730,AT1G21240,AT1G65390,AT1G14550,AT2G47270
AT1G29660,,,AT1G43590,,,AT3G09080,AT1G42980,AT1G09080,AT1G13300,,,AT1G13830,AT3G02410,,AT1G33760,AT1G21320,AT1G68190,AT1G14870,AT3G02410
AT1G29910,,,AT1G48405,,,AT3G09270,AT1G43590,AT1G11070,AT1G14150,,,AT1G14540,AT3G15720,,AT1G35140,AT1G22150,AT1G73300,AT1G15520,AT3G19040
