Study_Design,tissue,genotype,group,cond
FLRootCAX23_1,Root,FLRootCAX23_,FLRoot,FL
FLShoot_CAX23_1,Shoot,FLShoot_CAX23,FLShoot,FL
FLRootCAX23_2,Root,FLRootCAX23_,FLRoot,FL
FLShoot_CAX23_2,Shoot,FLShoot_CAX23,FLShoot,FL
GCRootCAX23_2,Root,GCRootCAX23_,GCRoot,GC
GCShoot_CAX23_2,Shoot,GCShoot_CAX23,GCShoot,GC
FLRootCAX23_3,Root,FLRootCAX23_,FLRoot,FL
FLShoot_CAX23_3,Shoot,FLShoot_CAX23,FLShoot,FL
GCRootCAX23_3,Root,GCRootCAX23_,GCRoot,GC
GCShoot_CAX23_3,Shoot,GCShoot_CAX23,GCShoot,GC
FLRootCAX23_4,Root,FLRootCAX23_,FLRoot,FL
FLShoot_CAX23_4,Shoot,FLShoot_CAX23,FLShoot,FL
GCRootCAX23_4,Root,GCRootCAX23_,GCRoot,GC
GCShoot_CAX23_4,Shoot,GCShoot_CAX23,GCShoot,GC
