Col_Root_Down,cax22_Root_Down,rbohD_Root_Down
AT4G34930,AT1G02470,AT1G05835
AT1G04350,AT1G03130,AT1G07550
AT3G28345,AT1G06360,AT1G07620
AT5G44020,AT1G07180,AT1G08430
AT5G27200,AT1G08380,AT1G10530
AT1G49240,AT1G09310,AT1G11530
AT5G51870,AT1G12340,AT1G12110
AT1G22590,AT1G12900,AT1G13080
AT2G33790,AT1G13650,AT1G14520
AT2G38400,AT1G14150,AT1G16170
AT4G12550,AT1G15980,AT1G16930
AT5G42250,AT1G18730,AT1G19390
AT1G08430,AT1G18810,AT1G19670
AT2G41190,AT1G19150,AT1G20840
AT4G28410,AT1G19670,AT1G22500
AT2G02450,AT1G20020,AT1G22590
AT1G11740,AT1G20340,AT1G25425
AT2G14210,AT1G21500,AT1G27020
AT1G64380,AT1G22590,AT1G30260
AT5G43780,AT1G22690,AT1G30270
AT4G40060,AT1G23130,AT1G35290
AT5G13130,AT1G24148,AT1G43590
AT5G35370,AT1G25440,AT1G44030
AT5G50760,AT1G29670,AT1G45015
AT1G29460,AT1G29720,AT1G45020
AT5G10570,AT1G29910,AT1G45616
AT5G63160,AT1G29920,AT1G49370
AT4G04750,AT1G29930,AT1G49500
AT1G57590,AT1G30380,AT1G49975
AT5G36940,AT1G31330,AT1G51340
AT2G34960,AT1G31580,AT1G51750
AT5G49900,AT1G31690,AT1G51820
AT5G52790,AT1G32060,AT1G51830
AT1G09750,AT1G32080,AT1G51840
AT5G40890,AT1G51805,AT1G52070
AT2G31083,AT1G52230,AT1G60610
AT2G31085,AT1G54820,AT1G61560
AT2G42540,AT1G55670,AT1G62280
AT3G23510,AT1G56510,AT1G65390
AT4G12432,AT1G56520,AT1G65810
AT1G08830,AT1G61520,AT1G65860
AT3G56000,AT1G62630,AT1G66940
AT2G32530,AT1G63360,AT1G68600
AT1G13080,AT1G65190,AT1G70080
AT3G26290,AT1G65800,AT1G70890
AT3G26300,AT1G66940,AT1G71050
AT4G27710,AT1G66970,AT1G73310
AT2G28270,AT1G67090,AT1G73600
AT5G54090,AT1G68520,AT1G73602
