Up Shoot,Down Shoot,Up Root,Down Root,Up Shoot|Up Root,Up Shoot|Down Root,Down Shoot|Up Root,Down Shoot|Down Root
AT3G47770.1,AT2G31880.1,AT2G09865.1,AT1G03230.1,AT3G14490.1,AT1G32840.1,AT5G45950.1,AT3G14620.1
AT3G14820.1,AT1G01060.4,AT3G41768.1,AT1G80530.1,AT1G07550.1,AT5G17320.1,AT5G63180.1,AT1G11330.2
AT3G14530.1,AT1G01060.1,AT5G50790.1,AT4G20270.1,AT5G42600.1,AT5G52140.1,AT3G04210.1,AT2G05380.2
AT1G16980.1,ATMG01120.1,AT2G09840.1,AT1G12140.1,AT1G34390.1,AT3G60950.1,AT1G59590.1,AT1G11330.1
AT1G17000.1,AT4G34200.1,AT5G64770.1,AT3G02870.2,AT1G45015.1,AT4G21440.1,AT1G61360.1,AT2G05380.1
AT3G03620.1,AT2G07709.1,AT3G41979.1,AT3G02870.3,AT4G35670.1,AT1G54890.1,AT1G52200.1,AT1G75280.1
AT5G27140.1,AT1G01060.3,AT3G43350.1,AT3G02870.1,AT1G23160.1,AT5G28510.1,AT3G27690.1,AT3G17790.1
AT3G09340.1,AT4G19880.2,AT2G09900.1,AT1G77520.1,AT2G29240.1,AT2G16960.1,AT3G53720.1,AT4G00050.1
AT5G09560.1,AT1G15670.1,AT5G50700.1,AT1G68840.2,AT1G25270.1,AT2G16960.2,AT5G54140.1,AT2G43820.1
AT4G22100.1,AT5G67420.1,AT3G43460.1,AT1G74458.1,AT5G10130.1,AT3G55970.1,AT1G07620.1,AT5G20400.1
AT2G46960.2,AT5G37600.1,AT4G23200.1,AT2G41370.1,AT3G01516.1,AT2G15780.1,ATMG00830.1,AT1G02850.4
AT2G03250.1,AT3G44720.1,AT3G43530.1,AT2G02390.2,AT3G32260.1,AT2G38240.1,AT3G46490.1,AT1G02850.5
AT4G19320.1,AT3G54640.1,AT2G01010.1,AT1G12140.2,AT3G32280.1,AT4G37990.1,AT5G16570.1,AT1G02850.2
AT2G46960.1,AT3G17609.2,AT5G53510.1,AT4G13235.1,AT1G19900.1,AT1G51810.1,AT1G51790.1,AT1G02850.3
AT5G03810.1,AT3G22060.1,AT3G43570.1,AT1G75388.1,AT1G52070.1,AT5G09210.1,ATMG00810.1,AT1G02850.1
AT5G03820.1,AT1G03400.1,AT5G28030.1,AT1G75390.1,AT5G51870.1,AT1G43160.1,AT3G50480.1,AT2G30140.1
AT3G26260.1,AT3G16370.1,AT5G28030.2,AT1G68840.1,AT5G51870.3,AT2G02990.1,AT1G65970.1,AT2G30140.2
AT1G42680.1,ATMG00560.1,AT4G08880.1,AT2G29440.1,ATMG00100.1,AT1G52890.1,AT3G45410.1,AT5G26920.2
AT5G39930.1,AT2G07808.1,AT3G43550.1,AT3G54950.1,AT2G33790.1,AT1G80160.1,AT3G41761.1,AT5G26920.1
AT5G26810.1,AT1G34750.1,AT1G57690.1,AT4G02390.1,AT3G44870.1,AT1G80160.2,AT1G70690.1,AT1G69530.1
AT4G11040.1,AT2G25000.1,AT2G09910.1,AT1G75390.2,AT5G46900.1,AT2G22860.1,AT2G41380.1,AT1G69530.2
AT1G05280.1,AT2G19130.1,AT5G53790.1,AT1G52140.1,AT1G20750.1,AT2G47550.1,AT2G41090.1,AT1G69530.3
AT3G07920.1,AT1G21270.1,AT3G47260.1,AT3G25130.1,AT3G20940.1,AT3G15370.1,AT1G31580.1,AT1G69530.4
AT1G63410.1,ATMG00660.1,AT2G09850.1,AT2G40900.1,ATMG00170.1,AT5G01380.1,AT3G49780.1,AT1G69530.5
AT1G03720.1,AT2G36800.1,AT2G10000.1,AT3G59765.1,ATMG00190.1,AT2G41800.1,ATMG00580.1,AT3G23560.1
AT5G39910.1,AT5G52540.1,AT3G46470.1,AT5G45280.2,ATMG00210.1,AT3G44860.1,AT1G61560.3,AT4G25100.2
AT5G59810.1,AT4G04220.1,AT3G43680.1,AT5G45280.1,AT4G22230.1,AT1G19550.1,AT1G61560.2,AT4G25100.3
AT4G03690.1,AT5G48540.1,AT3G43490.1,AT2G37460.1,AT4G22230.2,AT4G35770.1,AT5G47550.1,AT4G25100.5
AT5G28110.1,AT1G11545.1,AT2G09838.1,AT5G66170.1,AT4G21340.1,AT4G35770.3,AT1G61560.1,AT4G25100.1
AT2G22201.1,AT1G64670.1,AT2G09860.1,AT5G66170.3,AT1G30550.2,AT5G59320.1,AT1G61560.4,AT5G39050.1
AT4G19260.1,AT3G23530.1,AT2G09862.1,AT5G66170.2,AT5G26320.1,AT3G15170.1,AT1G02340.1,AT3G57460.1
AT4G19330.1,AT1G58280.3,AT2G09890.1,AT3G48610.1,AT5G05040.1,AT4G35770.2,AT5G53200.1,AT4G25100.4
AT1G07690.1,AT5G17300.1,AT2G09930.1,AT5G58620.1,ATCG01180.1,AT3G49620.1,AT2G01890.1,AT4G01700.1
AT1G24485.2,AT4G34560.1,AT2G09950.1,AT1G07640.2,AT2G22760.1,AT1G09500.3,AT2G25510.2,AT1G21520.1
AT1G24485.3,AT1G58280.2,AT2G09953.1,AT3G59080.2,AT1G66270.1,AT4G16590.1,AT2G25510.1,AT5G26340.1
AT1G25145.1,AT4G09460.1,AT2G09956.1,AT1G22885.2,AT1G66270.2,AT4G28140.1,AT4G11890.2,AT3G21250.1
AT1G32430.1,AT5G03610.1,AT2G09960.1,AT1G19330.2,AT5G47450.1,AT3G47340.1,AT4G11890.4,AT1G75270.1
AT3G15960.1,AT4G14440.1,AT2G07880.1,AT1G07640.3,AT4G15393.3,AT3G47340.3,AT4G11890.1,AT4G16370.1
AT1G75790.1,AT1G73870.1,AT2G09790.1,AT1G19330.3,AT4G15393.1,AT3G47340.2,AT3G55150.1,AT1G76690.1
AT5G09360.1,AT4G33050.4,AT2G09810.1,AT1G19330.1,AT4G15393.2,AT1G70130.1,AT4G11890.3,AT3G26220.1
AT3G14520.1,AT5G46240.1,AT2G09820.1,AT2G42840.1,AT5G05050.1,AT1G69880.1,AT2G01890.2,AT3G08870.1
AT2G29000.1,AT1G29660.1,AT2G09830.1,AT5G06300.1,AT5G46890.1,AT1G21550.1,AT3G07195.1,AT2G38530.1
AT5G09550.1,AT1G58280.1,AT2G23480.1,AT5G64250.1,AT5G24140.1,AT5G13380.1,ATMG00960.1,AT4G22530.1
AT5G22410.1,AT4G33050.1,AT5G50520.1,AT5G10340.1,ATCG00950.1,AT1G58936.1,AT1G78000.1,AT3G05690.1
AT5G27160.1,AT4G23130.1,AT4G13700.1,AT1G03620.1,AT4G12550.1,AT4G35720.1,AT1G78000.2,AT1G65500.1
AT1G54940.1,AT5G53550.1,AT1G28500.1,AT4G29930.4,AT4G15340.1,AT4G28040.1,ATMG00730.1,AT1G68740.1
AT1G20740.1,AT4G23130.2,AT2G01020.1,AT1G62170.2,AT5G53250.1,AT1G69480.1,AT5G55170.1,AT4G36570.1
AT1G33090.1,AT4G33050.3,AT2G29605.1,AT5G02460.1,AT4G17470.1,AT1G59077.1,AT4G20820.1,AT2G32960.1
AT5G39770.1,AT5G18780.1,AT1G28300.1,AT4G29930.2,AT4G17470.2,AT5G07010.1,AT1G78980.1,AT4G21120.1
AT1G78355.1,AT5G15860.2,AT3G47270.1,AT4G25960.1,AT4G17470.3,AT4G08040.1,ATMG00620.1,AT2G29990.1
AT1G78350.1,AT1G14790.1,AT2G05660.1,AT5G42980.1,AT4G21830.2,AT3G20520.1,AT5G62210.1,AT1G67800.1
