Col_Shoot_Down,cax22_Shoot_Down,rbohD_Shoot_Down
AT1G06640,AT1G03840,AT1G01370
AT2G25450,AT1G05260,AT1G01380
AT5G14200,AT1G05577,AT1G02530
AT5G61440,AT1G10370,AT1G03780
AT2G43100,AT1G12040,AT1G05490
AT2G39570,AT1G12560,AT1G05950
AT2G38400,AT1G13950,AT1G06640
AT3G02020,AT1G15210,AT1G07610
AT4G22110,AT1G19790,AT1G08830
AT2G14170,AT1G23720,AT1G10070
AT1G11740,AT1G23800,AT1G10540
AT1G36060,AT1G24270,AT1G10710
AT1G44830,AT1G29860,AT1G11080
AT1G19050,AT1G30550,AT1G11170
AT4G21340,AT1G31050,AT1G12520
AT3G19710,AT1G33750,AT1G15150
AT5G63810,AT1G35250,AT1G15210
AT1G22490,AT1G35270,AT1G15380
AT4G36060,AT1G43020,AT1G18265
AT5G39410,AT1G46480,AT1G18370
AT2G32290,AT1G54000,AT1G19540
AT1G04540,AT1G54890,AT1G19550
AT1G70800,AT1G55940,AT1G19560
AT1G21550,AT1G56680,AT1G19570
AT4G31000,AT1G57590,AT1G19850
AT1G57590,AT1G59940,AT1G20060
AT1G12520,AT1G61840,AT1G20720
AT4G31290,AT1G62980,AT1G22275
AT5G57630,AT1G64590,AT1G23000
AT2G24610,AT1G66270,AT1G23720
AT3G43670,AT1G66280,AT1G23800
AT1G08830,AT1G66800,AT1G25460
AT1G30820,AT1G66950,AT1G26235
AT3G60550,AT1G66960,AT1G26330
AT5G07450,AT1G68880,AT1G29025
AT2G28190,AT1G70850,AT1G29270
AT2G23100,AT1G71692,AT1G31710
AT1G31850,AT1G71880,AT1G31720
AT2G34300,AT1G73290,AT1G35910
AT5G20250,AT1G73300,AT1G43160
AT4G11190,AT1G74000,AT1G48510
AT2G33830,AT1G74010,AT1G49320
AT2G40340,AT1G74460,AT1G49910
AT1G28330,AT1G76470,AT1G51760
AT2G40080,AT1G77380,AT1G52410
AT1G08840,AT1G80820,AT1G52560
AT4G19120,AT2G01520,AT1G53140
AT1G76180,AT2G01530,AT1G54000
AT2G43400,AT2G03460,AT1G54100
AT5G09440,AT2G12646,AT1G54217
AT3G45970,AT2G15370,AT1G54890
AT3G12120,AT2G16980,AT1G56130
AT1G75750,AT2G18370,AT1G57590
AT5G07440,AT2G18800,AT1G60110
AT1G15380,AT2G23540,AT1G60130
AT5G06090,AT2G25160,AT1G60960
AT2G33550,AT2G25810,AT1G61810
AT1G67300,AT2G25980,AT1G61820
AT5G59720,AT2G26150,AT1G62440
AT5G38200,AT2G28570,AT1G62500
AT3G23030,AT2G29000,AT1G63650
AT3G19700,AT2G34020,AT1G63820
AT3G23630,AT2G38380,AT1G66270
AT1G60960,AT2G38390,AT1G66280
AT1G19540,AT2G39518,AT1G66760
AT1G80920,AT2G39530,AT1G69230
AT3G20810,AT2G40370,AT1G69480
AT5G15970,AT2G41800,AT1G74010
AT3G59350,AT2G42660,AT1G75430
AT5G40540,AT2G44370,AT1G75700
AT5G45840,AT2G45430,AT1G76470
AT5G61350,AT2G46495,AT1G76790
AT1G62440,AT2G47550,AT1G77000
AT1G01470,AT3G01080,AT1G78340
AT1G20450,AT3G01190,AT1G78815
AT5G23010,AT3G01260,AT1G78865
AT2G18650,AT3G07970,AT1G79330
AT2G19800,AT3G15240,AT1G79440
AT4G36450,AT3G18450,AT1G79890
AT5G14180,AT3G20840,AT1G80370
AT2G39450,AT3G20940,AT2G02680
AT5G63800,AT3G22260,AT2G02850
AT3G06120,AT3G22620,AT2G15490
AT5G61430,AT3G23180,AT2G18220
AT5G04370,AT3G23800,AT2G18470
AT4G23900,AT3G24240,AT2G19670
AT2G28120,AT3G24300,AT2G19800
AT3G50840,AT3G25930,AT2G20490
AT1G77760,AT3G26610,AT2G21130
AT1G30660,AT3G28360,AT2G22450
AT1G72800,AT3G28550,AT2G22860
AT1G46554,AT3G29575,AT2G22930
AT1G69252,AT3G44540,AT2G23030
AT2G45245,AT3G45700,AT2G23050
AT3G48115,AT3G46280,AT2G23060
