Col_Shoot_Up	cax22_Shoot_Up	rbohD_Shoot_Up
AT1G14120	AT1G04800	AT1G02340
AT5G09290	AT1G05135	AT1G03870
AT3G14990	AT1G36060	AT1G04240
AT3G21240	AT1G51880	AT1G08250
AT3G28510	AT1G63295	AT1G08315
AT3G28580	AT1G71920	AT1G08450
AT5G57480	AT1G73010	AT1G08650
AT5G40010	AT1G74080	AT1G09170
AT3G63380	AT1G78955	AT1G09195
AT3G01990	AT1G80330	AT1G13750
AT3G61760	AT2G07701	AT1G15670
AT1G72280	AT2G07702	AT1G16510
AT1G11420	AT2G07703	AT1G17020
AT1G35230	AT2G07704	AT1G17744
AT3G08860	AT2G07705	AT1G17745
AT3G07390	AT2G07706	AT1G23110
AT1G60730	AT2G07793	AT1G26360
AT4G25900	AT2G07794	AT1G28640
AT3G23560	AT2G07813	AT1G29195
AT1G79450	AT2G17870	AT1G29860
AT2G25940	AT2G18193	AT1G30900
AT4G28420	AT2G21660	AT1G31350
AT1G02220	AT2G25330	AT1G32780
AT1G77450	AT2G26400	AT1G37150
AT2G43000	AT2G29480	AT1G49780
AT5G14000	AT2G32690	AT1G51680
AT5G63790	AT2G34790	AT1G55330
AT1G14540	AT2G35980	AT1G55850
AT4G03460	AT2G37750	AT1G56150
AT4G14390	AT2G38300	AT1G56600
AT4G21903	AT2G45220	AT1G58225
AT1G32350	AT3G22415	AT1G58280
AT2G26400	AT3G23450	AT1G64400
AT1G02440	AT4G09770	AT1G66480
AT2G26290	AT4G13850	AT1G66880
AT3G51340	AT4G15260	AT1G67520
AT5G48430	AT4G23700	AT1G67810
AT5G20960	AT4G29020	AT1G68440
AT3G47780	AT4G37950	AT1G70000
AT1G70920	AT5G09600	AT1G73290
AT1G55790	AT5G18320	AT1G74670
AT5G65980	AT5G24800	AT1G77450
AT1G75580	AT5G38870	AT1G79870
AT5G10990	AT5G46730	AT1G80180
AT5G67450	AT5G64905	AT2G01422
AT2G45760		AT2G02000
AT1G64670		AT2G07709
AT1G13830		AT2G07808
AT3G05820		AT2G11810
AT2G44480		AT2G19690
AT2G44460		AT2G28200
AT1G61820		AT2G29990
AT3G21330		AT2G31750
AT1G05880		AT2G38860
AT5G06839		AT2G39530
AT1G23140		AT2G40330
AT4G00700		AT2G40610
AT4G21120		AT2G42660
AT4G28940		AT2G43570
AT3G01260		AT2G45040
AT5G01490		AT2G45135
AT3G46730		AT2G47010
AT1G58410		AT2G47130
AT5G66910		AT2G47140
AT3G56240		AT2G47800
AT1G67980		AT2G47970
AT4G37010		AT3G02030
AT5G26220		AT3G02040
AT5G05270		AT3G02610
AT3G13470		AT3G04050
AT5G24090		AT3G04230
AT1G02360		AT3G04530
AT2G43570		AT3G05155
AT3G47540		AT3G05400
AT3G54420		AT3G05630
AT1G64170		AT3G06590
AT4G23700		AT3G07010
AT1G72680		AT3G07390
AT2G19500		AT3G10525
AT1G63245		AT3G11080
AT5G60950		AT3G11340
AT1G67800		AT3G12230
AT4G12090		AT3G16920
AT3G23530		AT3G17240
AT4G04695		AT3G18830
AT4G36988		AT3G21080
AT4G23140		AT3G21250
AT1G51915		AT3G22600
AT3G13790		AT3G23050
AT4G18940		AT3G25010
AT2G30750		AT3G26500
AT2G30770		AT3G30120
AT2G24180		AT3G44120
AT3G26330		AT3G44510
AT2G30490		AT3G45860
AT4G39950		AT3G47010
AT3G28740		AT3G47640
AT4G37370		AT3G48020
AT4G31970		AT3G49580
AT2G34500		AT3G50470
AT1G55430		AT3G56000
AT2G27660		AT3G56240
AT2G44370		AT3G58120
AT2G44380		AT3G59140
AT3G11402		AT3G60170
AT4G01740		AT4G03610
AT5G40590		AT4G04220
AT5G54040		AT4G05070
AT5G48657		AT4G08770
AT1G75270		AT4G09460
AT5G24530		AT4G11300
AT5G19490		AT4G12350
AT5G63920		AT4G13180
AT2G45430		AT4G13505
AT3G11580		AT4G13510
AT3G01420		AT4G13615
AT4G34200		AT4G14440
AT3G62210		AT4G14610
AT4G14690		AT4G14630
AT4G22530		AT4G15760
AT2G47800		AT4G16780
AT2G18660		AT4G18360
AT4G17030		AT4G20000
AT1G68740		AT4G20820
AT3G22800		AT4G21740
AT3G19470		AT4G28490
AT3G55900		AT4G29350
AT1G26380		AT4G32870
AT1G26390		AT4G32890
AT1G26410		AT4G33120
AT1G26420		AT4G34135
AT1G30700		AT4G34630
AT1G30720		AT4G36880
AT1G30730		AT5G01550
AT2G46750		AT5G01820
AT5G44380		AT5G04910
AT3G44540		AT5G05440
AT5G07650		AT5G06510
AT5G07770		AT5G08330
AT5G63600		AT5G14545
AT1G12200		AT5G14730
AT1G19250		AT5G15130
AT5G17330		AT5G15860
AT2G46270		AT5G16170
AT1G18980		AT5G16230
AT1G74670		AT5G17040
AT1G18970		AT5G18010
AT1G09560		AT5G23730
AT4G14630		AT5G24090
AT5G48400		AT5G24110
AT5G48410		AT5G24380
AT5G11210		AT5G35935
AT2G29100		AT5G39660
AT1G05680		AT5G40690
