file	group	cond	label
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	FL	FLRoot_COL00_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	FL	FLShoot_COL00_1
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	GC	GCRoot_COL00_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	GC	GCShoot_COL00_1
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX22	FL	FLRoot_CAX22_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX22	FL	FLShoot_CAX22_1
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX22	GC	GCRoot_CAX22_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX22	GC	GCShoot_CAX22_1
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX23	FL	FLRoot_CAX23_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX23	FL	FLShoot_CAX23_1
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX23	GC	GCRoot_CAX23_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX23	GC	GCShoot_CAX23_1
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX22	GC	GCRoot_CAX22_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX22	GC	GCShoot_CAX22_4
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX22	FL	FLRoot_CAX22_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX22	FL	FLShoot_CAX22_4
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX23	FL	FLRoot_CAX23_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX23	FL	FLShoot_CAX23_2
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX23	GC	GCRoot_CAX23_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX23	GC	GCShoot_CAX23_2
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	FL	FLRoot_RBOHD_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	FL	FLShoot_RBOHD_1
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	GC	GCRoot_RBOHD_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	GC	GCShoot_RBOHD_1
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX23	FL	FLRoot_CAX23_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX23	FL	FLShoot_CAX23_3
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX23	GC	GCRoot_CAX23_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX23	GC	GCShoot_CAX23_3
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX22	FL	FLRoot_CAX22_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX22	FL	FLShoot_CAX22_2
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX22	GC	GCRoot_CAX22_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX22	GC	GCShoot_CAX22_2
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	FL	FLRoot_RBOHD_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	FL	FLShoot_RBOHD_2
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	GC	GCRoot_RBOHD_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	GC	GCShoot_RBOHD_2
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	FL	FLRoot_COL00_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	FL	FLShoot_COL00_2
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	GC	GCRoot_COL00_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	GC	GCShoot_COL00_2
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX23	FL	FLRoot_CAX23_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX23	FL	FLShoot_CAX23_4
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX23	GC	GCRoot_CAX23_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX23	GC	GCShoot_CAX23_4
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX22	FL	FLRoot_CAX22_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX22	FL	FLShoot_CAX22_3
APEX5_HiSeq_HiSat_counts_out_V8	RootCAX22	GC	GCRoot_CAX22_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootCAX22	GC	GCShoot_CAX22_3
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	FL	FLRoot_COL00_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	FL	FLShoot_COL00_3
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	GC	GCRoot_COL00_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	GC	GCShoot_COL00_3
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	FL	FLRoot_COL00_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	FL	FLShoot_COL00_4
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	GC	GCRoot_COL00_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	GC	GCShoot_COL00_4
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	FL	FLRoot_RBOHD_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	FL	FLShoot_RBOHD_3
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	GC	GCRoot_RBOHD_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	GC	GCShoot_RBOHD_3
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	FL	FLRoot_RBOHD_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	FL	FLShoot_RBOHD_4
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	GC	GCRoot_RBOHD_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	GC	GCShoot_RBOHD_4
