file	group	cond	Organ	label
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	FL	Root	FLRoot_COL00_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	FL	Shoot	FLShoot_COL00_1
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	GC	Root	GCRoot_COL00_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	GC	Shoot	GCShoot_COL00_1
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	FL	Root	FLRoot_RBOHD_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	FL	Shoot	FLShoot_RBOHD_1
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	GC	Root	GCRoot_RBOHD_1
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	GC	Shoot	GCShoot_RBOHD_1
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	FL	Root	FLRoot_RBOHD_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	FL	Shoot	FLShoot_RBOHD_2
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	GC	Root	GCRoot_RBOHD_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	GC	Shoot	GCShoot_RBOHD_2
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	FL	Root	FLRoot_COL00_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	FL	Shoot	FLShoot_COL00_2
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	GC	Root	GCRoot_COL00_2
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	GC	Shoot	GCShoot_COL00_2
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	FL	Root	FLRoot_COL00_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	FL	Shoot	FLShoot_COL00_3
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	GC	Root	GCRoot_COL00_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	GC	Shoot	GCShoot_COL00_3
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	FL	Root	FLRoot_COL00_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	FL	Shoot	FLShoot_COL00_4
APEX5_HiSeq_HiSat_counts_out_V8	RootCOL00	GC	Root	GCRoot_COL00_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootCOL00	GC	Shoot	GCShoot_COL00_4
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	FL	Root	FLRoot_RBOHD_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	FL	Shoot	FLShoot_RBOHD_3
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	GC	Root	GCRoot_RBOHD_3
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	GC	Shoot	GCShoot_RBOHD_3
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	FL	Root	FLRoot_RBOHD_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	FL	Shoot	FLShoot_RBOHD_4
APEX5_HiSeq_HiSat_counts_out_V8	RootRBOHD	GC	Root	GCRoot_RBOHD_4
APEX5_HiSeq_HiSat_counts_out_V8	ShootRBOHD	GC	Shoot	GCShoot_RBOHD_4
