ShootCAX22,ShootRBOHD,ShootCOL00,ShootCAX22|ShootRBOHD,ShootCAX22|ShootCOL00,ShootRBOHD|ShootCOL00,ShootCAX22|ShootRBOHD|ShootCOL00
ATCG00250.1,AT3G49620.1,AT3G01420.1,AT1G66270.1,AT4G13420.1,AT2G41240.2,ATCG01170.1
ATCG00060.1,AT3G49630.1,AT1G30700.1,AT1G66270.2,AT5G10580.1,AT2G41240.1,ATCG01160.1
AT3G24240.1,ATMG00100.1,AT1G14550.1,AT4G37990.1,AT5G10580.2,AT3G56980.1,ATCG01140.1
ATCG00230.1,AT1G13608.1,AT4G11650.1,AT3G28550.1,AT3G47760.1,AT1G13609.1,ATCG01150.1
AT4G15390.1,ATMG00190.1,AT2G30660.1,AT1G23720.1,AT1G66700.1,AT2G14247.1,ATCG01190.1
ATCG00260.1,ATMG00170.1,AT1G32350.1,AT1G66280.1,AT4G24000.1,AT1G13609.2,ATCG01180.1
ATCG00240.1,ATMG00210.1,AT3G13610.1,AT2G02990.1,AT1G66700.3,AT3G56970.1,ATCG00960.1
ATCG00310.1,AT1G13607.1,AT1G26400.1,AT3G54580.1,AT1G67980.1,AT5G14180.1,ATCG00970.1
ATCG00320.1,AT3G60140.1,AT5G48400.1,AT3G59220.1,AT1G67980.2,AT4G26260.1,ATCG00980.1
AT2G07750.1,AT1G80160.1,AT1G19250.1,AT1G73290.1,AT3G05780.1,AT4G26260.2,ATCG00990.1
AT1G70850.1,AT2G26020.1,AT1G65690.1,AT1G43160.1,AT2G25330.1,AT1G10070.1,ATCG01200.1
AT1G70850.2,AT5G24780.1,AT5G15130.1,AT5G59090.1,AT4G23310.1,AT1G10070.2,ATCG00950.1
AT1G70850.3,AT5G24780.2,AT3G11340.1,AT5G59090.3,AT2G26400.1,AT1G10070.3,ATCG01030.1
AT5G48940.1,AT1G19550.1,AT5G40590.1,AT5G59090.2,AT3G28510.1,AT4G15210.1,ATCG00940.1
AT3G01260.1,AT1G80160.2,AT3G61390.1,AT3G54590.1,AT2G04050.1,AT4G15210.2,AT4G31970.1
AT5G26290.1,AT2G47550.1,AT3G61390.2,AT3G48520.1,AT2G07813.1,ATMG01230.1,AT2G38240.1
AT4G12520.1,AT5G35935.1,AT5G48430.1,AT1G54890.1,AT2G39518.1,AT1G78355.1,AT3G55970.1
AT3G32030.1,AT4G17470.1,AT1G44130.1,AT2G25980.1,AT5G20240.1,ATMG01310.1,AT1G26390.1
AT1G12040.1,AT4G17470.2,AT4G19970.1,AT1G58983.1,AT1G34047.1,ATMG00620.1,AT2G39030.1
AT4G29020.1,AT4G17470.3,AT3G57260.1,AT1G10585.1,AT1G34047.2,ATMG00610.1,AT5G07010.1
AT4G29020.2,AT1G19560.1,AT2G29350.3,AT4G33120.1,AT1G65481.1,ATMG01270.1,AT4G23700.1
AT1G05260.1,AT5G24770.1,AT2G29350.1,AT5G19520.1,AT1G66960.1,AT2G30766.1,AT2G30750.1
AT5G63660.1,AT5G24770.2,ATMG00980.1,AT4G22470.1,AT1G69920.1,AT5G04150.1,AT1G26410.1
AT2G01520.1,AT5G66150.1,AT1G47890.1,AT3G12230.1,,ATMG01290.1,AT2G45220.1
AT2G07706.1,AT1G33940.2,AT4G22070.1,AT4G29690.1,,ATMG01140.1,AT1G26380.1
AT2G24850.1,AT2G07630.1,AT5G02780.1,,,AT2G15490.1,AT3G26830.1
AT1G59171.1,AT3G44860.1,AT3G09220.1,,,AT2G15490.3,AT4G12500.1
AT1G59171.2,AT3G14540.1,AT5G02780.2,,,ATMG01150.1,AT1G14540.1
AT4G12550.1,AT1G61810.1,AT1G51810.1,,,ATMG01180.1,AT2G35980.1
AT5G53250.1,AT3G14490.1,AT5G64100.1,,,AT5G07440.2,AT5G64905.1
AT1G28630.4,AT5G06570.1,AT2G29350.2,,,AT5G07440.1,AT5G40990.1
AT1G59218.1,AT4G24340.1,ATMG01030.1,,,ATMG00760.1,AT1G52890.1
AT1G71920.1,AT5G05600.1,AT1G13480.1,,,ATMG00700.1,AT1G17710.1
AT1G71920.2,AT4G21440.1,AT1G14870.1,,,ATMG00740.1,AT2G43000.1
AT1G71920.3,AT1G20750.1,AT1G30720.1,,,ATMG00750.1,AT1G17710.2
AT5G35190.1,AT1G11080.1,ATMG00720.1,,,ATMG00770.1,AT4G12490.1
AT1G59218.2,AT1G11080.2,AT1G15520.1,,,ATMG00780.1,AT2G30770.1
AT1G33750.1,AT1G61810.3,AT5G22570.1,,,ATMG00790.1,
AT5G47450.1,AT5G20230.1,AT4G10500.1,,,ATMG00800.1,
AT4G21830.2,AT2G26010.1,ATMG01050.1,,,ATMG00840.1,
AT5G23830.1,AT5G12020.1,AT1G02360.1,,,ATMG00850.1,
AT5G23830.2,AT3G41762.1,AT5G43350.1,,,ATMG00870.1,
AT2G33790.1,AT4G22212.1,AT3G48850.1,,,ATMG00880.1,
AT2G07770.1,AT5G38200.1,AT1G26420.1,,,ATMG00890.1,
AT3G26610.1,AT3G42100.1,ATMG01160.1,,,ATMG00900.1,
AT1G43310.1,AT2G04290.1,AT5G24530.1,,,ATMG00910.1,
AT5G17820.1,AT3G14820.1,AT1G61800.1,,,ATMG00920.1,
AT5G09530.1,AT5G66020.1,AT1G18860.1,,,ATMG00930.1,
AT4G15393.3,AT1G76470.1,AT1G73260.1,,,ATMG00940.1,
AT4G15393.1,AT3G60950.1,AT3G09270.1,,,ATMG00950.1,
AT4G15393.2,AT1G33940.1,AT2G17740.1,,,ATMG01060.1,
AT4G37390.1,ATMG00250.1,AT5G44990.1,,,ATMG01070.1,
AT4G30170.1,ATMG00270.1,AT5G44990.2,,,AT5G07440.3,
AT4G21830.1,ATMG00230.1,AT2G29100.1,,,AT2G30766.2,
AT2G38390.1,AT1G09500.3,AT5G44990.3,,,AT2G39330.1,
AT2G41800.1,AT3G21080.1,AT5G13320.1,,,AT2G14610.1,
AT5G04960.1,ATMG00220.1,AT1G78780.4,,,AT1G08630.3,
AT5G46730.1,AT1G09500.2,ATCG00905.1,,,AT2G15490.2,
AT5G46730.2,AT5G09550.1,AT1G78780.2,,,ATMG00820.1,
AT2G30290.2,AT1G77960.1,AT1G78780.1,,,AT1G08630.2,
AT5G48110.1,AT1G09500.1,ATCG00880.1,,,AT2G30760.1,
AT3G23800.1,AT3G60170.1,ATCG00850.1,,,AT1G08630.4,
AT3G31950.1,AT1G14250.1,ATCG00910.1,,,ATMG01300.1,
AT4G28410.1,ATMG00240.1,AT4G37010.1,,,AT1G08630.1,
AT3G20940.1,AT3G31980.1,ATCG00830.1,,,AT4G35770.1,
AT2G01530.1,AT3G23955.2,AT5G48410.1,,,AT4G35770.3,
AT1G05135.1,AT2G07560.1,AT5G03350.1,,,AT1G08630.5,
AT5G38870.1,AT4G05280.1,AT1G79680.1,,,ATMG00600.1,
AT2G34020.1,AT3G23470.1,AT1G23730.1,,,ATMG01040.1,
AT2G30290.1,AT5G42800.1,AT4G37010.2,,,AT4G35770.2,
AT2G07701.1,AT1G30135.1,AT1G66600.1,,,ATMG01010.1,
AT2G07702.1,AT5G19110.1,ATCG00920.1,,,AT1G78360.1,
AT2G07703.1,AT5G51060.1,ATCG00870.1,,,AT4G16590.1,
AT2G07704.1,AT1G66570.1,AT5G24090.1,,,AT4G36700.1,
AT2G07705.1,AT1G66570.2,AT5G63600.1,,,AT1G47400.1,
AT2G07793.1,AT1G66570.3,AT5G63600.2,,,AT1G52040.1,
AT2G07794.1,AT5G24110.1,AT2G34500.1,,,AT3G18250.1,
AT1G74500.1,AT5G44430.1,ATMG00970.1,,,ATMG01240.1,
AT2G23540.1,AT1G28650.1,AT3G63380.1,,,AT3G22600.1,
AT3G60120.1,AT3G43250.1,AT5G46960.1,,,AT1G47395.1,
AT1G73300.1,AT1G56650.1,AT2G18660.1,,,AT5G06570.2,
AT1G15210.1,AT1G69230.2,AT5G11210.1,,,AT4G30280.1,
AT1G51880.1,AT1G69230.1,ATCG00840.1,,,AT2G43570.1,
AT1G12560.1,AT1G52400.3,ATCG00930.1,,,AT1G15380.2,
AT3G25930.1,AT1G52400.1,ATMG00990.1,,,AT1G15380.1,
ATCG01000.1,AT1G52400.2,AT3G51330.1,,,ATMG00390.1,
AT2G38380.1,AT5G53450.2,AT3G61730.1,,,ATMG00460.1,
AT5G66690.1,AT5G53450.1,ATCG00900.1,,,ATMG00300.1,
AT2G03250.1,AT1G52030.2,AT1G78780.3,,,ATMG00310.1,
AT2G07760.1,AT3G14520.1,AT1G02520.1,,,ATMG00320.1,
AT2G32690.1,AT1G08830.2,AT2G05510.2,,,ATMG00330.1,
AT2G32690.2,AT1G08830.1,AT2G05510.3,,,ATMG00340.1,
AT2G32690.4,AT1G52030.1,AT2G05510.6,,,ATMG00350.1,
AT2G32690.3,AT1G77950.2,AT2G05510.1,,,ATMG00360.1,
AT1G74460.1,AT3G32000.1,AT2G05510.4,,,ATMG00420.1,
AT1G18020.1,AT5G09210.1,AT2G05510.5,,,ATMG00430.1,
AT2G16980.1,AT3G23955.1,AT3G61510.1,,,ATMG00440.1,
AT4G01820.1,AT1G69480.1,AT2G29250.1,,,ATMG00470.1,
AT3G31910.1,AT5G65980.1,AT4G37070.3,,,AT2G44460.1,
AT3G48340.1,AT4G21680.1,AT2G13810.1,,,AT3G59930.1,
AT4G22810.1,AT3G05155.1,AT2G29490.1,,,AT5G38900.1,
AT5G58860.1,AT4G25140.1,AT2G32680.1,,,ATMG00410.1,
AT4G37950.1,AT5G03545.1,ATMG00710.1,,,AT2G28190.1,
AT1G60830.1,AT3G15240.2,AT3G61500.1,,,ATMG00400.1,
AT4G15340.1,AT1G28640.1,AT5G43580.1,,,AT1G73325.1,
AT3G45700.1,AT1G51420.1,AT5G06740.1,,,ATMG00370.1,
AT3G32980.1,AT5G06870.1,AT4G37070.4,,,AT4G14630.1,
AT5G62340.1,AT5G61160.1,AT1G64940.1,,,AT1G21310.1,
AT3G24540.1,AT1G07550.1,AT1G62440.1,,,AT4G20000.1,
AT5G04970.1,AT5G35940.1,AT1G74080.1,,,AT5G61320.1,
AT5G57090.1,AT3G45990.1,AT3G53480.1,,,AT2G19190.1,
AT5G44575.1,AT5G66220.1,AT4G37070.2,,,AT5G05250.1,
AT4G19320.1,AT1G29025.1,AT4G37070.1,,,AT5G19880.1,
,AT5G26260.1,AT3G12500.1,,,AT3G08860.1,
,AT5G09360.1,AT1G55790.2,,,AT1G78350.1,
,AT5G09560.1,AT2G44370.1,,,AT4G23150.1,
,AT5G39580.1,AT5G59670.1,,,AT5G13220.4,
,AT3G02670.1,AT4G39670.1,,,AT3G49580.1,
,AT5G39580.2,AT1G17170.1,,,AT3G49580.2,
,AT1G32840.1,AT4G25810.1,,,AT3G47340.1,
,AT2G01422.2,AT1G67270.1,,,AT3G47340.2,
,AT1G54870.1,AT5G13080.1,,,AT5G47330.1,
,AT2G01422.1,AT5G64120.1,,,AT2G19800.1,
,AT3G48630.1,AT4G35180.1,,,AT5G05340.1,
,AT5G28640.1,AT3G13950.1,,,AT3G47340.3,
,AT3G25780.1,AT1G13470.1,,,AT5G67450.1,
,AT5G54070.1,AT5G59310.1,,,AT2G22860.1,
,AT1G48220.1,AT1G71390.1,,,AT5G13220.1,
,AT5G53960.1,AT4G00700.1,,,AT2G45130.1,
,AT5G54045.1,AT5G07650.1,,,AT2G43620.1,
,AT1G02340.1,AT3G57240.1,,,AT2G47130.1,
,AT5G18010.1,ATCG00860.1,,,AT3G46850.1,
,AT2G47140.1,AT1G02450.1,,,ATMG00450.1,
,AT3G14530.1,AT3G54040.1,,,AT1G14880.1,
,AT1G56600.1,AT5G44380.1,,,AT5G42830.1,
,AT2G25625.1,AT1G51860.1,,,AT5G13220.3,
,AT2G25625.2,AT2G47000.1,,,AT3G45860.1,
,AT4G18900.1,AT2G05090.1,,,AT5G45840.1,
,AT5G44420.1,AT5G26220.1,,,AT4G23600.2,
,AT4G22880.1,AT3G22240.1,,,AT5G13220.2,
,AT4G22880.2,AT3G46330.1,,,ATMG01100.1,
,AT1G63650.3,AT3G49120.1,,,AT2G29460.1,
,AT1G63650.2,AT2G43510.1,,,ATMG01000.1,
,AT3G57510.1,AT5G57480.1,,,AT4G23600.3,
,AT1G58225.2,AT2G05080.1,,,AT4G23600.1,
,AT4G01080.1,AT2G05082.1,,,AT4G28420.2,
,AT1G66100.1,AT1G02580.1,,,AT3G09922.1,
