rbohD Root,Col-0 Root,rbohD Root|Col-0 Root
AT3G63380,AT4G34930,AT5G43450
AT3G22910,AT1G04350,AT4G20930
AT4G01130,AT5G14200,AT3G28510
AT3G58990,AT5G63990,AT5G17760
AT3G01990,AT3G14990,AT5G16970
AT2G22630,AT5G48540,AT5G51870
AT2G13360,AT3G28580,AT1G22590
AT3G02020,AT4G24860,AT3G08860
AT1G54100,AT5G23050,AT3G16360
AT5G62420,AT1G77380,AT4G12550
AT4G13510,AT5G63850,AT2G37760
AT2G43000,AT5G49630,AT2G37770
AT3G01600,AT3G21080,AT1G60730
AT2G04070,AT3G28345,AT3G23560
AT2G22200,AT2G38600,AT1G08430
AT1G71520,AT5G44020,AT4G28410
AT1G01650,AT5G27200,AT4G28420
AT1G01720,AT1G49240,AT1G77450
AT5G49480,AT3G25570,AT2G02450
AT3G47780,AT1G06080,AT2G17040
AT5G40060,AT5G13790,AT5G63790
AT2G21200,AT2G33790,AT5G64060
AT2G21210,AT2G38400,AT2G14210
AT3G03850,AT5G57350,AT3G22370
AT5G18030,AT5G54390,AT1G32350
AT5G13380,AT5G42250,AT2G33710
AT3G19710,AT2G41190,AT3G25730
AT5G26622,AT1G02220,AT5G61890
AT1G75940,AT1G11740,AT5G43780
AT4G37850,AT2G44940,AT2G26400
AT4G12030,AT3G60490,AT3G59900
AT1G74810,AT1G64380,AT1G65800
AT4G26120,AT1G65790,AT4G21380
AT2G01918,AT2G44080,AT5G48430
AT2G22190,AT5G61730,AT5G08790
AT3G51860,AT4G40060,AT2G43510
AT1G71050,AT1G76410,AT1G76520
AT1G25425,AT3G28600,AT4G34770
AT1G19670,AT5G13130,AT5G50760
AT5G64552,AT5G35370,AT1G56150
AT4G22592,AT4G36570,AT5G13370
AT1G73602,AT5G38420,AT1G02850
AT4G13410,AT1G29450,AT3G60120
AT1G55850,AT1G29460,AT2G44460
AT1G11530,AT5G18970,AT1G05880
AT1G34460,AT2G45760,AT5G63160
AT3G48290,AT1G23730,AT5G19440
AT5G25140,AT1G73830,AT3G47480
AT3G26165,AT3G21370,AT4G04750
AT3G61880,AT5G28510,AT5G26920
AT3G28740,AT2G32860,AT5G52790
AT4G37330,AT5G10570,AT3G56240
AT1G24540,AT1G63750,AT3G53230
AT5G36220,AT1G68880,AT5G26220
