gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G10070,155.48941354014303,-2.1348977295125477,0.2693531965250623,-7.926015941354918,2.2628855660061637e-15,5.098960045881688e-11
AT5G45840,92.55364956238122,-1.1950548820891547,0.17831056238970872,-6.7020981038537055,2.054480232194755e-11,2.3146801536022206e-07
AT1G08630,171.09019958695367,-1.8904583873760026,0.29224120371781503,-6.4688290471230365,9.87652536765703e-11,7.418258203647195e-07
AT4G26260,29.860740089956305,-3.0189099866060483,0.4726084019424832,-6.387761991107072,1.6833105818056552e-10,9.482509334956707e-07
AT1G08430,14.161100322270505,-4.200666739594166,0.7076642770405447,-5.93595985537291,2.9213128134792424e-09,1.3165188325225555e-05
AT2G39030,23.191707823553873,-3.560523931550862,0.6255791775421725,-5.6915640087954085,1.2588094857040708e-08,4.727459023561638e-05
AT5G07440,584.26224978643,-1.0415443714283095,0.18446188200809968,-5.646393499241082,1.6384858623913754e-08,5.2742859910378375e-05
AT2G39330,94.18863974735356,-1.8251147342549594,0.33084394185094307,-5.516542706038844,3.457335043054851e-08,9.73801631564437e-05
AT5G61160,144.7354224702866,-1.1632445003471534,0.21554624056640867,-5.396728318204018,6.786703341433672e-08,0.0001699164293250277
AT1G52040,66.388021238574,-1.8628231487702316,0.3479417779331844,-5.35383580504653,8.610900384150373e-08,0.00019402941835606037
AT2G26020,18.771385593432637,-2.245066745762482,0.4319574515504452,-5.197425667051601,2.0206729883128036e-07,0.0004139256767786582
AT1G15380,27.527137648090864,-1.6842158763656534,0.3469592422363462,-4.854218223183625,1.208625870732754e-06,0.0022694972287684288
AT1G73325,34.89947434513704,-1.6916508696576136,0.35738952547122077,-4.733353243711212,2.2084065504768733e-06,0.0038278480616842606
AT3G44860,147.66362120844363,-1.4288683497379444,0.30556075866522336,-4.676216789026344,2.9221569098228773e-06,0.004703211546359921
AT5G06570,20.472337965332216,-2.0139748007822686,0.4391780889790282,-4.585781602775818,4.522912005392498e-06,0.006794318414500611
AT5G06870,199.95501160580574,-0.7812432257337669,0.172561026013771,-4.527344579368814,5.9729500837445976e-06,0.007916969661001002
AT4G23600,479.6353822395224,-0.6809065807879923,0.15005689358058055,-4.5376561152276915,5.688291832208983e-06,0.007916969661001002
AT3G49620,73.31887783568145,-4.21164561513738,0.9328609276193087,-4.51476258726543,6.338773691318162e-06,0.007935088199248453
AT2G02990,29.773798404663886,-2.1055726928827414,0.46789743506064163,-4.500073167979323,6.7930076384064386e-06,0.008056149532432225
AT5G05600,145.50142712320886,-1.1807613317675698,0.2640946414599404,-4.470977999554282,7.786270883637056e-06,0.008772402091049689
AT2G27690,48.46183314470216,-1.0972333927085927,0.24988720896692868,-4.390914594007115,1.1287487288421911e-05,0.01211147386047671
AT5G20230,283.0775795111976,-0.9481845974640044,0.2173091461105357,-4.363298160408325,1.2811614291843197e-05,0.013122004765368308
AT5G47330,37.533252301829265,-1.2367453582796764,0.2861586566481246,-4.321886930719143,1.5470046627424045e-05,0.015155937419815043
AT3G23550,223.9970578620198,-0.7743886044703828,0.18129761952496792,-4.271366642868335,1.9427869208854055e-05,0.01824034070346285
AT5G06530,453.08325454244215,0.5526298211455721,0.13078002612709047,4.225643911468048,2.382584996525455e-05,0.021474715090683234
AT1G12520,351.0643192838645,-0.634196171770019,0.15129295266269482,-4.191842122243123,2.7669852975730035e-05,0.02309202952230092
AT3G25760,233.43860283318133,-0.5898055869785161,0.14042633029156823,-4.200106815822207,2.667890875149817e-05,0.02309202952230092
AT1G21400,320.6533236224012,-0.7425088531511694,0.17823777430921395,-4.165833286624393,3.1021734754252625e-05,0.024796635704652487
AT4G15210,173.93860752092044,-1.73828705368327,0.41792121823060974,-4.159365396767388,3.1913302065189814e-05,0.024796635704652487
AT5G24380,118.35853688600774,1.071957243767013,0.25842703925642413,4.148007293862791,3.353817165962763e-05,0.025190520733546315
AT2G40610,118.7665049938236,0.6785176538132504,0.1639997868813085,4.137308143603343,3.514040556461848e-05,0.025542540599598332
AT5G24110,24.242731866047972,1.4667826805767574,0.35789034423156496,4.098413673959609,4.1599132832987095e-05,0.0284746726933364
AT5G38200,20.51208368940644,-1.9143848017598937,0.46716883215723465,-4.097843584555681,4.1701690803714605e-05,0.0284746726933364
AT5G47240,287.59798252970626,-0.5265181642613218,0.12905654057254937,-4.079748007543551,4.5084547005891135e-05,0.029879120520110145
AT3G59220,22.04095791727657,-1.6204335906791558,0.4015277591620466,-4.035670146594247,5.444666528605189e-05,0.031563432059187706
AT4G01080,63.94931086052157,-1.205618775062336,0.29932530289918036,-4.027787705833931,5.630414754869795e-05,0.031563432059187706
AT2G47550,9.932888992613952,-3.0114939565984264,0.7499944041661775,-4.015355234478743,5.935632362788347e-05,0.031563432059187706
AT4G35770,205.3968042707665,-1.036502375901009,0.25870730837813066,-4.006467317831009,6.163364889736204e-05,0.031563432059187706
AT3G59350,389.3748516987143,-0.4353024496482406,0.10840851474347532,-4.0153898490195825,5.934761225454791e-05,0.031563432059187706
