gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G21240,81.8668053752814,3.174164353093425,0.24391909565245595,13.01318514896464,1.0295942571678575e-38,2.205287939427834e-34
AT2G30770,81.51690284466898,4.052867568089158,0.3340021391551451,12.134256320456043,6.953888742528769e-34,7.447267148811185e-30
AT3G45860,121.13958330610805,2.1665747159010555,0.18288098895664157,11.846910541449,2.2327129231503288e-32,1.5940826033652298e-28
AT3G22600,81.3355005658278,2.49420708163973,0.2335059777650879,10.681555588049898,1.2417322035821128e-26,6.649165517131318e-23
AT2G30750,135.31473831364576,4.808026382572812,0.45848137531217914,10.486852119781387,9.928108945035331e-26,4.253003309874235e-22
AT1G26390,107.72183053232538,7.399380937150416,0.7152063302595428,10.34579900105923,4.372535427894604e-25,1.5609222721679089e-21
AT5G13320,89.13720284654359,1.929387839703608,0.19053536904780605,10.12614009328377,4.230197700543477e-24,1.2943800649705818e-20
AT4G23150,45.67731393049746,3.923125233963026,0.3973016070961346,9.874425786084858,5.373986045409788e-23,1.438817588832903e-19
AT2G32680,130.32681931509876,1.5347286871272203,0.16297031191984848,9.417228629236627,4.631509042704736e-21,1.1022476909521415e-17
AT1G26380,81.77401157447957,2.6023929916560635,0.2852538581892031,9.123077276416534,7.302086873070597e-20,1.5640339873429912e-16
AT1G17745,132.9654240300228,1.51024816682483,0.17202726432698467,8.779120988369565,1.647572198712923e-18,3.2081226294756454e-15
AT2G43570,45.96527954794523,3.7886192808608055,0.4332921712287495,8.743798139986852,2.2540201435701795e-18,4.023238121260806e-15
AT1G35710,603.629166680402,1.3061400116474926,0.15112102196446794,8.643006741673547,5.475268810943149e-18,9.021137127814714e-15
AT4G11170,44.2569449595473,3.781451586581394,0.4564487898046623,8.284503477815484,1.186028493978977e-16,1.814538879466836e-13
AT1G61800,50.520617248058436,2.302895332082389,0.28077940783398636,8.201795672437628,2.368225769758129e-16,3.1703142351530857e-13
AT1G65690,36.983052659911976,2.7237520104661717,0.3320404088100344,8.203073897624533,2.343170629933544e-16,3.1703142351530857e-13
AT1G12520,324.84859374571386,-1.0727243795499966,0.1315807679309268,-8.15259248306806,3.562043504733906e-16,4.487965283993855e-13
AT2G35980,27.358391098260036,4.705691042579019,0.5858525818395285,8.03221013006982,9.573222247439442e-16,1.1391602628772522e-12
AT4G23140,65.37740399930112,1.629661997780661,0.20889406434766225,7.801380105604225,6.123376685359736e-15,6.902979222301062e-12
AT5G24530,220.70261677531064,1.5538506191640609,0.200402300527712,7.753656595120732,8.928356903383477e-15,9.106498881598605e-12
AT1G14540,29.414672077702544,3.6798988678694395,0.4743850576565081,7.757198099890351,8.682625030590001e-15,9.106498881598605e-12
AT5G48400,25.89868926710868,3.7635231484486327,0.49573008613641867,7.591879641158109,3.1529782735768434e-14,3.069710983715564e-11
AT1G14880,96.8688880674794,2.072527357671361,0.27377021935910284,7.570317043698747,3.723144473759995e-14,3.467218760150666e-11
AT5G47330,47.3480963899748,-1.9360667470696147,0.25840956878221,-7.492240926656048,6.770748711018663e-14,6.04261111005453e-11
AT3G13610,24.980759010763208,3.512474585079783,0.47138825226077335,7.451340945036262,9.239623901330415e-14,7.916140173703847e-11
AT2G30766,40.37756583845524,2.7581681821615716,0.37084846875135025,7.437453338956329,1.0264482174013219e-13,8.455959372507273e-11
AT1G32350,20.582254422895115,4.4891290961617925,0.616306248109859,7.283925986357334,3.242429475649005e-13,2.572207294034298e-10
AT5G24380,116.03175647967039,2.0354820449125803,0.28127248969666296,7.236690822866242,4.597646189171086e-13,3.517035133066267e-10
AT1G44130,21.993733556313,3.0785634288809907,0.4281300095196403,7.190720950243883,6.445008632624257e-13,4.760194479385482e-10
AT4G23700,40.625749220933585,3.4325503113391993,0.4801713917130365,7.148593961613158,8.767123095357407e-13,6.057516438047107e-10
AT1G26410,26.79743891864966,3.8771020497160094,0.5423016372307207,7.149346016203354,8.719229407336346e-13,6.057516438047107e-10
AT3G51330,64.08345311706717,1.6728180488071167,0.2355634549228117,7.101347912201652,1.2354592134613547e-12,8.269469029102737e-10
AT4G04490,33.71245041796084,2.14364825177422,0.3022984321586439,7.091165628835447,1.3298706467419626e-12,8.631666479565483e-10
AT1G73010,71.4439057913617,1.7872750861175322,0.2571347221268446,6.950734118420107,3.633901872318782e-12,2.2892513000939997e-09
AT1G13750,111.02289405328862,1.3444932799428633,0.1955373084826203,6.875891308805471,6.160345807542783e-12,3.769955624335967e-09
AT5G02780,18.785645868611123,4.547100961338798,0.6717293718534281,6.769245401302743,1.2945580344558576e-11,7.702260705558337e-09
AT5G38900,41.6277317697094,2.4229160758141846,0.3600745539710398,6.728928909564255,1.7091652878801807e-11,9.894219270569079e-09
AT1G02920,315.03616198475555,0.9843415312645619,0.14720851021219222,6.686716208497001,2.282338586260923e-11,1.2864581626084924e-08
AT5G60900,65.09789953392668,1.473231918208516,0.22077182674449738,6.673097468697896,2.504599244582909e-11,1.3755387492236236e-08
AT1G13470,36.90424656607135,2.91938955842283,0.4405683602884156,6.626416741573697,3.439333136483485e-11,1.841676911258494e-08
AT3G13950,20.60588107404717,3.2049313586317134,0.48469501796544945,6.612263876952353,3.784865380788434e-11,1.9772690631977428e-08
AT2G29350,55.844996966865175,2.1187019419480246,0.32403240556187973,6.538549557332533,6.211830273857405e-11,3.16788553894647e-08
AT2G38860,101.48208560966853,1.2380592946366031,0.18966708941679666,6.527538849483512,6.685916950819822e-11,3.330364073711855e-08
AT4G00700,23.408998647764015,3.3773768412723215,0.5185271029839531,6.5134046452666166,7.346624967683399e-11,3.576303640518426e-08
