gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT2G43570,44.26774931655531,3.855740704841822,0.49290459704064377,7.822488830478258,5.1789051087116865e-15,1.1449005523828925e-10
AT4G12500,82.5877666928414,3.75243862085008,0.4897999661742658,7.661165536942893,1.8425318095741777e-14,2.0366425357128173e-10
AT5G24530,261.61004639582984,1.5528618345222283,0.20715385986263446,7.496176202325868,6.570645062447589e-14,3.801759761238164e-10
AT3G45860,125.90924580588323,1.6493029146914056,0.22019587610623795,7.490162594578593,6.878834326210095e-14,3.801759761238164e-10
AT1G26380,72.32849137649833,3.621208370988445,0.4890774048876006,7.404162070870291,1.3198115752164193e-13,5.835414898661876e-10
AT1G21310,231.64651266646828,2.2464009091246973,0.3089459885718232,7.271176814786375,3.563691109553164e-13,1.3130419893148633e-09
AT2G30750,186.831699576657,5.285061430224563,0.746771307555903,7.077215443000834,1.4707978704009099e-12,4.64498978870756e-09
AT1G26390,181.5446870792042,7.225222418247792,1.0546597728302787,6.850761358668521,7.34579706378073e-12,2.0299191961125076e-08
AT1G21240,59.72741799226942,2.90930760435768,0.4333597876886168,6.713376937613123,1.9017101020938855e-11,4.671233914109948e-08
AT5G42830,105.66059125724348,2.0129175010544915,0.3018402512107575,6.66881733957009,2.578729570907703e-11,5.700797462405658e-08
AT5G10760,197.28147459719116,1.1028386328296444,0.16599604701405865,6.6437644309460095,3.057711409416153e-11,6.14516601163299e-08
AT1G13750,130.38889696037864,1.228141954503674,0.1867980483964667,6.574704420342886,4.874991239845352e-11,8.9809526116051e-08
AT1G12520,351.3570039499019,-0.7236238861646604,0.1102869373836557,-6.56128371438393,5.33465101183673e-11,9.071779224513429e-08
AT2G44460,52.76980092648746,3.958950614773615,0.6073412408309257,6.518494626443004,7.101648115045354e-11,1.121400963423626e-07
AT2G14247,26.44543960177949,4.109408123761523,0.6547559534650487,6.2762439990259455,3.4684972619761537e-10,5.111871264700455e-07
AT1G26410,29.669359023652465,5.02506649639682,0.8137624790808968,6.1751022264781446,6.612067438489268e-10,9.135810928917641e-07
AT5G48400,33.38077485376358,4.20306507398612,0.6868248615166299,6.119558725211277,9.38348447803906e-10,1.220239360917703e-06
AT4G11170,72.39435993921585,2.7144094913512005,0.45031211868066423,6.027840199601879,1.66165221133941e-09,2.0407858575600186e-06
AT4G18250,110.3194095761194,1.0615159145756752,0.17788413214175675,5.967457028318568,2.4097972422097396e-09,2.8038625070279326e-06
AT2G32290,97.062222508806,-1.0089636663278712,0.17171106674386008,-5.87593849051636,4.20454434970694e-09,4.6474930969485654e-06
AT2G45220,131.68402475401297,4.5132693998865925,0.7721891461410427,5.844771870261733,5.072629511779212e-09,5.340029553185859e-06
AT1G65690,46.27907198670195,3.0163773119679016,0.5229219529491144,5.768312641985076,8.006916273075284e-09,7.876565528489297e-06
AT1G47890,29.29192799649073,3.2087196316851956,0.5566438682342207,5.764403085699765,8.194735023081097e-09,7.876565528489297e-06
AT3G57260,90.59881247876774,2.4350619582603326,0.42324938248318766,5.7532557849793395,8.754087687440636e-09,8.063609021093756e-06
AT3G22600,66.99828492384877,2.4262674283109784,0.42996293227789034,5.64296883793427,1.6714260791087186e-08,1.4780086532342577e-05
AT1G13520,25.87016429246355,5.3148196235677085,0.9464032875222741,5.61580849690637,1.9564525244343152e-08,1.6635113829872847e-05
AT4G31970,150.26537555914325,9.876386580102633,1.772057933124343,5.573399376785285,2.4981597076167015e-08,2.045437653936386e-05
AT1G44130,27.459183243540693,2.924364771199555,0.5261756181505515,5.557773242094285,2.7323803697585634e-08,2.1573118869375916e-05
AT5G38900,40.183749956157435,2.705020078999146,0.4886378842408034,5.535837818227982,3.09744089128278e-08,2.3612112339168418e-05
AT3G51330,79.65489623472475,1.6352732305368332,0.30113419874055314,5.430380333340114,5.6234076778692155e-08,4.143889117821825e-05
AT1G26420,38.10438138319036,2.4830608732128043,0.45892606369454003,5.410590222797899,6.281736483477778e-08,4.479688659362685e-05
AT2G29350,37.799187894316404,2.761163551111564,0.5156904456634991,5.354304262044235,8.588623585590441e-08,5.9333969252077466e-05
AT1G14540,85.50345176405477,5.239134730655679,0.9800837418650937,5.345599061449215,9.01184938084345e-08,6.03711982613049e-05
AT1G30900,68.54507083195287,1.387735320816436,0.2612812958569874,5.311269282650888,1.0886433030561517e-07,7.078422794312455e-05
AT3G20370,225.09953261167257,0.687700345795999,0.1296416091352697,5.304626735066546,1.1290378091082754e-07,7.131325384559041e-05
AT4G19970,36.789216609137476,2.9298554542208572,0.5544838505415338,5.283932888864895,1.2643958656381149e-07,7.690794581320255e-05
AT5G48430,28.61571791845786,3.2786609005059986,0.620880856584722,5.280660316281809,1.2871913851216784e-07,7.690794581320255e-05
